Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Owen et al. (2012)	boulder	Owen2012-61	Owen2012-J	XJ41	37.0767	75.4440	3956	2	2.75	1	2825000	88000	07KNSTD	0	0	0	2010	43800	4000	-	-	45681	2831	1439	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-62	Owen2012-J	XJ42	37.0782	75.4453	3946	1	2.75	1	3612000	155000	07KNSTD	0	0	0	2010	56800	5500	-	-	59179	4085	2577	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-63	Owen2012-K	XJ44	37.0518	75.4354	4323	3	2.75	1	1660000	147000	07KNSTD	0	0	0	2010	23100	2800	-	-	24509	2542	2184	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-64	Owen2012-K	XJ45	37.0523	75.4346	4334	3	2.75	1	3249000	114000	07KNSTD	0	0	0	2010	42100	3900	-	-	43071	2759	1528	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-65	Owen2012-K	XJ46	37.0526	75.4341	4340	3	2.75	1	3158000	104000	07KNSTD	0	0	0	2010	41000	3700	-	-	41918	2635	1395	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-66	Owen2012-K	XJ47	37.0524	75.4349	4337	2	2.75	1	5751000	282000	07KNSTD	0	0	0	2010	74800	7400	-	-	76016	5581	3799	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-67	Owen2012-K	XJ48	37.0520	75.4351	4336	3	2.75	1	9763000	369000	07KNSTD	0	0	0	2010	126100	12000	-	-	128155	8590	5002	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-68	Owen2012-L	XJ84	37.4481	75.2718	4695	3	2.75	1	5268000	187000	07KNSTD	0	0	0	2010	57700	5400	-	-	57296	3696	2063	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-69	Owen2012-L	XJ85	37.4451	75.2731	4707	3	2.75	1	7117000	140000	07KNSTD	0	0	0	2010	77600	6800	-	-	76744	4405	1539	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-70	Owen2012-L	XJ86	37.4437	75.2703	4743	3	2.75	1	14295000	225000	07KNSTD	0	0	0	2010	152300	13600	-	-	151161	8646	2471	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-71	Owen2012-L	XJ87	37.4400	75.2650	4799	3	2.75	1	6483000	130000	07KNSTD	0	0	0	2010	67500	5900	-	-	66346	3808	1353	-	-	-	-
