Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Cuzzone et al. (2016)	boulder	Cuzz2016-66	Cuzz2016-T	Fin-15-11	66.38	24.33	188	2	2.65	1	52774	1722	07KNSTD	0	0	0	2011	11000	4000	-	-	10005	622	327	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-67	Cuzz2016-T	Fin-16-11	66.38	24.33	188	2	2.65	1	53258	3874	07KNSTD	0	0	0	2011	11100	800	-	-	10097	910	736	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-68	Cuzz2016-T	Fin-17-11	66.38	24.33	188	2	2.65	1	58171	2275	07KNSTD	0	0	0	2011	12100	500	-	-	11054	728	433	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-69	Cuzz2016-T	Fin-18-11	66.38	24.33	190	2	2.65	1	52845	4507	07KNSTD	0	0	0	2011	11000	900	-	-	9999	1005	855	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-70	Cuzz2016-T	Fin-19-11	66.38	24.33	190	2	2.65	1	65708	4010	07KNSTD	0	0	0	2011	13700	800	-	-	12476	1010	764	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-71	Cuzz2016-T	Fin-20-11	66.38	24.33	192	2	2.65	1	53950	2459	07KNSTD	0	0	0	2011	11200	500	-	-	10186	712	465	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-72	Cuzz2016-T	Fin-21-11	66.38	24.33	192	2	2.65	1	47967	2746	07KNSTD	0	0	0	2011	9900	600	-	-	9047	706	519	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-73	Cuzz2014-C	Fin-09-11	66.42	27.12	209	2	2.65	1	54014	3980	07KNSTD	0	0	0	2011	10900	800	-	-	10061	914	743	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-74	Cuzz2014-C	Fin-10-11	66.42	27.12	210	2	2.65	1	61183	9614	07KNSTD	0	0	0	2011	12400	1900	-	-	11410	1897	1798	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-75	Cuzz2014-C	Fin-12-11	66.42	27.12	210	2	2.65	1	55558	4200	07KNSTD	0	0	0	2011	11200	900	-	-	10333	955	783	-	-	-	Cuzzone et al. (2014)
