Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Briner et al. (2005b)	cobble	Brin2005b-88	Brin2005b-AY	CF02-77	70.75288	-69.21892	61	3	2.65	1	276000	23000	KNSTD	0	0	0	2002	52600	1400	-	-	54288	5702	4586	-	-	-	-
Briner et al. (2005b)	cobble	Brin2005b-89	Brin2005b-AZ	CF02-118	70.37153	-68.84600	543	3	2.65	1	88000	3000	KNSTD	0	0	0	2002	10300	300	-	-	10536	744	360	-	-	-	-
Briner et al. (2005b)	cobble	Brin2005b-90	Brin2005b-AZ	CF02-120	70.38595	-68.84967	610	3	2.65	1	113000	3000	KNSTD	0	0	0	2002	12300	400	-	-	12713	855	339	-	-	-	-
Briner et al. (2005b)	boulder	Brin2005b-91	Brin2005b-AZ	CF02-119	70.38595	-68.84967	610	3	2.65	1	169000	5000	KNSTD	0	0	0	2002	18600	500	-	-	19053	1308	566	-	-	-	Briner et al. (2006)
Briner et al. (2005b)	boulder	Brin2005b-92	Brin2005b-AZ	CF02-117	70.37153	-68.84600	543	3	2.65	1	174000	4000	KNSTD	0	0	0	2002	20300	500	-	-	20948	1384	484	-	-	-	Briner et al. (2006)
Briner et al. (2005b)	boulder	Brin2005b-93	Brin2005b-BA	CF02-30	70.42068	-68.47982	430	3	2.65	0.988	93000	4000	KNSTD	0	0	0	2002	12000	500	-	-	12620	951	545	-	-	-	Briner et al. (2006)
Briner et al. (2005b)	boulder	Brin2005b-94	Brin2005b-BA	CF02-31	70.42562	-68.49458	380	3	2.65	1	129000	3000	KNSTD	0	0	0	2002	17500	500	-	-	18206	1204	425	-	-	-	Briner et al. (2006)
Briner et al. (2005b)	boulder	Brin2005b-95	Brin2003-A	SIV9-01-2	70.33943	-68.77363	520	3	2.65	1	130000	3000	KNSTD	0	0	0	2001	15500	400	-	-	15980	1055	370	-	-	-	Briner et al. (2006)
Briner et al. (2005b)	cobble	Brin2005b-96	Brin2005b-BB	CF02-115	70.35353	-68.81118	426	3	2.65	1	304000	8000	KNSTD	0	0	0	2002	39800	1000	-	-	41274	2793	1097	-	-	-	-
Briner et al. (2005b)	cobble	Brin2005b-97	Brin2005b-BC	CF02-89	70.74152	-69.34707	82	3	2.65	1	157000	13000	KNSTD	0	0	0	2002	29500	800	-	-	30038	3123	2506	-	-	-	Davis et al. (2006)
Briner et al. (2005b)	cobble	Brin2005b-98	Brin2005b-BC	CF02-88	70.74152	-69.34707	82	3	2.65	1	216000	2000	KNSTD	0	0	0	2002	40700	1000	-	-	41450	2608	388	-	-	-	Davis et al. (2006)

Reference:
Briner JP, Miller GH, Davis PT, Finkel RC, 2005b. Cosmogenic exposure dating in arctic glacial landscapes: implications for the glacial history of northeastern Baffin Island, arctic Canada. Canadian Journal of Earth Sciences 42, 67-84.

Data comments:
Sample thickness assumed to be 3 cm.
Sample density assumed to be 2.65 g/cm3.
Topographic shielding factors calculated from Jonathan de Ferranti's 3" dem based on Codilean (2006) and Li (2013).
10Be and 26Al standards based on email contact with Jason Briner.
Sampling year based on sample names.
Group ID based on sample location and geomorphology (groups in Table 1 split into smaller groups). Two samples grouped with Briner et al. (2003) samples.

expage.github.io - data from expage-202306
