Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Jomelli et al. (2011)	boulder	Jome2011-34	Jome2011-O	29A	-16.2599	-68.1090	4548	3.8	2.5	0.9844	457556	33706	NIST_27900	0	0	0	2009	10269	756	-	-	11256	1093	832	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-35	Jome2011-P	23	-16.2575	-68.1076	4632	4	2.5	0.9786	386139	40482	NIST_27900	0	0	0	2009	8276	868	-	-	8836	1082	928	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-36	Jome2011-Q	M20	-16.2594	-68.1124	4706	4.2	2.5	0.9681	415939	15783	NIST_27900	0	0	0	2009	8643	328	-	-	9414	692	358	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-37	Jome2011-R	M12	-16.2598	-68.1071	4612	3.9	2.5	0.9820	323468	23689	NIST_27900	0	0	0	2009	6962	510	-	-	7266	702	533	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-38	Jome2011-S	B5	-16.2597	-68.1069	4640	3	2.5	0.9784	365234	20170	NIST_27900	0	0	0	2009	8506	407	-	-	8161	684	452	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-39	Jome2011-S	B21	-16.2596	-68.1070	4734	3	2.5	0.9763	416202	14964	NIST_27900	0	0	0	2009	8489	305	-	-	9083	659	327	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-40	Jome2011-S	B4	-16.2594	-68.1070	4642	3	2.5	0.9803	391761	14946	NIST_27900	0	0	0	2009	8283	316	-	-	8848	652	338	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-41	Jome2011-S	B15	-16.2598	-68.1068	4639	3	2.5	0.9859	359312	34516	NIST_27900	0	0	0	2009	7562	726	-	-	7946	914	765	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-42	Jome2011-T	12-4	-16.2579	-68.1064	4630	3.4	2.5	0.9736	397071	14706	NIST_27900	0	0	0	2009	8445	313	-	-	9167	670	340	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-43	Jome2011-T	B1	-16.2592	-68.1069	4642	3	2.5	0.9792	408106	15478	NIST_27900	0	0	0	2009	8637	328	-	-	9318	685	354	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-44	Jome2011-T	B22	-16.2600	-68.1061	4647	3	2.5	0.9860	402433	17183	NIST_27900	0	0	0	2009	8440	360	-	-	9054	689	387	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-45	Jome2011-T	B2	-16.2592	-68.1069	4641	3	2.5	0.9792	441762	15389	NIST_27900	0	0	0	2009	9354	326	-	-	10266	739	359	-	-	-	-
