Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Dortch et al. (2013)	boulder	Dort2013-28	Dort2013-G	LDK-43	34.315	77.631	4815	5	2.7	1	3460000	190000	07KNSTD	0	0	0	2011	43900	4500	-	-	40303	2832	2236	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-29	Dort2013-G	LDK-44	34.316	77.630	4812	4	2.7	1	400000	360000	07KNSTD	0	0	0	2011	4900	4500	-	-	5847	5276	5270	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-30	Dort2013-G	LDK-45	34.316	77.630	4814	4	2.7	1	1700000	40000	07KNSTD	0	0	0	2011	21300	1900	-	-	22295	1093	528	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-31	Dort2013-G	LDK-46	34.316	77.631	4817	5	2.7	1	1670000	40000	07KNSTD	0	0	0	2011	21000	1900	-	-	22077	1087	532	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-32	Dort2013-G	LDK-47	34.316	77.631	4815	5	2.7	1	1640000	50000	07KNSTD	0	0	0	2011	20700	1900	-	-	21768	1149	667	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-33	Dort2013-H	Chang-15	34.084	77.963	4999	5	2.7	1	1630000	40000	07KNSTD	0	0	0	2011	18900	1700	-	-	20401	1010	503	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-34	Dort2013-H	Chang-17	34.083	77.961	4998	3	2.7	1	2810000	40000	07KNSTD	0	0	0	2011	32300	2900	-	-	31469	1428	451	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-35	Dort2013-I	Chang-1	34.039	77.931	5461	5	2.7	1	170000	20000	07KNSTD	0	0	0	2011	1600	200	-	-	2097	263	247	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-36	Dort2013-I	Chang-2	34.039	77.931	5459	3	2.7	1	200000	20000	07KNSTD	0	0	0	2011	1800	200	-	-	2443	266	244	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-37	Dort2013-I	Chang-3	34.039	77.931	5458	4	2.7	1	220000	10000	07KNSTD	0	0	0	2011	2100	200	-	-	2658	166	121	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-38	Dort2013-I	Chang-4	34.039	77.931	5460	5	2.7	1	550000	20000	07KNSTD	0	0	0	2011	5200	500	-	-	6059	340	221	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-39	Dort2013-I	Chang-5	34.039	77.931	5462	4	2.7	1	180000	10000	07KNSTD	0	0	0	2011	1700	200	-	-	2214	155	123	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-40	Dort2013-I	Chang-6	34.039	77.931	5445	5	2.7	1	970000	30000	07KNSTD	0	0	0	2011	9300	900	-	-	10897	576	338	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-41	Dort2013-J	Pang-24	33.888	78.425	5375	5	2.7	1	10000	10000	KNSTD	0	0	0	2011	100	100	-	-	139	139	139	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-42	Dort2013-J	Pang-25	33.888	78.425	5375	5	2.7	1	160000	40000	KNSTD	0	0	0	2011	1500	400	-	-	1838	466	460	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-43	Dort2013-J	Pang-26	33.888	78.425	5368	5	2.7	1	50000	10000	KNSTD	0	0	0	2011	400	100	-	-	692	142	138	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-44	Dort2013-J	Pang-27	33.888	78.425	5371	5	2.7	1	60000	20000	KNSTD	0	0	0	2011	500	200	-	-	819	275	273	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-45	Dort2013-J	Pang-28	33.888	78.426	5363	5	2.7	1	160000	20000	KNSTD	0	0	0	2011	1500	200	-	-	1848	244	231	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-46	Dort2013-J	Pang-29	33.888	78.426	5360	4	2.7	1	40000	10000	07KNSTD	0	0	0	2011	400	100	-	-	613	155	153	-	-	-	-

Reference:
Dortch JM, Owen LA, Caffee MW, 2013. Timing and climatic drivers for glaciation across semi-arid western Himalayan-Tibetan orogen. Quaternary Science Reviews 78, 188-208.

Data comments:
Sampling year assumed to be 2011.

expage.github.io
