Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
García et al. (2018)	boulder	Garc2018-43	Garc2018-J	TUR-13-16	-51.7129	-72.2822	272	1.5	2.65	0.999	258200	10500	07KNSTD	0	0	0	2013	46400	2500	-	-	45520	3160	1872	-	-	-	-
García et al. (2018)	boulder	Garc2018-44	Garc2018-J	TUR-13-15	-51.7142	-72.2819	263	1.4	2.65	1	254800	13100	07KNSTD	0	0	0	2013	46100	2900	-	-	45214	3452	2351	-	-	-	-
García et al. (2018)	boulder	Garc2018-45	Garc2018-J	TUR-13-05	-51.7227	-72.2594	275	1.1	2.65	1	143300	12600	07KNSTD	0	0	0	2013	25500	2400	-	-	25188	2633	2229	-	-	-	-
García et al. (2018)	boulder	Garc2018-46	Garc2018-K	DOR-12-04	-51.5576	-72.4630	331	1.6	2.65	1	411100	19000	07KNSTD	0	0	0	2012	70700	4100	-	-	69242	5076	3256	-	-	-	-
García et al. (2018)	boulder	Garc2018-47	Garc2018-K	DOR-12-08	-51.5585	-72.4677	332	1.8	2.65	1	211900	15100	07KNSTD	0	0	0	2012	36200	2900	-	-	35546	3234	2556	-	-	-	-
García et al. (2018)	boulder	Garc2018-48	Garc2018-K	DOR-12-09	-51.5514	-72.4650	321	0.9	2.65	0.999	204100	15100	07KNSTD	0	0	0	2012	35000	2900	-	-	34376	3202	2565	-	-	-	-
García et al. (2018)	boulder	Garc2018-49	Garc2018-K	DOR-12-02	-51.5285	-72.4800	300	0.9	2.65	1	199300	8200	07KNSTD	0	0	0	2012	34800	1900	-	-	34213	2378	1420	-	-	-	-
García et al. (2018)	boulder	Garc2018-50	Garc2018-K	DOR-12-06	-51.5686	-72.4530	311	1.4	2.65	0.999	165700	9900	07KNSTD	0	0	0	2012	28800	2000	-	-	28317	2321	1704	-	-	-	-
García et al. (2018)	boulder	Garc2018-51	Garc2018-L	AR-13-10	-51.7701	-72.1483	201	0.9	2.65	1	242900	11800	07KNSTD	0	0	0	2013	46300	2800	-	-	45444	3382	2233	-	-	-	-
García et al. (2018)	boulder	Garc2018-52	Garc2018-M	AR-13-16	-51.7019	-72.3408	227	1.5	2.65	1	224800	11600	07KNSTD	0	0	0	2013	42100	2600	-	-	41326	3158	2155	-	-	-	-
García et al. (2018)	boulder	Garc2018-53	Garc2018-M	AR-13-06	-51.6837	-72.3808	249	2.1	2.65	1	213700	10100	07KNSTD	0	0	0	2013	39400	2300	-	-	38726	2844	1848	-	-	-	-
García et al. (2018)	boulder	Garc2018-54	Garc2018-M	AR-13-08	-51.6901	-72.3745	234	1.4	2.65	1	183600	7400	07KNSTD	0	0	0	2013	34100	1800	-	-	33583	2317	1365	-	-	-	-
García et al. (2018)	boulder	Garc2018-55	Garc2018-M	AR-13-07	-51.6904	-72.3735	243	2.1	2.65	0.998	183000	7400	07KNSTD	0	0	0	2013	34000	1800	-	-	33458	2311	1364	-	-	-	-
García et al. (2018)	boulder	Garc2018-56	Garc2018-M	AR-13-09	-51.6905	-72.3854	232	1.9	2.65	1	181600	15500	07KNSTD	0	0	0	2013	34000	3100	-	-	33424	3427	2877	-	-	-	-
García et al. (2018)	boulder	Garc2018-57	Garc2018-M	AR-13-23	-51.7126	-72.3275	226	1.5	2.65	1	180700	18000	07KNSTD	0	0	0	2013	33800	1900	-	-	33317	3827	3347	-	-	-	-
García et al. (2018)	boulder	Garc2018-58	Garc2018-M	AR-13-22	-51.7166	-72.3251	224	1.1	2.65	1	178200	7800	07KNSTD	0	0	0	2013	33300	1900	-	-	32806	2332	1448	-	-	-	-
García et al. (2018)	boulder	Garc2018-59	Garc2018-M	AR-12-06	-51.6957	-72.3493	237	0.9	2.65	1	179100	15800	07KNSTD	0	0	0	2012	33100	3100	-	-	32529	3414	2893	-	-	-	-
García et al. (2018)	boulder	Garc2018-60	Garc2018-M	AR-12-07	-51.6919	-72.3545	248	0.9	2.65	1	179100	19100	07KNSTD	0	0	0	2012	32700	2000	-	-	32199	3899	3462	-	-	-	-
García et al. (2018)	boulder	Garc2018-61	Garc2018-M	AR-13-17	-51.7036	-72.3387	229	1.4	2.65	1	167300	7300	07KNSTD	0	0	0	2013	31200	1700	-	-	30752	2182	1352	-	-	-	-
García et al. (2018)	boulder	Garc2018-62	Garc2018-M	AR-13-18	-51.7093	-72.3351	233	2.1	2.65	1	162800	8300	07KNSTD	0	0	0	2013	30500	1900	-	-	29993	2272	1541	-	-	-	-
García et al. (2018)	boulder	Garc2018-63	Garc2018-M	AR-13-02	-51.6889	-72.3596	249	1	2.65	1	142200	6400	07KNSTD	0	0	0	2013	26000	1500	-	-	25605	1837	1160	-	-	-	-
García et al. (2018)	boulder	Garc2018-64	Garc2018-M	AR-12-05	-51.6958	-72.3489	233	1.3	2.65	0.999	127000	6100	07KNSTD	0	0	0	2012	23600	1400	-	-	23313	1717	1126	-	-	-	-
García et al. (2018)	boulder	Garc2018-65	Garc2018-M	AR-13-03	-51.6890	-72.3595	249	2	2.65	0.999	882500	5200	07KNSTD	0	0	0	2013	16300	1100	-	-	164593	9536	1011	-	-	-	-

Reference:
García J-L, Hein AS, Binnie SA, Gómez GA, González MA, Dunai TJ, 2018. The MIS 3 maximum of the Torres del Paine and Última Esperanza ice lobes in Patagonia and the pacing of southern mountain glaciation. Quaternary Science Reviews 185, 9-26.

Data comments:
Sampling year based on sample names.
Group ID based on sample location and geomorphology (groups in Table 1 split into smaller groups).

expage.github.io - data from expage-202007
