Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Hall et al. (2009)	boulder	Hall2009-53	Hall2009-S	QUER-01	-10.188	-76.816	4058	2	2.7	0.9914120	550000	15600	KNSTD	0	0	0	2007	14310	1280	-	-	15992	962	455	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-54	Hall2009-S	QUER-02	-10.188	-76.816	4062	2	2.7	0.9914120	476000	13600	KNSTD	0	0	0	2007	12390	1110	-	-	13977	842	401	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-55	Hall2009-S	QUER-03	-10.188	-76.816	4062	2	2.7	0.9914120	479000	13600	KNSTD	0	0	0	2007	12470	1110	-	-	14061	845	401	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-56	Hall2009-S	QUER-04	-10.188	-76.816	4062	2	2.7	0.9914120	506000	14300	KNSTD	0	0	0	2007	13180	1180	-	-	14790	889	420	-	-	-	-
Hall et al. (2009)	bedrock	Hall2009-57	Hall2009-T	QUER-05	-10.184	-76.798	4115	1	2.7	0.8537451	997000	27700	KNSTD	0	0	0	2007	26900	2400	-	-	28953	1739	810	-	-	-	-
Hall et al. (2009)	bedrock	Hall2009-58	Hall2009-T	QUER-06	-10.184	-76.798	4115	1	2.7	0.8699349	1040000	28900	KNSTD	0	0	0	2007	27430	2450	-	-	29543	1775	827	-	-	-	-
Hall et al. (2009)	bedrock	Hall2009-59	Hall2009-T	QUER-07	-10.184	-76.798	4115	1	2.7	0.8143250	898000	25100	KNSTD	0	0	0	2007	25580	2290	-	-	27592	1659	777	-	-	-	-
Hall et al. (2009)	bedrock	Hall2009-60	Hall2009-T	QUER-08	-10.184	-76.798	4115	2	2.7	0.8537451	1020000	34400	KNSTD	0	0	0	2007	27600	2520	-	-	29717	1875	1010	-	-	-	-

Reference:
Hall SR, Farber DL, Ramage JM, Rodbell DT, Finkel RC, Smith JA, Mark BG, Kassel C, 2009. Geochronology of Quaternary glaciations from the tropical Cordillera Huayhuash, Peru. Quaternary Science Reviews 28, 2991-3009.

Data comments:
Latitudes and longitudes based on map figures and Google Earth.
Sampling year assumed to be 2007.

expage.github.io
