Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Hein et al. (2011b)	bedrock	Hein2011b-67	Hein2011b-M	CF_185_08	-80.38455	-30.06789	239	3.5	2.65	0.9968	78460	3160	NIST_27900	477000	34000	Z92-0222	2008	11550	1440	10400	1400	12430	828	502	10572	1036	758	Hein et al. (2014)
Hein et al. (2011b)	bedrock	Hein2011b-68	Hein2011b-M	CF_181_08	-80.38455	-30.06789	239	5	2.65	0.9968	272500	9330	NIST_27900	2034000	133000	Z92-0222	2008	40900	5000	45400	6200	44310	2818	1534	46858	4474	3136	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-69	Hein2011b-M	CF_182_08	-80.38455	-30.06789	239	2.5	2.65	0.9968	20310	3510	NIST_27900	214300	39000	Z92-0222	2008	3000	600	4600	1000	3138	568	543	4723	917	862	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-70	Hein2011b-M	CF_183_08	-80.38455	-30.06789	239	5	2.65	0.9968	922700	27700	NIST_27900	5989000	347000	Z92-0222	2008	141800	17800	140000	19600	154416	9745	4819	144860	13737	9020	Hein et al. (2014)

Reference:
Hein AS, Fogwill CJ, Sugden DE, Xu S, 2011b. Glacial/interglacial ice-stream stability in the Weddell Sea embayment, Antarctica. Earth and Planetary Science Letters 307, 211-221.

Data comments:
Sample density assumed to be 2.65 g/cm3.
Sampling year based on sample names.

expage.github.io
