Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Corbett et al. (in press)	bedrock	CorbInpress-54	Mar1998-E	KM95-093	66.1315	-65.86533	24	2	2.7	0.997	53325	7377	LLNL10000	317635	36758	KNSTD	1995	11500	1600	11100	1300	10813	1605	1500	9944	1334	1156	Marsella (1998)
Corbett et al. (in press)	boulder	CorbInpress-55	CorbInpress-M	KM95-094	66.08794	-65.93311	5	0.5	2.7	0.999	34072	6643	LLNL10000	193448	17029	KNSTD	1995	7500	1400	6900	600	6954	1407	1358	6104	676	539	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-56	CorbInpress-M	KM95-095	66.08794	-65.93311	5	6	2.7	0.999	55036	8207	LLNL10000	165934	15892	KNSTD	1995	12500	1800	6100	600	11775	1868	1761	5494	642	528	Marsella (1998)
Corbett et al. (in press)	boulder	CorbInpress-57	CorbInpress-M	KM95-096	66.08714	-65.93061	5	3	2.7	0.999	39364	9644	LLNL10000	119413	16280	KNSTD	1995	8700	2100	4300	600	8156	2048	2002	3812	579	521	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-58	CorbInpress-M	KM95-097	66.08714	-65.93061	5	4	2.7	0.999	53842	8062	LLNL10000	191641	18105	KNSTD	1995	12000	1800	7000	600	11311	1801	1698	6231	722	591	Marsella (1998)
Corbett et al. (in press)	boulder	CorbInpress-59	CorbInpress-N	KM95-098	65.71308	-65.78339	5	3	2.7	0.994	64499	8710	LLNL10000	326294	25934	KNSTD	1995	14300	1900	11800	900	13521	1967	1832	10532	1097	841	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-60	CorbInpress-N	KM95-099	65.71308	-65.78339	5	5	2.7	1	51975	8518	LLNL10000	276047	24371	KNSTD	1995	11800	1900	10100	900	10998	1899	1807	8995	999	798	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-61	CorbInpress-O	KM95-106	66.12233	-65.70281	596	5	2.7	1	884445	24602	LLNL10000	4231654	146864	KNSTD	1995	109700	2900	86800	3000	107651	6597	3076	80920	6322	2923	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-62	CorbInpress-O	KM95-107	66.12019	-65.7055	626	2	2.7	1	1188920	33054	LLNL10000	5699912	120661	KNSTD	1995	140700	3800	112200	2200	138046	8524	3973	104425	7680	2328	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-63	CorbInpress-O	KM95-108	66.11992	-65.70875	631	4	2.7	1	843446	28520	LLNL10000	4094389	153963	KNSTD	1995	99900	3300	80200	3000	98181	6306	3403	74862	5938	2921	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-64	CorbInpress-O	KM95-109	66.11936	-65.71011	631	4.5	2.7	0.999	745075	21000	LLNL10000	3560673	157278	KNSTD	1995	88300	2400	69800	3100	86942	5315	2504	65132	5372	2971	Marsella (1998)
Corbett et al. (in press)	boulder	CorbInpress-65	CorbInpress-O	KM95-110	66.11294	-65.73378	656	0.5	2.7	1	1348151	67681	LLNL10000	5791815	202672	KNSTD	1995	153900	7900	109100	3900	150614	11393	7853	101673	8040	3742	Marsella (1998)
Corbett et al. (in press)	boulder	CorbInpress-66	CorbInpress-O	KM95-112	66.11275	-65.71917	656	3	2.7	0.998	1176854	32827	LLNL10000	5413446	193034	KNSTD	1995	136300	3700	104000	3700	134088	8277	3868	97095	7692	3633	Marsella (1998)
Corbett et al. (in press)	boulder	CorbInpress-67	CorbInpress-P	KM95-130	65.70833	-65.83542	83	0.5	2.7	0.987	65637	7462	LLNL10000	332910	26400	KNSTD	1995	13000	1500	10700	800	12517	1574	1427	9779	1017	779	Marsella (1998)
Corbett et al. (in press)	boulder	CorbInpress-68	CorbInpress-P	KM95-131	65.70833	-65.83542	83	2	2.7	1	59113	5865	LLNL10000	408859	24583	KNSTD	1995	11900	1200	13400	800	11251	1268	1119	12064	1088	730	Marsella (1998)
Corbett et al. (in press)	boulder	CorbInpress-69	CorbInpress-P	KM95-132	65.70833	-65.83542	88	1.5	2.7	1	67468	9395	LLNL10000	414006	31567	KNSTD	1995	13500	1900	13400	1000	12748	1904	1781	12103	1232	928	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-70	CorbInpress-P	KM95-133	65.70833	-65.83542	88	2.5	2.7	0.997	90152	8888	LLNL10000	604711	43950	KNSTD	1995	18100	1800	19800	1400	17286	1941	1712	17980	1788	1318	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-71	CorbInpress-Q	KM95-134	65.94267	-65.92506	38	3	2.7	0.999	66538	8154	LLNL10000	331085	26961	KNSTD	1995	14200	1700	11500	900	13426	1797	1651	10284	1087	842	Marsella (1998)
Corbett et al. (in press)	boulder	CorbInpress-72	CorbInpress-R	KM95-135	66.11411	-65.97164	210	2	2.7	0.992	81876	7488	LLNL10000	453712	30578	KNSTD	1995	14400	1300	12900	900	13877	1470	1273	11900	1134	807	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-73	CorbInpress-R	KM95-136	66.11411	-65.97164	210	2	2.7	0.992	91907	10153	LLNL10000	322405	32990	KNSTD	1995	16200	1800	9200	900	15594	1917	1729	8394	1029	862	Marsella (1998)
Corbett et al. (in press)	boulder	CorbInpress-74	CorbInpress-S	KM95-144	65.96356	-65.77553	10	0.3	2.7	0.999	60037	7884	LLNL10000	308693	25049	KNSTD	1995	13000	1700	10800	900	12162	1726	1602	9620	1014	784	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-75	CorbInpress-S	KM95-145	65.96356	-65.77553	10	5	2.7	0.999	50068	6881	LLNL10000	276546	29392	KNSTD	1995	11200	1500	10000	1100	10534	1555	1452	8980	1131	959	Marsella (1998)
Corbett et al. (in press)	boulder	CorbInpress-76	CorbInpress-T	KM95-146	66.07522	-65.89767	393	2.5	2.7	0.976	81624	5800	LLNL10000	510996	31656	KNSTD	1995	11800	800	12100	700	11759	1044	838	11426	1045	712	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-77	CorbInpress-T	KM95-147	66.07522	-65.89767	393	0.5	2.7	0.976	249733	8664	LLNL10000	1554523	53145	KNSTD	1995	35700	1200	36500	1200	35755	2278	1252	34742	2644	1208	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-78	CorbInpress-U	KM95-149	66.08439	-65.90694	148	4	2.7	0.989	94000	8003	LLNL10000	688937	40685	KNSTD	1995	17900	1500	21400	1200	17340	1744	1483	19743	1774	1177	Marsella (1998)
Corbett et al. (in press)	boulder	CorbInpress-79	CorbInpress-V	PTD92-01	66.21	-65.70667	450	7	2.7	0.996	48584	5066	LLNL1000	324148	21324	KNSTD	1992	7100	700	7500	500	6952	814	726	6988	656	461	-
Corbett et al. (in press)	bedrock	CorbInpress-80	CorbInpress-W	PTD92-02	66.21	-65.70667	310	8	2.7	0.996	184910	7298	LLNL1000	1139438	48177	KNSTD	1992	31400	1200	30700	1300	30899	2052	1229	28771	2301	1234	-
Corbett et al. (in press)	bedrock	CorbInpress-81	CorbInpress-X	PTD92-03	66.13315	-65.71465	350	5	2.7	0.996	100647	6436	LLNL1000	674901	58267	KNSTD	1992	16100	1000	17000	1500	15647	1302	1005	15828	1739	1377	-
