Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Hedrick et al. (2011)	boulder	Hedr2011-32	Hedr2011-F	TM-4	32.978	78.203	5013	5	2.75	1	2741000	350900	07KNSTD	0	0	0	2009	32650	5090	-	-	32207	4496	4157	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-33	Hedr2011-G	TM-6	32.982	78.211	4859	5	2.75	1	5740700	302600	07KNSTD	0	0	0	2009	74100	7670	-	-	68082	5165	3650	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-34	Hedr2011-G	TM-7	32.982	78.211	4858	5	2.75	1	2122600	92000	07KNSTD	0	0	0	2009	27090	2650	-	-	27703	1905	1209	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-35	Hedr2011-G	TM-8	32.982	78.212	4855	5	2.75	1	1622800	152700	07KNSTD	0	0	0	2009	20710	2670	-	-	22200	2408	2101	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-36	Hedr2011-G	TM-9	32.982	78.212	4851	5	2.75	1	7484700	183400	07KNSTD	0	0	0	2009	97540	9020	-	-	91272	5433	2288	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-37	Hedr2011-G	TM-10	32.983	78.212	4850	5	2.75	1	1849700	236800	07KNSTD	0	0	0	2009	23680	3690	-	-	24845	3462	3200	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-38	Hedr2011-G	TM-11	32.984	78.212	4849	5	2.75	1	6485900	202500	07KNSTD	0	0	0	2009	84320	7950	-	-	78102	4883	2487	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-39	Hedr2011-H	TM-12	32.983	78.214	4785	5	2.75	1	1086100	126300	07KNSTD	0	0	0	2009	14290	2080	-	-	16638	2133	1943	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-40	Hedr2011-H	TM-13	32.983	78.214	4785	5	2.75	1	4070500	349000	07KNSTD	0	0	0	2009	54100	6690	-	-	49610	5057	4307	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-41	Hedr2011-H	TM-14	32.983	78.214	4782	5	2.75	1	951500	75200	07KNSTD	0	0	0	2009	12530	1480	-	-	14829	1414	1176	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-42	Hedr2011-H	TM-15	32.983	78.214	4781	5	2.75	1	9946600	353200	07KNSTD	0	0	0	2009	135130	13120	-	-	121107	7940	4433	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-43	Hedr2011-H	TM-16	32.984	78.215	4768	5	2.75	1	5632900	174600	07KNSTD	0	0	0	2009	75860	7130	-	-	70039	4362	2209	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-44	Hedr2011-H	TM-17	32.984	78.216	4762	5	2.75	1	1762400	124300	07KNSTD	0	0	0	2009	23490	2640	-	-	24748	2193	1756	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-45	Hedr2011-I	TM-18	32.961	78.254	4712	5	2.75	1	20999100	177100	07KNSTD	0	0	0	2009	307580	29020	-	-	275730	15797	2493	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-46	Hedr2011-I	TM-19	32.961	78.254	4713	5	2.75	1	21376900	252900	07KNSTD	0	0	0	2009	313410	29740	-	-	280689	16294	3565	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-47	Hedr2011-I	TM-20	32.961	78.258	4710	5	2.75	1	13852500	295600	07KNSTD	0	0	0	2009	197720	18590	-	-	181448	10810	4053	-	-	-	-

Reference:
Hedrick KA, Seong YB, Owen LA, Caffee MW, Dietsch C, 2011. Towards defining the transition in style and timing of Quaternary glaciation between the monsoon-influenced Greater Himalaya and the semi-arid Transhimalaya of Northern India. Quaternary International 236, 21-33.

Data comments:
Sampling year assumed to be 2009.

expage.github.io
