Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Schaefer et al. (2009)	boulder	Scha2009-42	Scha2009-F	Kiwi-932-1	-43.6937	170.0945	868	2.04	2.7	0.975	10058	2142	KNSTD	0	0	0	2004	1084	462	-	-	1102	243	235	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-43	Scha2009-F	Kiwi-972	-43.6942	170.1645	767	2.54	2.7	0.976	8805	435	07KNSTD	0	0	0	2004	1036	101	-	-	1169	87	58	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-44	Scha2009-F	Kiwi-931	-43.6926	170.0942	877	2.15	2.7	0.976	4249	306	KNSTD	0	0	0	2004	447	65	-	-	444	40	32	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-45	Scha2009-F	Kiwi-930	-43.6921	170.0940	880	1.6	2.7	0.971	6780	692	KNSTD	0	0	0	2004	718	146	-	-	717	83	73	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-46	Scha2009-G	Kiwi-X51	-43.6931	170.1057	942	1.57	2.7	0.956	10372	284	07KNSTD	0	0	0	2004	1066	59	-	-	1196	74	33	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-47	Scha2009-G	Kiwi-967	-43.6925	170.1063	960	1.9	2.7	0.970	12735	841	KNSTD	0	0	0	2004	1279	169	-	-	1289	111	85	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-48	Scha2009-G	Kiwi-968	-43.6925	170.1063	961	3.1	2.7	0.943	13684	835	KNSTD	0	0	0	2004	1428	174	-	-	1433	118	87	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-49	Scha2009-G	Kiwi-X49	-43.6929	170.1059	944	2.2	2.7	0.952	13540	342	07KNSTD	0	0	0	2004	1409	70	-	-	1560	95	39	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-50	Scha2009-G	Kiwi-X52	-43.6891	170.1096	993	2.86	2.7	0.951	14647	464	07KNSTD	0	0	0	2004	1474	92	-	-	1628	104	52	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-51	Scha2009-G	Kiwi-X53	-43.6889	170.1098	997	1.69	2.7	0.947	15411	492	07KNSTD	0	0	0	2004	1539	99	-	-	1698	109	54	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-52	Scha2009-H	Kiwi-628	-43.6943	170.1637	781	5	2.7	0.990	13624	598	KNSTD	0	0	0	2004	1607	142	-	-	1610	114	71	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-53	Scha2009-H	Kiwi-971	-43.6924	170.1633	763	1.43	2.7	0.979	13749	549	07KNSTD	0	0	0	2004	1617	129	-	-	1794	123	72	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-54	Scha2009-H	Kiwi-700-1	-43.6953	170.1644	782	6.8	2.7	0.991	15620	637	KNSTD	0	0	0	2004	1874	154	-	-	1879	129	77	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-54	Scha2009-H	Kiwi-700-3	-43.6953	170.1644	782	1.6	2.7	0.991	14828	501	KNSTD	0	0	0	2004	1700	116	-	-	1699	110	57	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-55	Scha2009-I	Kiwi-X70	-43.6999	170.0958	860	2.63	2.7	0.984	15816	461	07KNSTD	0	0	0	2004	1724	100	-	-	1910	120	56	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-56	Scha2009-I	Kiwi-X74	-43.6985	170.0942	865	2.91	2.7	0.985	16166	421	07KNSTD	0	0	0	2004	1758	91	-	-	1948	119	51	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-57	Scha2009-I	Kiwi-X73	-43.6985	170.0942	865	3.32	2.7	0.985	16625	506	07KNSTD	0	0	0	2004	1816	111	-	-	2014	127	61	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-58	Scha2009-I	Kiwi-X79	-43.6977	170.0944	861	3.54	2.7	0.989	16662	449	07KNSTD	0	0	0	2004	1822	98	-	-	2022	125	55	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-59	Scha2009-I	Kiwi-957	-43.6991	170.0959	856	2.72	2.7	0.977	16607	710	07KNSTD	0	0	0	2004	1833	158	-	-	2035	143	87	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-60	Scha2009-I	Kiwi-926	-43.6975	170.0940	861	2.22	2.7	0.979	17648	647	KNSTD	0	0	0	2004	1930	142	-	-	1930	128	71	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-61	Scha2009-I	Kiwi-X71	-43.6999	170.0956	861	5.5	2.7	0.985	17780	587	07KNSTD	0	0	0	2004	1987	131	-	-	2214	143	73	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-62	Scha2009-J	Kiwi-955	-43.6976	170.0959	849	2	2.7	0.976	17360	781	07KNSTD	0	0	0	2004	1921	174	-	-	2137	153	96	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-63	Scha2009-J	Kiwi-956	-43.6982	170.0969	842	4.03	2.7	0.973	18212	778	07KNSTD	0	0	0	2004	2070	176	-	-	2306	161	99	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-64	Scha2009-J	Kiwi-X66	-43.7146	170.0896	878	2.31	2.7	0.986	19526	476	07KNSTD	0	0	0	2004	2096	102	-	-	2329	141	57	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-65	Scha2009-K	Kiwi-902	-43.7167	170.0940	806	1.1	2.7	0.985	26983	1052	KNSTD	0	0	0	2004	3064	240	-	-	3069	208	120	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-66	Scha2009-K	Kiwi-905	-43.7173	170.0945	790	1.7	2.7	0.983	27187	1115	KNSTD	0	0	0	2004	3152	258	-	-	3162	218	130	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-67	Scha2009-K	Kiwi-938	-43.7171	170.0911	786	3.7	2.7	0.973	28220	1213	KNSTD	0	0	0	2004	3369	289	-	-	3387	238	146	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-68	Scha2009-K	Kiwi-937	-43.7165	170.0900	807	3.1	2.7	0.981	28950	1332	KNSTD	0	0	0	2004	3352	309	-	-	3366	243	155	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-69	Scha2009-L	Kiwi-610-2	-43.7007	170.1603	693	3.1	2.7	0.979	50048	1301	KNSTD	0	0	0	2004	6368	755	-	-	6411	393	167	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-70	Scha2009-L	Kiwi-801B	-43.7207	170.0920	760	3.2	2.7	0.980	53327	3154	KNSTD	0	0	0	2004	6333	329	-	-	6435	522	381	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-71	Scha2009-L	Kiwi-915	-43.7007	170.1603	693	1.8	2.7	0.979	52085	1354	KNSTD	0	0	0	2004	6512	340	-	-	6590	404	172	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-72	Scha2009-L	Kiwi-609	-43.7005	170.1601	691	4	2.7	0.979	51364	1272	KNSTD	0	0	0	2004	6548	324	-	-	6634	403	165	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-73	Scha2009-L	Kiwi-627	-43.7008	170.1604	693	10	2.7	0.981	49322	1267	KNSTD	0	0	0	2004	6574	338	-	-	6678	409	172	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-74	Scha2009-L	Kiwi-626-2	-43.7005	170.1601	691	4.3	2.7	0.982	53333	1297	KNSTD	0	0	0	2004	6785	331	-	-	6875	417	167	-	-	-	-

Reference:
Schaefer JM, Denton GH, Kaplan M, Putnam A, Finkel RC, Barrell DJA, Andersen BG, Schwartz R, Mackintosh A, Chinn T, Schlüchter C, 2009. High-frequency Holocene glacier fluctuations in New Zealand differ from the northern signature. Science 324, 622-625.

Data comments:
Sampling year assumed to be 2004.
Group ID based on publication (Tables S2-S3).

expage.github.io - data from expage-201902
