Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Ullman et al. (2015)	boulder	Ullm2015-32	Ullm2015-E	LCBC-11-02	45.227	-88.768	408	2	2.65	1	109884	9181	07KNSTD	0	0	0	2011	19300	1600	-	-	20055	1891	1684	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-33	Ullm2015-E	LCBC-11-03	45.227	-88.768	417	1.5	2.65	1	114498	5020	07KNSTD	0	0	0	2011	19900	900	-	-	20606	1268	908	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-34	Ullm2015-E	LCBC-11-04	45.227	-88.769	430	2	2.65	1	95591	4981	07KNSTD	0	0	0	2011	16500	900	-	-	17193	1163	900	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-35	Ullm2015-E	LCBC-11-05	45.227	-88.769	375	2	2.65	1	65205	3306	07KNSTD	0	0	0	2011	11800	600	-	-	12398	824	631	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-36	Ullm2015-F	BH-09-01	43.398	-89.692	397	2	2.65	1	119507	7840	07KNSTD	0	0	0	2009	21600	1400	-	-	22663	1784	1495	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-37	Ullm2015-F	BH-09-02	43.397	-89.692	419	4	2.75	1	342928	13020	07KNSTD	0	0	0	2009	61500	2400	-	-	63638	3695	2455	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-38	Ullm2015-F	BH-09-03	43.397	-89.692	411	4	2.65	1	262284	9045	07KNSTD	0	0	0	2009	46900	1700	-	-	48685	2705	1700	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-39	Ullm2015-F	BH-09-04	43.398	-89.693	427	2	2.65	1	91498	7502	07KNSTD	0	0	0	2009	16200	1300	-	-	17123	1590	1410	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-40	Ullm2015-F	BH-09-05	43.398	-89.693	431	3	2.65	1	117868	7871	07KNSTD	0	0	0	2009	20900	1400	-	-	21876	1744	1469	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-41	Ullm2015-F	BH-09-06	43.398	-89.694	425	3	2.75	1	149105	6170	07KNSTD	0	0	0	2009	26400	1100	-	-	27607	1653	1150	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-42	Ullm2015-F	BH-09-07	43.398	-89.695	425	2	2.65	1	151706	7226	07KNSTD	0	0	0	2009	26700	1300	-	-	27817	1792	1334	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-43	Ullm2015-F	BH-09-08	43.399	-89.694	424	4	2.65	1	129017	5504	07KNSTD	0	0	0	2009	23100	1000	-	-	24222	1471	1040	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-44	Ullm2015-F	BH-09-09	43.400	-89.692	404	5	2.75	1	376692	13868	07KNSTD	0	0	0	2009	69000	2700	-	-	71575	4109	2683	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-45	Ullm2015-F	BH-12-05	43.398	-89.686	363	2	2.65	1	73741	8670	07KNSTD	0	0	0	2012	13800	1600	-	-	14691	1844	1734	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-46	Ullm2015-F	BH-12-06	43.397	-89.686	371	2.3	2.65	1	77596	5414	07KNSTD	0	0	0	2012	14400	1000	-	-	15359	1261	1076	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-47	Ullm2015-F	BH-12-07	43.397	-89.686	364	2.3	2.65	1	89353	5535	07KNSTD	0	0	0	2012	16700	1000	-	-	17743	1341	1104	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-48	Ullm2015-F	BH-12-09	43.397	-89.690	405	2	2.65	1	142500	19665	07KNSTD	0	0	0	2012	25500	3600	-	-	26662	3877	3704	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-49	Ullm2015-G	BH-12-01	43.498	-89.637	366	2	2.65	1	104533	4814	07KNSTD	0	0	0	2012	19400	900	-	-	20464	1292	947	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-50	Ullm2015-G	BH-12-02	43.501	-89.640	336	1.3	2.65	1	101423	5547	07KNSTD	0	0	0	2012	19300	1100	-	-	20304	1416	1116	-	-	-	-

Reference:
Ullman DJ, Carlson AE, LeGrande AN, Anslow FS, Moore AK, Caffee M, Syverson KM, Licciardi JM, 2015. Southern Laurentide ice-sheet retreat synchronous with rising boreal summer insolation. Geology 43, 23-26.

Data comments:
Sampling year based on sample names.

expage.github.io
