Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Young et al. (2020b)	boulder	Youn2020b-51	Youn2020b-J	17GRO-09	64.28315	-49.47899	772	1.77	2.65	1	156733	4026	07KNSTD	1128431	21620	KNSTD	2017	17220	440	-	-	16881	1033	435	17131	1201	331	-
Young et al. (2020b)	boulder	Youn2020b-52	Youn2020b-J	17GRO-10	64.28052	-49.47035	675	1.19	2.65	1	109163	2601	07KNSTD	760447	25647	KNSTD	2017	13020	310	-	-	12747	770	305	12486	940	424	-
Young et al. (2020b)	boulder	Youn2020b-53	Youn2020b-J	17GRO-11	64.28105	-49.46340	638	1.48	2.65	0.993	80569	1972	07KNSTD	595722	26652	KNSTD	2017	10020	250	-	-	9781	593	240	10170	822	457	-
Young et al. (2020b)	boulder	Youn2020b-54	Youn2020b-J	17GRO-12	64.28090	-49.45737	591	1.36	2.65	0.993	184334	4058	07KNSTD	1238250	38666	KNSTD	2017	24000	530	-	-	23598	1412	523	22314	1664	704	-
Young et al. (2020b)	boulder	Youn2020b-55	Youn2020b-J	17GRO-13	64.28094	-49.45633	600	1.68	2.65	0.993	117860	3111	07KNSTD	708831	29721	KNSTD	2017	15230	400	-	-	14939	919	396	12606	1000	532	-
Young et al. (2020b)	boulder	Youn2020b-56	Youn2020b-J	17GRO-14	64.28088	-49.45694	599	1.17	2.65	0.993	154381	3062	07KNSTD	1065557	30564	KNSTD	2017	19900	400	-	-	19550	1154	390	18986	1393	550	-
Young et al. (2020b)	boulder	Youn2020b-57	Youn2020b-J	17GRO-71	64.28185	-49.45657	600	0.88	2.65	1	54215	1302	07KNSTD	398413	17757	KNSTD	2017	6900	170	-	-	6771	409	163	6981	563	312	-
Young et al. (2020b)	boulder	Youn2020b-58	Youn2020b-J	17GRO-72	64.22263	-49.58746	461	2.89	2.65	1	47598	1100	07KNSTD	332019	12708	KNSTD	2017	7010	160	-	-	6883	413	159	6729	520	258	-
Young et al. (2020b)	boulder	Youn2020b-59	Youn2020b-J	17GRO-73	64.22220	-49.58950	458	1.67	2.65	1	46618	1106	07KNSTD	325062	16412	KNSTD	2017	6810	160	-	-	6691	403	159	6538	549	331	-
Young et al. (2020b)	boulder	Youn2020b-60	Youn2020b-J	17GRO-74	64.22466	-49.58567	483	1.32	2.65	1	46234	1015	07KNSTD	337103	13339	KNSTD	2017	6580	140	-	-	6462	385	142	6605	514	262	-
Young et al. (2020b)	boulder	Youn2020b-61	Youn2020b-J	17GRO-75	64.22476	-49.58792	481	3.7	2.65	1	45588	1847	07KNSTD	320105	14378	KNSTD	2017	6630	270	-	-	6516	447	264	6413	518	289	-

Reference:
Young NE, Lesnek AJ, Cuzzone JK, Briner JP, Badgeley JA, Balter-Kennedy A, Graham BL, Cluett A, Lamp JL, Schwartz R, Tuna T, Bard E, Caffee MW, Zimmerman SRH, Schaefer JM, 2020b. Cosmogenic isotope measurements from recently deglaciated bedrock as a new tool to decipher changes in Greenland ice sheet size. Climate of the Past Discussions.

Data comments:
All sample data present in publication.
Group ID based on publication (Table S3) although split into two groups based on location for groups Youn2020b-F and Youn2020b-G. Three samples grouped with Sinclair et al. (2019) samples.

expage.github.io - data from expage-202103
