Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Li et al. (2014)	boulder	Li2014-28	Li2014-F	ARL-10-006	42.941	86.898	3402	1.5	2.7	0.9979	3279000	41000	07KNSTD	0	0	0	2010	69700	3500	-	-	63116	3477	802	-	-	-	-
Li et al. (2014)	boulder	Li2014-29	Li2014-F	ARL-10-007	42.94	86.898	3398	2	2.7	0.998	2485000	36000	07KNSTD	0	0	0	2010	52900	2700	-	-	47893	2652	702	-	-	-	-
Li et al. (2014)	boulder	Li2014-30	Li2014-F	ARL-10-008	42.94	86.898	3399	2	2.7	0.998	3624000	70000	07KNSTD	0	0	0	2010	77600	4100	-	-	70130	4010	1379	-	-	-	-
Li et al. (2014)	bedrock	Li2014-31	Li2014-G	DDSL-10-001	42.855	86.898	2933	2	2.7	0.9962	2291000	51000	07KNSTD	0	0	0	2010	65200	3500	-	-	60597	3523	1370	-	-	-	-
Li et al. (2014)	bedrock	Li2014-32	Li2014-G	DDSL-10-002	42.855	86.898	2926	2	2.7	0.9962	3635000	80000	07KNSTD	0	0	0	2010	103800	5700	-	-	97096	5688	2190	-	-	-	-
Li et al. (2014)	boulder	Li2014-33	Li2014-G	DDSL-10-003	42.855	86.898	2922	0.5	2.7	0.9979	7084000	144000	07KNSTD	0	0	0	2010	203100	11200	-	-	189374	11231	4038	-	-	-	-
Li et al. (2014)	boulder	Li2014-34	Li2014-G	DDSL-10-004	42.855	86.898	2927	3	2.7	0.9979	4852000	90000	07KNSTD	0	0	0	2010	139400	7500	-	-	129711	7495	2486	-	-	-	-
Li et al. (2014)	boulder	Li2014-35	Li2014-G	DDSL-10-005	42.854	86.898	2921	3	2.7	0.9972	4388000	78000	07KNSTD	0	0	0	2010	126300	6700	-	-	117906	6762	2159	-	-	-	-
Li et al. (2014)	bedrock	Li2014-36	Li2014-G	DDSL-10-006	42.855	86.898	2919	3	2.7	0.9972	2175000	83000	07KNSTD	0	0	0	2010	62900	3900	-	-	58517	3867	2266	-	-	-	-
Li et al. (2014)	boulder	Li2014-37	Li2014-G	DDSL-10-007	42.854	86.899	2911	0.5	2.7	0.995	4396000	125000	07KNSTD	0	0	0	2010	124900	7200	-	-	116705	7203	3417	-	-	-	-
Li et al. (2014)	bedrock	Li2014-38	Li2014-G	DDSL-10-008	42.854	86.899	2911	2	2.7	0.996	2932000	137000	07KNSTD	0	0	0	2010	84700	5800	-	-	78881	5671	3759	-	-	-	-
Li et al. (2014)	bedrock	Li2014-39	Li2014-H	DDSL-10-014	42.887	86.849	3385	2	2.7	0.9987	3405000	128000	07KNSTD	0	0	0	2010	73500	4600	-	-	66498	4381	2542	-	-	-	-
Li et al. (2014)	bedrock	Li2014-40	Li2014-H	DDSL-10-015	42.889	86.849	3396	2	2.7	0.9986	6544000	82000	07KNSTD	0	0	0	2010	140400	7300	-	-	127069	7115	1644	-	-	-	-
Li et al. (2014)	bedrock	Li2014-41	Li2014-H	DDSL-10-016	42.892	86.847	3450	3	2.7	0.9991	3480000	40000	07KNSTD	0	0	0	2010	72900	3700	-	-	65724	3608	768	-	-	-	-
Li et al. (2014)	boulder	Li2014-42	Li2014-I	1--10-18	43.115	86.825	3686	3	2.7	0.9718	16600	1800	07KNSTD	0	0	0	2010	360	40	-	-	405	49	44	-	-	-	-
Li et al. (2014)	boulder	Li2014-43	Li2014-I	1--10-19	43.115	86.825	3691	2	2.7	0.9718	20000	1800	07KNSTD	0	0	0	2010	430	50	-	-	483	50	43	-	-	-	-
Li et al. (2014)	boulder	Li2014-44	Li2014-I	1--10-20	43.115	86.825	3694	1	2.7	0.9718	19300	4500	07KNSTD	0	0	0	2010	410	100	-	-	463	111	108	-	-	-	-
Li et al. (2014)	boulder	Li2014-45	Li2014-I	1--10-21	43.115	86.825	3698	3.5	2.7	0.9718	18400	2200	07KNSTD	0	0	0	2010	400	50	-	-	449	59	54	-	-	-	-

Reference:
Li YK, Liu GN, Chen YX, Li YN, Harbor J, Stroeven AP, Caffee M, Zhang M, Li CC, Cui ZJ, 2014. Timing and extent of Quaternary glaciations in the Tianger Range, eastern Tian Shan, China, investigated using 10Be surface exposure dating. Quaternary Science Reviews 98, 7-23.

Data comments:
Sampling year based on sample names.

expage.github.io
