Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Goehring et al. (2008)	boulder	Goeh2008-64	Ling2006a-I	EL05-12	62.1429	12.0516	1284	2.5	2.6	1	193000	12000	NIST_Certified	0	0	0	2005	13830	860	-	-	14353	1260	896	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-65	Ling2006a-I	EL05-11	62.1436	12.0612	1349	2.5	2.6	1	220000	14000	NIST_Certified	0	0	0	2005	14940	920	-	-	15485	1377	989	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-66	Ling2006a-I	EL05-9	62.1455	12.0653	1407	1	2.6	1	231000	15000	NIST_Certified	0	0	0	2005	14830	990	-	-	15292	1374	997	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-67	Ling2006a-I	EL05-7	62.1494	12.0643	1460	1	2.6	1	218000	16000	NIST_Certified	0	0	0	2005	13470	990	-	-	13811	1328	1017	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-68	Ling2006a-I	EL05-8	62.1484	12.0653	1460	4	2.6	1	147000	11000	NIST_Certified	0	0	0	2005	9240	720	-	-	9531	926	715	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-69	Ling2006a-I	EL05-6	62.1489	12.0653	1461	1	2.6	1	186000	13000	NIST_Certified	0	0	0	2005	11460	800	-	-	11780	1100	826	-	-	-	-

Reference:
Goehring BM, Brook EJ, Linge H, Raisbeck GM, Yiou F, 2008. Beryllium-10 exposure ages of erratic boulders in southern Norway and implications for the history of the Fennoscandian ice sheet. Quaternary Science Reviews 27, 320-336.

Data comments:
Sample thickness back-calculated based on thickness correction factors in Table 1 and in the supplementary data.
Sampling year based on sample names.
Group ID based on sample location and geomorphology. 21 samples (groups Broo1996-A/B/C) grouped with Brook et al (1996) samples. 18 samples (groups Ling2006a-H/I) grouped Linge et al. (2006a) samples. 7 samples (group Goeh2008-E) grouped with Marr et al. (2019) samples.

expage.github.io - data from expage-202306
