Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Seong et al. (2009b)	boulder	Seon2009b-30	Seon2009b-E	MUST-30	38.364	75.171	4026	5	2.65	0.98	467000	12000	KNSTD	0	0	0	2007	7000	200	-	-	8093	476	208	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-31	Seon2009b-E	MUST-31	38.363	75.171	4028	5	2.65	0.98	431000	11000	KNSTD	0	0	0	2007	6400	200	-	-	7529	442	193	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-32	Seon2009b-F	MUST-32	38.361	75.171	4082	5	2.65	0.99	119000	6000	KNSTD	0	0	0	2007	1700	100	-	-	2171	159	110	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-33	Seon2009b-F	MUST-33	38.361	75.171	4081	5	2.65	0.99	124000	6000	KNSTD	0	0	0	2007	1800	100	-	-	2271	163	110	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-34	Seon2009b-F	MUST-34	38.360	75.172	4094	5	2.65	0.99	129000	6000	KNSTD	0	0	0	2007	1800	100	-	-	2347	165	109	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-35	Seon2009b-F	MUST-35	38.359	75.172	4120	5	2.65	0.98	150000	6000	KNSTD	0	0	0	2007	2100	100	-	-	2665	177	107	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-36	Seon2009b-F	MUST-36	38.356	75.173	4167	5	2.65	0.99	127000	6000	KNSTD	0	0	0	2007	1700	100	-	-	2217	157	105	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-37	Seon2009b-F	MUST-37	38.356	75.173	4176	5	2.65	0.99	125000	5000	KNSTD	0	0	0	2007	1700	100	-	-	2167	144	87	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-38	Seon2009b-F	MUST-38	38.355	75.173	4180	5	2.65	0.99	124000	9000	KNSTD	0	0	0	2007	1700	100	-	-	2142	192	156	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-39	Seon2009b-G	MUST-39	38.353	75.171	4228	5	2.65	1	29000	5000	KNSTD	0	0	0	2007	400	100	-	-	562	101	97	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-40	Seon2009b-G	MUST-40	38.353	75.171	4227	5	2.65	1	61000	5000	KNSTD	0	0	0	2007	800	100	-	-	1067	104	87	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-41	Seon2009b-G	MUST-41	38.353	75.170	4238	5	2.65	1	39000	4000	KNSTD	0	0	0	2007	500	100	-	-	737	85	76	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-42	Seon2009b-H	MUST-42	38.411	75.165	3719	5	2.65	1	1009000	37000	KNSTD	0	0	0	2007	17400	600	-	-	19142	1236	705	-	-	-	-
