Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Owen et al. (2010)	boulder	Owen2010-1	Owen2010-A	Na24	30.3791	81.1844	4433	1	2.7	1	2542000	59700	07KNSTD	0	0	0	2008	37700	3400	-	-	39913	2421	947	-	-	-	-
Owen et al. (2010)	boulder	Owen2010-2	Owen2010-A	Na25	30.3792	81.1843	4432	0.5	2.7	1	2800500	54500	07KNSTD	0	0	0	2008	41500	3700	-	-	42802	2535	842	-	-	-	-
Owen et al. (2010)	boulder	Owen2010-3	Owen2010-A	Na26	30.3789	81.1844	4433	3	2.7	1	3047000	102400	07KNSTD	0	0	0	2008	46100	4300	-	-	47204	3090	1605	-	-	-	-
Owen et al. (2010)	boulder	Owen2010-4	Owen2010-A	Na27	30.3792	81.1845	4438	1.5	2.7	1	1481200	27100	07KNSTD	0	0	0	2008	21900	2000	-	-	25776	1511	475	-	-	-	-
Owen et al. (2010)	boulder	Owen2010-5	Owen2010-A	Na28	30.3794	81.1847	4438	1	2.7	1	2818100	55000	07KNSTD	0	0	0	2008	41800	3800	-	-	43051	2551	849	-	-	-	-
Owen et al. (2010)	boulder	Owen2010-6	Owen2010-A	Na29	30.3792	81.1845	4431	2	2.7	1	2348600	41200	07KNSTD	0	0	0	2008	35200	3100	-	-	37802	2213	669	-	-	-	-
Owen et al. (2010)	boulder	Owen2010-7	Owen2010-B	Na30	30.3773	81.1825	4398	2	2.7	1	2844700	49000	07KNSTD	0	0	0	2008	43400	3900	-	-	44464	2603	774	-	-	-	-
Owen et al. (2010)	boulder	Owen2010-8	Owen2010-B	Na31	30.3775	81.1821	4387	2	2.7	0.9664	2907400	41100	07KNSTD	0	0	0	2008	46100	4100	-	-	47401	2737	678	-	-	-	-
Owen et al. (2010)	boulder	Owen2010-9	Owen2010-B	Na32	30.3774	81.1819	4385	2	2.7	1	2574700	55800	07KNSTD	0	0	0	2008	39500	3600	-	-	41257	2475	903	-	-	-	-
Owen et al. (2010)	boulder	Owen2010-10	Owen2010-B	Na33	30.3775	81.1819	4378	2	2.7	1	2904300	50900	07KNSTD	0	0	0	2008	44700	4000	-	-	45791	2686	812	-	-	-	-
