Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Corbett et al. (2016a)	bedrock	Corb2016-91	Corb2016-AE	PTD94-08	65.44364	-63.45487	160	3	2.7	0.988	58256	5621	LLNL3000	395107	18622	KNSTD	1994	10300	1000	11900	500	9990	1114	966	10944	890	519	-
Corbett et al. (2016a)	cobble	Corb2016-92	Corb2016-AE	PTD94-09a	65.44364	-63.45487	160	2	2.7	0.988	66751	5256	LLNL3000	514656	20805	KNSTD	1994	11800	900	15400	600	11373	1098	898	14178	1101	577	-
Corbett et al. (2016a)	cobble	Corb2016-93	Corb2016-AE	PTD94-09b	65.44364	-63.45487	160	2	2.7	0.988	56909	5631	LLNL3000	397961	18341	KNSTD	1994	10100	1000	11900	500	9659	1098	958	10926	881	506	-
Corbett et al. (2016a)	cobble	Corb2016-94	Corb2016-AE	PTD94-09c	65.44364	-63.45487	160	3	2.7	0.988	59484	5118	LLNL3000	388374	17247	KNSTD	1994	10600	900	11700	500	10197	1046	880	10741	856	480	-
Corbett et al. (2016a)	bedrock	Corb2016-95	Corb2016-AF	PTD94-10	65.64153	-68.05429	183	2	2.7	0.999	82507	5477	LLNL3000	518556	26583	KNSTD	1994	14200	900	15100	800	13677	1187	911	13868	1163	716	-
Corbett et al. (2016a)	cobble	Corb2016-96	Corb2016-AF	PTD94-11a	65.64153	-68.05429	183	3	2.7	0.999	41478	5091	LLNL3000	271157	16799	KNSTD	1994	7200	900	8000	500	6931	935	852	7280	660	453	-
Corbett et al. (2016a)	cobble	Corb2016-97	Corb2016-AF	PTD94-11b	65.64153	-68.05429	183	3	2.7	0.999	54408	5257	LLNL3000	336670	15753	KNSTD	1994	9400	900	9900	500	9047	1010	876	9020	731	424	-
Corbett et al. (2016a)	boulder	Corb2016-98	Corb2016-AG	PTD94-13	66.13717	-65.68400	110	5	2.7	0.993	55133	5212	LLNL3000	353178	14700	KNSTD	1994	10500	1000	11400	500	10108	1110	958	10428	815	436	-
Corbett et al. (2016a)	bedrock	Corb2016-99	Corb2016-AH	PTD94-14	66.69100	-67.75017	290	3	2.7	1	130982	6100	LLNL3000	851998	32690	KNSTD	1994	20200	900	22500	800	19751	1437	924	20791	1598	806	-
Corbett et al. (2016a)	cobble	Corb2016-100	Corb2016-AH	PTD94-15a	66.69100	-67.75017	290	3	2.7	1	40795	5162	LLNL3000	288717	16463	KNSTD	1994	6300	800	7600	400	6131	848	777	6987	610	400	-
Corbett et al. (2016a)	cobble	Corb2016-101	Corb2016-AH	PTD94-15b	66.69100	-67.75017	290	3	2.7	1	41491	5149	LLNL3000	302410	20170	KNSTD	1994	6400	800	7900	500	6233	848	775	7301	686	489	-
