Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Seong et al. (2007)	bedrock	Seon2007-39	Seon2007-H	K2-63	35.694	75.718	2944	2	2.65	0.69	290000	10000	KNSTD	0	0	0	2005	11700	400	-	-	14603	957	505	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-40	Seon2007-I	K2-65	35.672	75.814	3113	3	2.65	0.80	400000	10000	KNSTD	0	0	0	2005	12600	400	-	-	15587	951	391	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-41	Seon2007-I	K2-66	35.672	75.814	3128	3	2.65	0.80	160000	10000	KNSTD	0	0	0	2005	5100	200	-	-	6377	533	399	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-42	Seon2007-I	K2-67	35.672	75.814	3122	5	2.65	0.80	170000	10000	KNSTD	0	0	0	2005	5400	200	-	-	6980	565	411	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-43	Seon2007-I	K2-68	35.672	75.814	3113	3	2.65	0.80	180000	10000	KNSTD	0	0	0	2005	5800	200	-	-	7288	573	406	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-44	Seon2007-I	K2-69	35.672	75.814	3109	3.5	2.65	0.80	210000	10000	KNSTD	0	0	0	2005	6500	200	-	-	8451	619	403	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-45	Seon2007-I	K2-70	35.672	75.814	3106	2	2.65	0.79	180000	10000	KNSTD	0	0	0	2005	5700	200	-	-	7347	578	409	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-46	Seon2007-J	K2-72	35.703	75.954	4209	2	2.65	1	910000	20000	KNSTD	0	0	0	2005	12700	300	-	-	15005	898	331	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-47	Seon2007-J	K2-73	35.703	75.952	4213	2	2.65	1	930000	20000	KNSTD	0	0	0	2005	12900	300	-	-	15252	910	329	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-48	Seon2007-J	K2-74	35.703	75.953	4212	2	2.65	1	940000	20000	KNSTD	0	0	0	2005	13100	300	-	-	15398	918	329	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-49	Seon2007-J	K2-75	35.704	75.952	4215	3	2.65	1	920000	30000	KNSTD	0	0	0	2005	12700	400	-	-	15197	981	497	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-50	Seon2007-J	K2-76	35.703	75.952	4211	3	2.65	1	1190000	30000	KNSTD	0	0	0	2005	16500	400	-	-	19016	1163	482	-	-	-	-
