Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Kaplan et al. (2016)	boulder	Kapl2016-42	Kapl2016-E	PE-07-32	-49.9059	-73.1452	215.60	1.03	2.65	0.995	5457	298	07KNSTD	0	0	0	2007	1120	60	-	-	1085	84	59	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-43	Kapl2016-E	PE-09-46	-49.9046	-73.1287	217.15	0.84	2.65	0.998	5619	901	07KNSTD	0	0	0	2009	1150	180	-	-	1109	188	178	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-44	Kapl2016-E	PE-09-47	-49.9061	-73.1304	211.68	1.14	2.65	0.999	6461	644	07KNSTD	0	0	0	2009	1330	130	-	-	1268	145	126	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-45	Kapl2016-E	PE-09-48	-49.9060	-73.1302	212.07	1.92	2.65	0.997	6291	344	07KNSTD	0	0	0	2009	1300	70	-	-	1247	97	68	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-46	Kapl2016-E	PE-10-24	-49.8990	-73.1268	212.26	1.17	2.65	0.998	6923	386	07KNSTD	0	0	0	2010	1420	80	-	-	1353	106	75	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-47	Kapl2016-E	PE-10-25	-49.9008	-73.1269	209.21	1.2	2.65	0.998	7711	311	07KNSTD	0	0	0	2010	1580	60	-	-	1506	103	61	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-48	Kapl2016-F	PE-10-07	-49.8773	-73.1454	239.61	3.61	2.65	0.998	1231	71	07KNSTD	0	0	0	2010	270	20	-	-	300	24	17	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-49	Kapl2016-F	PE-10-08	-49.8772	-73.1459	234.54	1.57	2.65	0.998	1218	77	07KNSTD	0	0	0	2010	260	20	-	-	294	25	19	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-50	Kapl2016-F	PE-10-09	-49.8754	-73.1466	232.28	1.13	2.65	0.996	1149	84	07KNSTD	0	0	0	2010	250	20	-	-	280	26	21	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-51	Kapl2016-F	PE-10-10	-49.8752	-73.1462	239.07	0.83	2.65	0.997	1182	108	07KNSTD	0	0	0	2010	250	20	-	-	285	30	26	-	-	-	-
