Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Andersen et al. (2018b)	bedrock	Ande2018b-51	Ande2018b-U	SF38	61.0308	5.1631	675	5.5	2.65	1	104080	4940	07KNSTD	0	0	KNSTD	2016	13100	1300	-	-	13146	962	626	-	-	-	-
Andersen et al. (2018b)	boulder	Ande2018b-52	Ande2018b-U	SF39	61.0304	5.1639	666	4.2	2.65	1	101253	4343	07KNSTD	0	0	KNSTD	2016	12800	1200	-	-	12748	896	549	-	-	-	-
Andersen et al. (2018b)	boulder	Ande2018b-53	Ande2018b-U	SF40	61.0304	5.1628	672	5.4	2.65	1	90170	4160	07KNSTD	0	0	KNSTD	2016	11400	1100	-	-	11392	824	527	-	-	-	-
Andersen et al. (2018b)	bedrock	Ande2018b-54	Ande2018b-U	SF41	61.0311	5.1574	681	4.2	2.65	1	111377	4485	07KNSTD	0	0	KNSTD	2016	13800	1300	-	-	13844	952	559	-	-	-	-
Andersen et al. (2018b)	bedrock	Ande2018b-55	Ande2018b-V	SF43	61.1547	6.4532	951	3	2.65	1	116750	4032	07KNSTD	845972	30344	KNSTD	2016	11300	1000	12200	1100	11288	739	391	11499	865	415	-
Andersen et al. (2018b)	bedrock	Ande2018b-56	Ande2018b-V	SF44	61.1544	6.4534	952	3	2.65	1	119541	3641	07KNSTD	852110	31670	KNSTD	2016	11600	1100	12200	1100	11560	733	353	11573	878	433	-
Andersen et al. (2018b)	bedrock	Ande2018b-57	Ande2018b-V	SF45	61.1615	6.4390	1008	3.2	2.65	1	129644	4153	07KNSTD	842538	26009	KNSTD	2016	12000	1100	11600	1100	11963	768	384	10911	796	339	-
Andersen et al. (2018b)	bedrock	Ande2018b-58	Ande2018b-V	SF46	61.1615	6.4417	1013	3.5	2.65	1	130075	3605	07KNSTD	878995	38087	KNSTD	2016	12000	1100	12000	1200	11982	745	333	11368	900	495	-
Andersen et al. (2018b)	bedrock	Ande2018b-59	Ande2018b-W	SF47	61.2360	6.0212	909	2.5	2.65	1	113072	3758	07KNSTD	825792	27252	KNSTD	2016	11300	1000	12200	1100	11280	731	376	11577	856	384	-
Andersen et al. (2018b)	bedrock	Ande2018b-60	Ande2018b-W	SF48	61.2375	6.0233	906	3	2.65	1	248525	5974	07KNSTD	1682855	41677	KNSTD	2016	25100	2200	25300	2300	25171	1530	609	23986	1704	601	-
Andersen et al. (2018b)	bedrock	Ande2018b-61	Ande2018b-W	SF49	61.2391	6.0192	946	2	2.65	1	168774	4724	07KNSTD	1122487	32764	KNSTD	2016	16300	1500	16100	1500	16298	1016	458	15226	1103	448	-
Andersen et al. (2018b)	bedrock	Ande2018b-62	Ande2018b-W	SF50	61.2426	6.0105	956	4	2.65	1	194305	4640	07KNSTD	1240443	34340	KNSTD	2016	19000	1700	17900	1600	18947	1149	455	16993	1221	474	-
Andersen et al. (2018b)	bedrock	Ande2018b-63	Ande2018b-W	SF51	61.2382	5.9966	964	3	2.65	1	210125	5180	07KNSTD	1313445	39716	KNSTD	2016	20200	1800	18700	1700	20185	1230	500	17727	1293	541	-
Andersen et al. (2018b)	bedrock	Ande2018b-64	Ande2018b-W	SF52	61.2357	5.9965	1001	2	2.65	1	195281	5033	07KNSTD	1425990	47542	KNSTD	2016	18000	1600	19500	1800	17990	1104	466	18493	1375	622	-
Andersen et al. (2018b)	bedrock	Ande2018b-65	Ande2018b-X	SF53	61.1093	5.4439	678	1.5	2.65	1	104061	3620	07KNSTD	644551	27521	KNSTD	2016	12700	1200	11600	1100	12662	831	442	10970	864	471	-
Andersen et al. (2018b)	bedrock	Ande2018b-66	Ande2018b-X	SF54	61.1096	5.4414	679	1.5	2.65	1	97300	3480	07KNSTD	715198	22522	KNSTD	2016	11800	1100	12900	1200	11822	782	424	12175	892	386	-
Andersen et al. (2018b)	bedrock	Ande2018b-67	Ande2018b-X	SF55	61.1094	5.4298	664	3.5	2.65	1	98007	3717	07KNSTD	672362	31231	KNSTD	2016	12300	1200	12500	1200	12283	827	467	11797	955	551	-
Andersen et al. (2018b)	bedrock	Ande2018b-68	Ande2018b-X	SF56	61.1114	5.4307	672	3.5	2.65	1	94473	3517	07KNSTD	591074	27541	KNSTD	2016	11800	1100	10900	1100	11750	787	439	10259	830	480	-
Andersen et al. (2018b)	bedrock	Ande2018b-69	Ande2018b-X	SF57	61.1130	5.4348	679	3.8	2.65	1	99578	4114	07KNSTD	597387	28615	KNSTD	2016	12300	1200	10900	1100	12344	856	512	10332	844	497	-

Reference:
Andersen JL, Egholm DL, Knudsen MF, Linge H, Jansen JD, Pedersen VK, Nielsen SB, Tikhomirov D, Olsen J, Fabel D, Xu S, 2018b. Widespread erosion on high plateaus during recent glaciations in Scandinavia. Nature Communications 9, 830.

Data comments:
Sampling year assumed to be 2016.
Group ID based on sample location and geomorphology (groups in Supplementary Figure 2 split into smaller groups).

expage.github.io - data from expage-201904
