Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Wittmeier et al. (2020)	boulder	Witt2020-66	Witt2020-P	ROD-12-55	70.166	20.761	204	2.25	2.7	0.98	88400	1810	07KNSTD	0	0	0	2012	17257	354	-	-	16712	990	345	-	-	-	-
Wittmeier et al. (2020)	boulder	Witt2020-67	Witt2020-P	ROD-12-62	70.166	20.759	209	2.29	2.7	0.98	68700	1300	07KNSTD	0	0	0	2012	13296	252	-	-	12889	755	245	-	-	-	-
Wittmeier et al. (2020)	boulder	Witt2020-68	Witt2020-P	ROD-12-63	70.166	20.759	213	1.6	2.7	0.98	82600	1870	07KNSTD	0	0	0	2012	15845	360	-	-	15382	923	350	-	-	-	-
Wittmeier et al. (2020)	boulder	Witt2020-69	Witt2020-P	ROD-12-64	70.165	20.758	215	1.87	2.7	0.98	68400	1290	07KNSTD	0	0	0	2012	13151	248	-	-	12710	745	240	-	-	-	-

Reference:
Wittmeier HE, Schaefer JM, Bakke J, Rupper S, Paasche Ø, Schwartz R, Finkel RC, 2020. Late glacial mountain glacier culmination in arctic Norway prior to the Younger Dryas. Quaternary Science Reviews 245, 106461.

Data comments:
10Be concentration for sample ROD-12-61 assumed to be 87100 atoms/g. 10Be concentrations in Table 1 with "6+" adjusted to "E+".
Group ID based on publication (Table 1 and Figure 1) although the samples in groups Witt2020-A, -B, -C split into three separate groups based on location in Figure 1.

expage.github.io - data from expage-202103
