Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Owen et al. (2009)	bedrock	Owen2009-59	Owen2009-I	Ron-46	28.2566	86.8341	5226	3	2.7	1	19708000	206000	KNSTD	0	0	0	2007	228500	21000	-	-	201416	13493	2215	-	-	-	-
Owen et al. (2009)	bedrock	Owen2009-60	Owen2009-J	Ron-47	28.2560	86.8294	5123	3	2.7	1	9919000	155000	KNSTD	0	0	0	2007	117200	10600	-	-	107125	7123	1720	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-61	Owen2009-J	Ron-48	28.2560	86.8295	5133	3	2.7	1	29058000	250000	KNSTD	0	0	0	2007	361300	34300	-	-	320510	22038	2991	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-62	Owen2009-K	Ron-49	28.2531	86.8304	5114	1.5	2.7	1	26574000	229000	KNSTD	0	0	0	2007	326400	30700	-	-	291911	19926	2708	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-63	Owen2009-K	Ron-50	28.2531	86.8304	5113	1	2.7	1	24896000	215000	KNSTD	0	0	0	2007	303100	28400	-	-	272813	18532	2524	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-64	Owen2009-L	Ron-74	28.2449	86.8186	4836	0.5	2.7	0.98	2973000	64000	KNSTD	0	0	0	2007	39300	3500	-	-	37686	2526	819	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-65	Owen2009-L	Ron-75	28.2447	86.8186	4837	1.5	2.7	0.98	1114000	22000	KNSTD	0	0	0	2007	14800	1300	-	-	17091	1130	339	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-66	Owen2009-L	Ron-77	28.2443	86.8188	4841	2	2.7	0.98	766000	19000	KNSTD	0	0	0	2007	10200	900	-	-	12091	819	301	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-67	Owen2009-L	Ron-78	28.2453	86.8187	4838	1.8	2.7	0.98	1240000	25000	KNSTD	0	0	0	2007	16500	1500	-	-	18798	1246	381	-	-	-	-

Reference:
Owen LA, Robinson R, Benn DI, Finkel RC, Davis NK, Yi CL, Putkonen J, Li DW, Murray AS, 2009. Quaternary glaciation of Mount Everest. Quaternary Science Reviews 28, 1412-1433.

Data comments:
Density derived from Owen and Dortch (2014) supplementary table.
Sampling year assumed to be 2007.
Group ID based on sample location and geomorphology.

expage.github.io - data from expage-201803
