Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Rhee et al. (2020)	boulder/cobble	Rhee2020-40	Rhee2020-F	IEI022	-74.88286	163.69116	47.9	7.5	2.7	0.999459	99440	5260	07KNSTD	0	0	0	2018	18350	1460	-	-	19736	1517	1049	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-41	Rhee2020-G	IEI009	-74.88730	163.70580	36.9	6	2.7	0.999538	36200	3910	07KNSTD	319820	42870	KNSTD	2018	6650	820	-	-	7137	868	772	8770	1319	1181	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-42	Rhee2020-G	IEI010	-74.88701	163.70355	37	9	2.7	0.999538	161750	7580	07KNSTD	0	0	0	2018	30690	2330	-	-	33049	2415	1562	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-43	Rhee2020-G	IEI011	-74.88676	163.70553	37.1	8	2.7	0.999538	513860	13880	07KNSTD	0	0	0	2018	98510	6550	-	-	106188	6709	2946	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-44	Rhee2020-G	IEI012	-74.88706	163.70446	36.9	9.5	2.7	0.999538	27550	3710	07KNSTD	254270	42780	KNSTD	2018	5230	770	-	-	5608	818	756	7212	1310	1218	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-45	Rhee2020-G	IEI013	-74.88740	163.70420	36.6	6.5	2.7	0.999538	82940	18530	07KNSTD	0	0	0	2018	15330	3560	-	-	16481	3809	3697	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-46	Rhee2020-G	IEI014	-74.88704	163.70664	37.2	8.5	2.7	0.999538	135910	7190	07KNSTD	0	0	0	2018	25640	2050	-	-	27592	2126	1470	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-47	Rhee2020-G	IEI015	-74.88644	163.70760	37	7	2.7	0.999538	124720	6070	07KNSTD	0	0	0	2018	23230	1790	-	-	24977	1851	1223	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-48	Rhee2020-H	IEI001	-74.89207	163.72452	29.2	6	2.7	0.999747	327080	9950	07KNSTD	0	0	0	2018	61590	4150	-	-	66267	4251	2050	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-49	Rhee2020-H	IEI002	-74.89223	163.72318	27.9	9	2.7	0.999747	197440	8620	07KNSTD	0	0	0	2018	37880	2810	-	-	40808	2904	1800	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-50	Rhee2020-H	IEI003	-74.89212	163.72270	27.9	8.5	2.7	0.999747	117470	7650	07KNSTD	0	0	0	2018	22340	1970	-	-	24039	2066	1575	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-51	Rhee2020-H	IEI004	-74.89208	163.72260	27.9	8.9	2.7	0.999747	216010	8150	07KNSTD	0	0	0	2018	41460	2930	-	-	44660	3022	1704	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-52	Rhee2020-H	IEI005	-74.89190	163.72193	28.2	4.9	3	0.999747	746810	18050	07KNSTD	0	0	0	2018	143060	9460	-	-	154170	9669	3874	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-53	Rhee2020-H	IEI006	-74.89195	163.71918	29	6.8	3	0.999747	126000	6490	07KNSTD	0	0	0	2018	23760	1870	-	-	25563	1944	1325	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-54	Rhee2020-H	IEI007	-74.89273	163.71593	28.7	6.1	3	0.999747	210880	8790	07KNSTD	0	0	0	2018	39720	2900	-	-	42754	2992	1801	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-55	Rhee2020-H	IEI008	-74.89278	163.71558	28.8	4.9	3	0.999747	163610	8990	07KNSTD	0	0	0	2018	30400	2470	-	-	32684	2568	1811	-	-	-	-

Reference:
Rhee HH, Lee MK, Seong YB, Lee JI, Yoo K-C, Yu BY, 2020. Post-LGM dynamic deglaciation along the Victoria Land coast, Antarctica. Quaternary Science Reviews 247, 106595.

Data comments:
Sampling year assumed to be 2018 ("We visited the glacial landforms [---] during the 2017-18 austral summer").
Group ID based on publication (Table 1).

expage.github.io - data from expage-202012
