Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Borchers et al. (2016)	boulder	Borc2016-21	Borc2016-C	06-HKY-07	57.48778	-5.44772	500	6.25	2.59	0.989	77900	1500	07KNSTD	563000	21000	KNSTD	2006	-	-	-	-	11889	670	230	12086	928	454	-
Borchers et al. (2016)	boulder	Borc2016-22	Borc2016-C	06-HKY-08	57.48868	-5.44703	502	4	2.59	0.988	79600	1300	07KNSTD	560000	24000	KNSTD	2006	-	-	-	-	11914	660	195	11789	939	508	-
Borchers et al. (2016)	boulder	Borc2016-23	Borc2016-C	06-HKY-10	57.48732	-5.44866	510	6.75	2.59	0.987	78600	1400	07KNSTD	583000	22000	KNSTD	2006	-	-	-	-	11961	668	214	12483	961	474	-
Borchers et al. (2016)	boulder	Borc2016-24	Borc2016-C	06-HKY-11	57.48743	-5.44989	528	4	2.58	0.987	83800	1200	07KNSTD	606000	22000	KNSTD	2006	-	-	-	-	12261	672	176	12477	952	456	-
Borchers et al. (2016)	boulder	Borc2016-25	Borc2016-D	07-NE-001-BH	44.3143	-71.574	417	3.6	2.57	0.9929	77455	1568	07KNSTD	556132	21706	KNSTD	2007	-	-	-	-	14667	832	298	14862	1155	584	-
Borchers et al. (2016)	boulder	Borc2016-25	Borc2016-D	07-NE-001-BH	44.3143	-71.574	417	3.6	2.57	0.9929	77437	1684	07KNSTD	583415	30560	KNSTD	2007	-	-	-	-	14663	840	320	15568	1329	822	-
Borchers et al. (2016)	boulder	Borc2016-26	Borc2016-D	07-NE-002-BH	44.3139	-71.575	412	4.6	2.57	0.9929	81961	1564	07KNSTD	583843	60453	KNSTD	2007	-	-	-	-	15683	883	300	15774	1957	1646	-
Borchers et al. (2016)	boulder	Borc2016-26	Borc2016-D	07-NE-002-BH	44.3139	-71.575	412	4.6	2.57	0.9929	86365	1874	07KNSTD	562770	30421	KNSTD	2007	-	-	-	-	16509	946	360	15219	1315	829	-
Borchers et al. (2016)	boulder	Borc2016-27	Borc2016-D	07-NE-003-BH	44.311	-71.5766	411	2.2	2.57	0.9929	69128	1321	07KNSTD	531106	19727	KNSTD	2007	-	-	-	-	13043	734	250	14131	1085	529	-
Borchers et al. (2016)	boulder	Borc2016-27	Borc2016-D	07-NE-003-BH	44.311	-71.5766	411	2.2	2.57	0.9929	76441	1660	07KNSTD	421812	24618	KNSTD	2007	-	-	-	-	14399	825	314	11240	1000	660	-
