Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Kelley et al. (2014)	boulder	Kelle2014-26	Kelle2014-C	Pl-08-38	-43.907	170.2319	968	3.1	2.7	0.99998	245500	4600	07KNSTD	0	0	0	2008	27500	500	-	-	26944	1519	508	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-27	Kelle2014-C	Kiwi-979	-43.9663	170.2641	840	3.7	2.7	1	249600	7380	KNSTD	0	0	0	2006	28200	800	-	-	27753	1690	826	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-28	Kelle2014-C	Kiwi-980	-43.9588	170.2597	865	1.1	2.7	0.98165	235600	5630	07KNSTD	0	0	0	2006	28800	700	-	-	28230	1647	679	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-29	Kelle2014-D	Pl-08-26	-43.9365	170.2517	906	3.5	2.7	0.99999	306600	4970	07KNSTD	0	0	0	2008	36300	600	-	-	35346	1968	578	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-30	Kelle2014-D	Pl-08-27	-43.939	170.2555	899	3.3	2.7	0.99999	316500	7530	07KNSTD	0	0	0	2008	37600	900	-	-	36601	2138	879	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-31	Kelle2014-D	Pl-08-31	-43.9242	170.2497	941	1.1	2.7	0.99995	338500	8030	07KNSTD	0	0	0	2008	38300	900	-	-	37038	2163	887	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-32	Kelle2014-D	Pl-08-04	-43.9655	170.2671	833	2.1	2.7	0.99999	311500	5570	07KNSTD	0	0	0	2008	38800	700	-	-	37704	2120	681	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-33	Kelle2014-D	Pl-08-33	-43.9139	170.244	963	2.4	2.7	0.99997	360800	6750	07KNSTD	0	0	0	2008	40500	800	-	-	39110	2211	739	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-34	Kelle2014-D	Pl-08-32	-43.9152	170.2447	960	2.4	2.7	0.99996	362000	8590	07KNSTD	0	0	0	2008	40700	1000	-	-	39333	2298	943	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-35	Kelle2014-D	Pl-08-10	-43.9488	170.2587	871	2	2.7	0.99997	342000	6400	07KNSTD	0	0	0	2008	41200	800	-	-	39946	2259	755	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-36	Kelle2014-D	Pl-08-07	-43.9553	170.2632	862	1.5	2.7	0.99994	340900	8080	07KNSTD	0	0	0	2008	41200	1000	-	-	39953	2334	956	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-37	Kelle2014-D	Pl-08-30	-43.9295	170.2542	918	3.3	2.7	0.99946	357600	7790	07KNSTD	0	0	0	2008	41800	900	-	-	40558	2339	893	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-38	Kelle2014-D	Pl-08-29	-43.9303	170.2535	921	2	2.7	0.99998	365600	10570	07KNSTD	0	0	0	2008	42200	1200	-	-	40860	2484	1193	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-39	Kelle2014-D	Pl-08-28	-43.9344	170.2552	910	3.1	2.7	0.99998	359500	8530	07KNSTD	0	0	0	2008	42200	1000	-	-	40943	2393	981	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-40	Kelle2014-D	Pl-08-06	-43.9561	170.2637	858	1.6	2.7	0.99999	351400	6580	07KNSTD	0	0	0	2008	42600	800	-	-	41297	2336	781	-	-	-	-
