Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Stroeven et al. (in press)	boulder	StroeInpress-18	StroeInpress-J	99-24	68.0544	18.8300	1090	1	2.65	0.9977	0	0	0	1308708	87801	KNSTD	1999	-	-	16090	1163	-	-	-	15268	1300	1032	-
Stroeven et al. (in press)	boulder	StroeInpress-19	StroeInpress-J	S-02-09	68.05218	18.83181	1075	5	2.65	0.9957	112834	5742	NIST_Certified	0	0	0	2002	10079	574	-	-	10125	674	517	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-20	StroeInpress-J	S-02-10	68.05446	18.82903	1085	2	2.65	0.9969	150242	6627	NIST_30200	0	0	0	2002	11539	589	-	-	11581	713	512	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-21	StroeInpress-J	S-02-12	68.05333	18.82992	1090	1	2.65	0.9968	297396	7800	NIST_30200	0	0	0	2002	22723	833	-	-	22794	1149	601	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-22	StroeInpress-J	S-02-15	68.05709	18.83630	1120	1	2.65	0.9988	188213	6603	NIST_Certified	0	0	0	2002	15701	682	-	-	15747	874	555	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-23	StroeInpress-K	99-30	68.6536	17.6869	220	2	2.65	0.9962	69256	9462	NIST_Certified	0	0	0	1999	13103	1827	-	-	13216	1898	1812	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-24	StroeInpress-L	99-32	68.6639	16.9275	310	3	2.65	0.9973	174413	13206	NIST_Certified	0	0	0	1999	30756	2474	-	-	31017	2717	2367	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-25	Harb2006-B	99-45	66.6164	18.0844	870	2	2.65	1	0	0	0	3113913	133921	KNSTD	1999	-	-	47788	2442	-	-	-	45394	3111	1996	-
Stroeven et al. (in press)	boulder	StroeInpress-26	Harb2006-C	99-47	66.6200	18.0503	874	4	2.65	1	0	0	0	2870895	149270	KNSTD	1999	-	-	44546	2633	-	-	-	42354	3162	2249	-
Stroeven et al. (in press)	bedrock	StroeInpress-27	StroeInpress-M	S-02-03	68.14707	18.98747	1535	1	2.65	1	531255	15822	NIST_30200	0	0	0	2002	27841	1096	-	-	27883	1462	836	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-28	StroeInpress-M	S-02-04	68.14707	18.98747	1535	1	2.65	1	360439	9228	NIST_30200	2228699	87652	KNSTD	2002	18812	681	18900	892	18840	943	485	17901	1169	710	-
Stroeven et al. (in press)	bedrock	StroeInpress-29	StroeInpress-N	S-02-05	68.20166	19.04479	955	3	2.65	0.9257	85019	6839	NIST_Certified	0	0	0	2002	8891	751	-	-	8946	817	721	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-30	StroeInpress-N	S-02-06	68.20166	19.04479	920	8	2.65	0.985	103008	7154	NIST_Certified	0	0	0	2002	10923	810	-	-	11003	900	766	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-31	StroeInpress-O	S-02-08	68.17399	18.97751	630	5	2.65	0.995	121131	8333	NIST_Certified	0	0	0	2002	16165	1190	-	-	16282	1324	1125	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-32	StroeInpress-O	S-03-101	68.17399	18.97751	630	3	2.65	0.995	136247	5092	KNSTD	0	0	0	2003	15510	703	-	-	15609	889	586	-	-	-	-
Stroeven et al. (in press)	bedrock	Li2005-13	Li2005-H	S-02-19	68.18500	18.77000	1055	7	2.75	0.9845	671577	12819	NIST_30200	0	0	0	2002	56931	1831	-	-	57280	2719	1109	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-33	StroeInpress-P	S-02-23	67.83954	20.89955	350	2	2.65	1	83986	4202	NIST_30200	447074	36222	KNSTD	2002	12505	703	10625	907	12600	832	632	10133	977	825	-
Stroeven et al. (in press)	bedrock	StroeInpress-34	StroeInpress-Q	S-02-28	67.50871	19.97538	530	2	2.65	0.9994	96533	2575	NIST_30200	0	0	0	2002	12186	450	-	-	12264	620	328	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-35	StroeInpress-Q	S-02-29	67.50709	19.97966	543	1	2.65	1	71580	3080	KNSTD	0	0	0	2002	8597	430	-	-	8648	525	373	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-36	StroeInpress-Q	S-02-31	67.50680	19.97883	540	3	2.65	1	223917	11286	NIST_30200	0	0	0	2002	28458	1617	-	-	28654	1907	1455	-	-	-	-
Stroeven et al. (in press)	pebbles	StroeInpress-37	StroeInpress-R	S-02-39	69.21979	23.59879	295	5	2.65	1	85900	2900	NIST_30200	0	0	0	2002	13746	582	-	-	13876	758	470	-	-	-	-
Stroeven et al. (in press)	cobble	StroeInpress-38	StroeInpress-R	S-02-40	69.21979	23.59879	295	4	2.65	1	76444	6642	NIST_30200	0	0	0	2002	12119	1100	-	-	12228	1188	1066	-	-	-	-
Stroeven et al. (in press)	cobble	StroeInpress-39	StroeInpress-R	S-02-41	69.21979	23.59879	295	5	2.65	1	84298	3456	NIST_30200	0	0	0	2002	13487	652	-	-	13615	809	560	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-40	StroeInpress-R	S-02-42	69.22309	23.59458	270	2	2.65	0.9999	112825	5948	NIST_30200	0	0	0	2002	18094	1063	-	-	18242	1243	966	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-41	StroeInpress-S	S-02-47	70.16920	23.89733	400	1	2.65	0.9989	100122	2883	NIST_30200	0	0	0	2002	14025	540	-	-	14119	730	408	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-42	StroeInpress-S	S-02-48	70.16920	23.89733	400	1	2.65	0.9989	110370	2863	NIST_30200	0	0	0	2002	15476	563	-	-	15579	782	406	-	-	-	-
Stroeven et al. (in press)	pebbles	StroeInpress-43	StroeInpress-S	S-02-49	70.16920	23.89733	400	1	2.65	0.9989	92533	4688	NIST_Certified	0	0	0	2002	14613	831	-	-	14711	978	748	-	-	-	-
Stroeven et al. (in press)	cobble	StroeInpress-44	StroeInpress-S	S-02-50	70.16920	23.89733	400	1	2.65	0.9989	77947	4099	NIST_Certified	0	0	0	2002	12288	719	-	-	12370	841	653	-	-	-	-
Stroeven et al. (in press)	cobble	StroeInpress-45	StroeInpress-T	S-02-51	68.27776	22.04514	380	5	2.65	0.9996	83884	7099	NIST_30200	0	0	0	2002	12424	1101	-	-	12534	1192	1064	-	-	-	-
Stroeven et al. (in press)	cobble	StroeInpress-46	StroeInpress-T	S-02-52	68.27776	22.04514	380	5	2.65	0.9996	91644	4795	NIST_30200	0	0	0	2002	13586	792	-	-	13706	929	720	-	-	-	-
Stroeven et al. (in press)	cobble	StroeInpress-47	StroeInpress-T	S-02-53	68.27776	22.04514	380	5	2.65	0.9996	307725	9016	NIST_Certified	0	0	0	2002	52162	2046	-	-	52629	2762	1562	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-48	StroeInpress-T	S-02-54	68.26000	22.04081	530	3	2.65	0.999	119809	7152	KNSTD	0	0	0	2002	14887	969	-	-	14990	1104	898	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-49	StroeInpress-T	S-02-55	68.26000	22.04081	510	2	2.65	0.999	149596	6493	NIST_Certified	0	0	0	2002	21734	1098	-	-	21876	1339	955	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-50	StroeInpress-U	S-02-57	68.15511	21.87680	630	1	2.65	0.9976	85459	4392	NIST_Certified	0	0	0	2002	10978	631	-	-	11037	740	569	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-51	StroeInpress-U	S-02-59	68.15511	21.87680	635	2	2.65	0.9998	82921	4042	NIST_Certified	0	0	0	2002	10646	586	-	-	10709	696	523	-	-	-	-
Stroeven et al. (in press)	cobble	StroeInpress-52	StroeInpress-V	S-02-60	68.08710	18.92120	1750	3	2.65	1	304987	14008	KNSTD	0	0	0	2002	13230	696	-	-	13252	834	611	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-53	StroeInpress-W	S-02-61	68.35558	18.22792	1588	4	2.65	1	771403	8655	NIST_30200	0	0	0	2002	39802	1113	-	-	39901	1780	452	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-54	StroeInpress-W	S-02-62	68.35558	18.22792	1570	4	2.65	0.999	160156	8438	NIST_Certified	0	0	0	2002	9293	544	-	-	9315	633	492	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-55	StroeInpress-X	BW-01	63.16638	12.49911	985	2	2.65	0.9982	125250	4578	KNSTD	0	0	0	2002	10410	464	-	-	10453	589	383	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-56	StroeInpress-X	BW-02	63.16638	12.49911	970	2	2.65	0.9982	132727	9425	NIST_30200	840020	85293	KNSTD	2002	11467	867	11703	1232	11515	957	820	11114	1272	1135	-
Stroeven et al. (in press)	cobble	StroeInpress-57	StroeInpress-Y	BW-04	63.24001	12.83485	900	3	2.65	0.9998	98134	4728	KNSTD	0	0	0	2002	8829	482	-	-	8874	573	428	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-58	StroeInpress-Z	BW-05	63.15251	12.89508	615	8	2.65	0.9998	122121	4733	NIST_30200	0	0	0	2002	15204	707	-	-	15337	888	597	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-59	StroeInpress-AA	BW-08	63.22850	12.34316	1460	1	2.65	1	298083	16452	KNSTD	0	0	0	2002	16498	1006	-	-	16528	1158	916	-	-	-	-
