Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Andersen et al. (2018)	boulder	Ande2018-40	Ande2018-R	SF26	61.0375	8.6067	1183	3.3	2.65	1	112161	8144	07KNSTD	0	0	KNSTD	2016	9000	1000	-	-	8868	811	645	-	-	-	-
Andersen et al. (2018)	bedrock	Ande2018-41	Ande2018-S	SF27	60.9259	7.7125	1647	4.7	2.65	1	424449	10950	07KNSTD	2712352	152728	KNSTD	2016	23800	2100	22600	2300	23353	1433	606	21223	1857	1208	-
Andersen et al. (2018)	bedrock	Ande2018-42	Ande2018-S	SF28	60.9265	7.7098	1645	4.5	2.65	1	363439	9748	07KNSTD	2379933	102528	KNSTD	2016	20400	1800	19800	1900	19965	1233	538	18586	1475	808	-
Andersen et al. (2018)	bedrock	Ande2018-43	Ande2018-S	SF29	60.9271	7.7085	1639	4.9	2.65	1	405197	10738	07KNSTD	2539247	100431	KNSTD	2016	22900	2100	21300	2000	22469	1385	599	20014	1552	799	-
Andersen et al. (2018)	boulder	Ande2018-44	Ande2018-S	SF31	60.9258	7.7127	1642	3.8	2.65	1	606692	16934	07KNSTD	0	0	KNSTD	2016	34000	3100	-	-	33381	2084	940	-	-	-	-
Andersen et al. (2018)	bedrock	Ande2018-45	Ande2018-T	SF32	61.0074	6.0637	1191	2.8	2.65	1	336354	9468	07KNSTD	0	0	KNSTD	2016	26700	2400	-	-	26560	1659	753	-	-	-	-
Andersen et al. (2018)	bedrock	Ande2018-46	Ande2018-T	SF33	61.0082	6.0604	1199	3.8	2.65	1	452130	13728	07KNSTD	3090841	161486	KNSTD	2016	36100	3300	36700	3700	35877	2283	1099	34859	2980	1853	-
Andersen et al. (2018)	bedrock	Ande2018-47	Ande2018-T	SF34	61.0087	6.0607	1201	4.6	2.65	1	452101	13097	07KNSTD	0	0	KNSTD	2016	36200	3300	-	-	36061	2271	1054	-	-	-	-
Andersen et al. (2018)	bedrock	Ande2018-48	Ande2018-T	SF35	61.0083	6.0621	1189	2.9	2.65	1	188637	8885	07KNSTD	0	0	KNSTD	2016	15000	1500	-	-	14855	1083	702	-	-	-	-
Andersen et al. (2018)	bedrock	Ande2018-49	Ande2018-U	SF36	61.0349	5.1555	705	4.6	2.65	1	114698	4642	07KNSTD	0	0	KNSTD	2016	14000	1300	-	-	13966	960	567	-	-	-	-
Andersen et al. (2018)	bedrock	Ande2018-50	Ande2018-U	SF37	61.0343	5.1584	683	5.2	2.65	1	108390	4500	07KNSTD	0	0	KNSTD	2016	13500	1300	-	-	13527	938	563	-	-	-	-
Andersen et al. (2018)	bedrock	Ande2018-51	Ande2018-U	SF38	61.0308	5.1631	675	5.5	2.65	1	104080	4940	07KNSTD	0	0	KNSTD	2016	13100	1300	-	-	13113	959	624	-	-	-	-
Andersen et al. (2018)	boulder	Ande2018-52	Ande2018-U	SF39	61.0304	5.1639	666	4.2	2.65	1	101253	4343	07KNSTD	0	0	KNSTD	2016	12800	1200	-	-	12716	893	547	-	-	-	-
Andersen et al. (2018)	boulder	Ande2018-53	Ande2018-U	SF40	61.0304	5.1628	672	5.4	2.65	1	90170	4160	07KNSTD	0	0	KNSTD	2016	11400	1100	-	-	11362	820	526	-	-	-	-
Andersen et al. (2018)	bedrock	Ande2018-54	Ande2018-U	SF41	61.0311	5.1574	681	4.2	2.65	1	111377	4485	07KNSTD	0	0	KNSTD	2016	13800	1300	-	-	13809	948	558	-	-	-	-
Andersen et al. (2018)	bedrock	Ande2018-55	Ande2018-V	SF43	61.1547	6.4532	951	3	2.65	1	116750	4032	07KNSTD	845972	30344	KNSTD	2016	11300	1000	12200	1100	11259	736	390	11520	868	416	-
Andersen et al. (2018)	bedrock	Ande2018-56	Ande2018-V	SF44	61.1544	6.4534	952	3	2.65	1	119541	3641	07KNSTD	852110	31670	KNSTD	2016	11600	1100	12200	1100	11531	730	352	11594	881	433	-
Andersen et al. (2018)	bedrock	Ande2018-57	Ande2018-V	SF45	61.1615	6.4390	1008	3.2	2.65	1	129644	4153	07KNSTD	842538	26009	KNSTD	2016	12000	1100	11600	1100	11933	765	383	10933	799	339	-
Andersen et al. (2018)	bedrock	Ande2018-58	Ande2018-V	SF46	61.1615	6.4417	1013	3.5	2.65	1	130075	3605	07KNSTD	878995	38087	KNSTD	2016	12000	1100	12000	1200	11951	741	332	11389	902	496	-
Andersen et al. (2018)	bedrock	Ande2018-59	Ande2018-W	SF47	61.2360	6.0212	909	2.5	2.65	1	113072	3758	07KNSTD	825792	27252	KNSTD	2016	11300	1000	12200	1100	11251	728	375	11599	859	385	-
Andersen et al. (2018)	bedrock	Ande2018-60	Ande2018-W	SF48	61.2375	6.0233	906	3	2.65	1	248525	5974	07KNSTD	1682855	41677	KNSTD	2016	25100	2200	25300	2300	25108	1523	607	24030	1710	602	-
Andersen et al. (2018)	bedrock	Ande2018-61	Ande2018-W	SF49	61.2391	6.0192	946	2	2.65	1	168774	4724	07KNSTD	1122487	32764	KNSTD	2016	16300	1500	16100	1500	16257	1011	457	15254	1106	449	-
Andersen et al. (2018)	bedrock	Ande2018-62	Ande2018-W	SF50	61.2426	6.0105	956	4	2.65	1	194305	4640	07KNSTD	1240443	34340	KNSTD	2016	19000	1700	17900	1600	18900	1143	453	17025	1226	475	-
Andersen et al. (2018)	bedrock	Ande2018-63	Ande2018-W	SF51	61.2382	5.9966	964	3	2.65	1	210125	5180	07KNSTD	1313445	39716	KNSTD	2016	20200	1800	18700	1700	20134	1225	499	17760	1297	542	-
Andersen et al. (2018)	bedrock	Ande2018-64	Ande2018-W	SF52	61.2357	5.9965	1001	2	2.65	1	195281	5033	07KNSTD	1425990	47542	KNSTD	2016	18000	1600	19500	1800	17944	1099	465	18527	1379	623	-
Andersen et al. (2018)	bedrock	Ande2018-65	Ande2018-X	SF53	61.1093	5.4439	678	1.5	2.65	1	104061	3620	07KNSTD	644551	27521	KNSTD	2016	12700	1200	11600	1100	12631	828	441	10990	867	472	-
Andersen et al. (2018)	bedrock	Ande2018-66	Ande2018-X	SF54	61.1096	5.4414	679	1.5	2.65	1	97300	3480	07KNSTD	715198	22522	KNSTD	2016	11800	1100	12900	1200	11792	779	423	12198	895	386	-
Andersen et al. (2018)	bedrock	Ande2018-67	Ande2018-X	SF55	61.1094	5.4298	664	3.5	2.65	1	98007	3717	07KNSTD	672362	31231	KNSTD	2016	12300	1200	12500	1200	12252	824	466	11819	957	552	-
Andersen et al. (2018)	bedrock	Ande2018-68	Ande2018-X	SF56	61.1114	5.4307	672	3.5	2.65	1	94473	3517	07KNSTD	591074	27541	KNSTD	2016	11800	1100	10900	1100	11721	783	438	10278	833	481	-
Andersen et al. (2018)	bedrock	Ande2018-69	Ande2018-X	SF57	61.1130	5.4348	679	3.8	2.65	1	99578	4114	07KNSTD	597387	28615	KNSTD	2016	12300	1200	10900	1100	12314	852	510	10352	847	498	-

Reference:
Andersen JL, Egholm DL, Knudsen MF, Linge H, Jansen JD, Pedersen VK, Nielsen SB, Tikhomirov D, Olsen J, Fabel D, Xu S, 2018. Widespread erosion on high plateaus during recent glaciations in Scandinavia. Nature Communications 9, 830.

Data comments:
Sampling year assumed to be 2016.
Group ID based on sample location and geomorphology (groups in Supplementary Figure 2 split into smaller groups).

expage.github.io - data from expage-201811
