P-202306-origin
expage.github.io

Calib-site	Sample-type	Sample-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	Erosion(mm/ka)	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Calib-age(yr)	Calib-age-unc(yr)	Publication
Cobblestone-Hill	boulder	Balc2009-15	CH-3	44.843	-73.577	226	2	2.65	1	0.7	58700	3500	KNSTD	0	0	0	2006	13212	151	Balco et al. (2009)
Cobblestone-Hill	boulder	Balc2009-16	CH-4	44.843	-73.577	226	2.5	2.65	1	0.7	66400	4100	KNSTD	0	0	0	2006	13212	151	Balco et al. (2009)
Cobblestone-Hill	boulder	Balc2009-17	CH-5	44.843	-73.575	226	3	2.65	1	0.7	65900	4100	KNSTD	0	0	0	2006	13212	151	Balco et al. (2009)
Cobblestone-Hill	boulder	Balc2009-18	CH-6	44.843	-73.575	226	2.5	2.65	1	0.7	67700	4300	KNSTD	0	0	0	2006	13212	151	Balco et al. (2009)
Cobblestone-Hill	bedrock	Balc2009-19	CH-7	44.865	-73.662	259	1	2.65	1	0.7	70900	12100	KNSTD	0	0	0	2006	13212	151	Balco et al. (2009)
Macaulay	boulder	Putn2010b-11	MR-08-01	-43.57605	170.60835	1024.9	0.82	2.7	0.992	0	87500	1900	07KNSTD	0	0	0	2008	9709	54	Putnam et al. (2010)
Macaulay	boulder	Putn2010b-12	MR-08-02	-43.57581	170.60857	1024.5	1.04	2.7	0.993	0	91700	2600	07KNSTD	0	0	0	2008	9709	54	Putnam et al. (2010)
Macaulay	boulder	Putn2010b-13	MR-08-03	-43.57452	170.60805	1029.4	1.85	2.7	0.988	0	87800	1700	07KNSTD	0	0	0	2008	9709	54	Putnam et al. (2010)
Macaulay	boulder	Putn2010b-14	MR-08-04	-43.57444	170.60832	1028.4	0.83	2.7	0.989	0	88600	2200	07KNSTD	0	0	0	2008	9709	54	Putnam et al. (2010)
Macaulay	boulder	Putn2010b-15	MR-08-05	-43.57435	170.60760	1032.1	1.57	2.7	0.991	0	89700	2400	07KNSTD	0	0	0	2008	9709	54	Putnam et al. (2010)
Macaulay	boulder	Putn2010b-16	MR-08-13	-43.57751	170.60695	1027.6	1.69	2.7	0.991	0	89600	1800	07KNSTD	0	0	0	2008	9709	54	Putnam et al. (2010)
Macaulay	boulder	Putn2010b-17	MR-08-14	-43.57787	170.60493	1032.0	2.16	2.7	0.991	0	88100	1700	07KNSTD	0	0	0	2008	9709	54	Putnam et al. (2010)
Boundary-Stream	boulder	Putn2010b-4	BST-08-03	-44.03131	170.11922	852.0	2.22	2.7	0.995	0	146200	4700	07KNSTD	0	0	0	2008	18014	200	Putnam et al. (2010)
Boundary-Stream	boulder	Putn2010b-5	BST-08-04	-44.03426	170.12025	839.3	2.35	2.7	0.996	0	148100	4000	07KNSTD	0	0	0	2008	18014	200	Putnam et al. (2010)
Boundary-Stream	boulder	Putn2010b-6	BST-08-05	-44.03728	170.12081	837.1	2.16	2.7	0.997	0	144400	3600	07KNSTD	0	0	0	2008	18014	200	Putnam et al. (2010)
Boundary-Stream	boulder	Putn2010b-7	BST-08-06	-44.03773	170.11992	835.1	1.07	2.7	0.997	0	148700	5400	07KNSTD	0	0	0	2008	18014	200	Putnam et al. (2010)
Boundary-Stream	boulder	Putn2010b-8	BST-08-07	-44.03985	170.11979	831.9	2	2.7	0.997	0	146300	4000	07KNSTD	0	0	0	2008	18014	200	Putnam et al. (2010)
Boundary-Stream	boulder	Putn2010b-9	BST-08-08	-44.04216	170.12218	831.4	1.31	2.7	0.998	0	150000	3300	07KNSTD	0	0	0	2008	18014	200	Putnam et al. (2010)
Boundary-Stream	boulder	Putn2010b-10	BST-08-09	-44.04446	170.12274	823.3	1.8	2.7	0.998	0	144700	3900	07KNSTD	0	0	0	2008	18014	200	Putnam et al. (2010)
Grøtlandsura	boulder	Fent2011-1	040906-02	68.9112	17.5224	71	2.5	2.65	0.883	0	40800	1900	S555N	0	0	0	2006	11438	118	Fenton et al. (2011)
Grøtlandsura	boulder	Fent2011-2	040906-03	68.9112	17.5277	41	3	2.65	0.881	0	42200	1900	S555N	0	0	0	2006	11438	118	Fenton et al. (2011)
Grøtlandsura	boulder	Fent2011-3	040906-04	68.9114	17.5282	47	3	2.65	0.852	0	41200	1900	S555N	0	0	0	2006	11438	118	Fenton et al. (2011)
Russenes	boulder	Fent2011-4	060906-14	69.2135	19.4731	109	7.5	2.65	0.854	0	44500	2900	S555N	0	0	0	2006	10996	111	Fenton et al. (2011)
Russenes	boulder	Fent2011-5	060906-15	69.2134	19.4728	115	3	2.65	0.794	0	40300	2300	S555N	0	0	0	2006	10996	111	Fenton et al. (2011)
Russenes	boulder	Fent2011-6	060906-16	69.2148	19.4708	92	1	2.65	0.854	0	47200	2500	S555N	0	0	0	2006	10996	111	Fenton et al. (2011)
Herminita	boulder	Kapl2011-1	HE-06-02	-50.0843	-73.1635	284.79	1.15	2.65	0.9998	0	68724	1630	07KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
Herminita	boulder	Kapl2011-2	HE-06-04	-50.0841	-73.1598	271.15	1.76	2.65	0.9995	0	64318	2298	07KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
Herminita	boulder	Kapl2011-3	HE-07-11	-50.0826	-73.1693	340.62	2.3	2.65	0.9999	0	72346	1664	07KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
Herminita	boulder	Kapl2011-4	HE-06-06	-50.0830	-73.1771	288.42	3.43	2.65	0.9981	0	64048	1625	07KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
Herminita	boulder	Kapl2011-5	HE-06-07	-50.0824	-73.1766	289.58	1.39	2.65	0.9997	0	65860	1648	07KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
Herminita	boulder	Kapl2011-6	HE-07-12	-50.0797	-73.1679	292.50	1.45	2.65	0.9978	0	72921	2306	07KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
Herminita	boulder	Kapl2011-7	HE-07-13	-50.0796	-73.1680	292.12	0.94	2.65	0.9997	0	65996	4353	07KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
Herminita	boulder	Kapl2011-8	HE-07-10	-50.0811	-73.1776	286.35	3	2.65	0.9991	0	65725	2727	07KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
Herminita	boulder	Kapl2011-9	HE-06-05	-50.0816	-73.1788	259.95	0.93	2.65	0.9970	0	71700	1697	KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
Herminita	boulder	Kapl2011-10	HE-06-08	-50.0821	-73.1759	284.29	1.68	2.65	0.9993	0	73172	2841	KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
Herminita	boulder	Kapl2011-11	HE-06-01	-50.0841	-73.1648	281.66	2.08	2.65	0.9995	0	67659	1516	KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
Herminita	boulder	Kapl2011-12	HE-06-03	-50.0841	-73.1605	277.46	1.67	2.65	0.9987	0	71651	1662	KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
Puerto-Bandera	boulder	Kapl2011-13	EQ-08-01	-50.17011	-72.75087	240	0.79	2.65	0.9972	0	72101	1494	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
Puerto-Bandera	boulder	Kapl2011-14	EQ-08-06	-50.17740	-72.73030	252	1.32	2.65	0.9996	0	67362	1502	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
Puerto-Bandera	boulder	Kapl2011-15	EQ-08-05	-50.17729	-72.72931	238	0.99	2.65	0.9990	0	70374	1486	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
Puerto-Bandera	boulder	Kapl2011-16	PBS-08-09	-50.28208	-72.69468	221	1.86	2.65	0.9999	0	68998	1506	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
Puerto-Bandera	boulder	Kapl2011-17	EQ-08-04	-50.17293	-72.73938	245	0.73	2.65	0.9985	0	54095	1281	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
Puerto-Bandera	boulder	Kapl2011-18	PBS-08-04	-50.28575	-72.69151	216	0.85	2.65	1	0	68229	1243	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
Puerto-Bandera	boulder	Kapl2011-19	PBS-08-06	-50.28425	-72.68956	218	1.03	2.65	1	0	65951	1398	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
Puerto-Bandera	boulder	Acke2008-1	PBS-08-11	-50.28002	-72.63369	215	2.06	2.65	1	0	64409	959	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
Puerto-Bandera	boulder	Kapl2011-20	PBS-08-02	-50.28659	-72.69584	213	1.33	2.65	0.9999	0	66347	1771	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
Tasiussaq	boulder	Youn2011c-5	09GRO-08	69.11315	-51.03707	170	1	2.65	1	0	42052	1043	07KNSTD	0	0	0	2009	8188	612	Briner et al. (2012), Young et al. (2013)
Tasiussaq	boulder	Youn2011c-6	09GRO-09	69.11303	-51.03602	170	1	2.65	1	0	42303	800	07KNSTD	0	0	0	2009	8188	612	Briner et al. (2012), Young et al. (2013)
Tasiussaq	boulder	Youn2011c-7	09GRO-11	69.11293	-51.03442	170	4	2.65	1	0	40487	937	07KNSTD	0	0	0	2009	8188	612	Briner et al. (2012), Young et al. (2013)
Tasiussaq	boulder	Youn2011c-8	09GRO-12	69.11293	-51.03442	170	3	2.65	1	0	41669	963	07KNSTD	0	0	0	2009	8188	612	Briner et al. (2012), Young et al. (2013)
Tasiussaq	boulder	Youn2011c-3	FTS08-01	69.20217	-51.08778	75	1	2.65	0.999	0	38944	662	07KNSTD	0	0	0	2008	8187	612	Briner et al. (2012), Young et al. (2013)
Tasiussaq	boulder	Youn2011c-4	FST08-02	69.20190	-51.08597	75	1	2.65	0.999	0	36884	738	07KNSTD	0	0	0	2008	8187	612	Briner et al. (2012), Young et al. (2013)
Halsnøy	boulder	Goeh2012-1	YDC08-2	59.78080	5.79079	77	3.5	2.6	0.9954	1.72	51200	1300	07KNSTD	0	0	0	2008	11648	110	Goehring et al. (2012)
Halsnøy	boulder	Goeh2012-2	YDC08-3	59.78113	5.79049	79	1.7	2.6	0.9866	1.72	53500	1300	07KNSTD	0	0	0	2008	11648	110	Goehring et al. (2012)
Halsnøy	boulder	Goeh2012-3	YDC08-4	59.78096	5.79017	74	1.4	2.6	0.9803	1.72	52400	1200	07KNSTD	0	0	0	2008	11648	110	Goehring et al. (2012)
Halsnøy	boulder	Goeh2012-4	YDC08-5	59.78158	5.79029	76	1.4	2.6	0.9841	1.72	56000	1300	07KNSTD	0	0	0	2008	11648	110	Goehring et al. (2012)
Halsnøy	boulder	Goeh2012-5	YDC08-7	59.81646	5.81879	99	2.8	2.6	0.9445	1.72	57000	1300	07KNSTD	0	0	0	2008	11648	110	Goehring et al. (2012)
Halsnøy	boulder	Goeh2012-6	YDC08-8	59.81384	5.81889	91	2.6	2.6	0.9939	1.72	55100	1600	07KNSTD	0	0	0	2008	11648	110	Goehring et al. (2012)
Halsnøy	boulder	Goeh2012-7	YDC08-9	59.81395	5.81898	87	2.9	2.6	0.9695	1.72	55800	1600	07KNSTD	0	0	0	2008	11648	110	Goehring et al. (2012)
Halsnøy	boulder	Goeh2012-8	YDC08-10	59.81367	5.81901	88	3.8	2.6	0.9988	1.72	55400	1500	07KNSTD	0	0	0	2008	11648	110	Goehring et al. (2012)
Oldedalen	block	Goeh2012-9	OL08-1	61.66674	6.81500	127	4.1	2.7	0.8946	0	28100	600	07KNSTD	0	0	0	2008	6067	111	Goehring et al. (2012)
Oldedalen	block	Goeh2012-10	OL08-3	61.66690	6.81437	133	1.5	2.7	0.8876	0	26400	700	07KNSTD	0	0	0	2008	6067	111	Goehring et al. (2012)
Oldedalen	block	Goeh2012-11	OL08-5	61.66624	6.81435	146	1.8	2.7	0.8808	0	24300	600	07KNSTD	0	0	0	2008	6067	111	Goehring et al. (2012)
Oldedalen	block	Goeh2012-12	OL08-7	61.66594	6.81505	134	1.8	2.7	0.8936	0	28000	1000	07KNSTD	0	0	0	2008	6067	111	Goehring et al. (2012)
Oldedalen	block	Goeh2012-13	OL08-9	61.66559	6.81518	146	2.8	2.7	0.8862	0	26300	900	07KNSTD	0	0	0	2008	6067	111	Goehring et al. (2012)
Oldedalen	block	Goeh2012-14	OL08-11	61.66650	6.81575	127	4.4	2.7	0.8880	0	32700	700	07KNSTD	0	0	0	2008	6067	111	Goehring et al. (2012)
Oldedalen	block	Goeh2012-15	OL08-13	61.66653	6.81475	133	3.5	2.7	0.8697	0	26000	800	07KNSTD	0	0	0	2008	6067	111	Goehring et al. (2012)
Clyde-River	boulder	Brin2007-10	CI2-01-1	69.83525	-70.49695	65	5	2.65	0.997	0	35900	3900	KNSTD	0	0	0	2001	8250	297	Balco et al. (2009)
Clyde-River	boulder	Brin2007-11	CI2-01-2	69.83445	-70.49803	65	4	2.65	0.997	0	38300	3800	KNSTD	0	0	0	2001	8250	297	Balco et al. (2009)
Clyde-River	boulder	Brin2007-12	CR03-90	69.83022	-70.49618	72	2	2.65	0.986	0	40200	3400	KNSTD	0	0	0	2003	8252	297	Balco et al. (2009)
Clyde-River	boulder	Brin2007-13	CR03-91	69.83182	-70.49577	67	2	2.65	0.983	0	37000	3000	KNSTD	0	0	0	2003	8252	297	Balco et al. (2009)
Clyde-River	boulder	Brin2007-14	CR03-92	69.83182	-70.49577	67	2	2.65	0.983	0	40200	2600	KNSTD	0	0	0	2003	8252	297	Balco et al. (2009)
Clyde-River	boulder	Brin2007-15	CR03-93	69.83235	-70.49670	67	3	2.65	0.984	0	41100	2300	KNSTD	0	0	0	2003	8252	297	Balco et al. (2009)
Clyde-River	boulder	Brin2007-16	CR03-94	69.83277	-70.49750	65	2	2.65	0.994	0	42300	2900	KNSTD	0	0	0	2003	8252	297	Balco et al. (2009)
Clyde-River	boulder	Brin2007-10	CI2-01-01	69.83525	-70.49695	65	5	2.65	0.997	0	37700	900	07KNSTD	0	0	0	2001	8250	297	Young et al. (2013)
Clyde-River	boulder	Brin2007-11	CI2-01-02	69.83445	-70.49803	65	4	2.65	0.997	0	37300	800	07KNSTD	0	0	0	2001	8250	297	Young et al. (2013)
Clyde-River	boulder	Brin2007-12	CR03-90	69.83022	-70.49618	72	2	2.65	0.986	0	36500	800	07KNSTD	0	0	0	2003	8252	297	Young et al. (2013)
Clyde-River	boulder	Brin2007-13	CR03-91	69.83182	-70.49577	67	2	2.65	0.983	0	36600	800	07KNSTD	0	0	0	2003	8252	297	Young et al. (2013)
Clyde-River	boulder	Brin2007-14	CR03-92	69.83182	-70.49577	67	2	2.65	0.983	0	37200	800	07KNSTD	0	0	0	2003	8252	297	Young et al. (2013)
Clyde-River	boulder	Brin2007-15	CR03-93	69.83235	-70.49670	67	3	2.65	0.984	0	36600	700	07KNSTD	0	0	0	2003	8252	297	Young et al. (2013)
Clyde-River	boulder	Brin2007-16	CR03-94	69.83277	-70.49750	65	2	2.65	0.994	0	39000	900	07KNSTD	0	0	0	2003	8252	297	Young et al. (2013)
Marrait	boulder	Youn2013b-1	11QOO-01	69.2844	-50.7569	350	1.5	2.65	0.995	0	55600	1900	07KNSTD	0	0	0	2011	9253	42	Young et  al. (2013)
Marrait	boulder	Youn2013b-2	11QOO-02	69.2844	-50.7569	350	1.5	2.65	0.995	0	55800	1100	07KNSTD	0	0	0	2011	9253	42	Young et  al. (2013)
Marrait	boulder	Youn2013b-3	11QOO-03	69.2844	-50.7566	350	1	2.65	0.995	0	57100	1100	07KNSTD	0	0	0	2011	9253	42	Young et  al. (2013)
Marrait	boulder	Youn2013b-4	11QOO-04	69.2844	-50.7562	350	1.25	2.65	0.995	0	55400	1200	07KNSTD	0	0	0	2011	9253	42	Young et  al. (2013)
Marrait	boulder	Youn2013b-5	11QOO-05	69.2842	-50.7528	350	1	2.65	0.996	0	56400	1300	07KNSTD	0	0	0	2011	9253	42	Young et  al. (2013)
Chironico	boulder	Clau2014-1	Chi-1	46.4155	8.8524	761	2	2.65	0.9773	1	104000	5380	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
Chironico	boulder	Clau2014-2	Chi-3	46.4139	8.8543	742	5	2.65	0.9818	1	97710	7640	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
Chironico	boulder	Clau2014-3	Chi-4	46.4161	8.8516	764	3	2.65	0.9500	1	94920	5080	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
Chironico	boulder	Clau2014-4	Chi-5a-2	46.4280	8.8488	815	5	2.65	0.9500	1	99830	7290	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
Chironico	boulder	Clau2014-5	Chi-6	46.4271	8.8493	802	2	2.65	0.9500	1	96540	5340	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
Chironico	boulder	Clau2014-6	Chi-7	46.4271	8.8490	805	2.5	2.65	0.9794	1	98930	5340	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
Chironico	boulder	Clau2014-7	Chi-10	46.4186	8.8490	801	2	2.65	0.9772	1	82170	5930	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
Chironico	boulder	Clau2014-8	Chi-11	46.4174	8.8502	800	1	2.65	0.9772	1	118850	7960	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
Chironico	boulder	Clau2014-9	Chi-12	46.4238	8.8495	790	3	2.65	0.9836	1	99910	6790	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
Huancané-II	boulder	Kell2015-1	Q-40	-13.9442	-70.8936	4853	1.4841	2.6	0.998	5	545200	13420	KNSTD	0	0	0	2005	12290	150	Kelly et al. (2015)
Huancané-II	boulder	Kell2015-2	Q-40a	-13.9442	-70.8936	4853	2.8417	2.6	0.999	5	565230	13140	KNSTD	0	0	0	2005	12290	150	Kelly et al. (2015)
Huancané-II	boulder	Kell2015-3	Q-42	-13.9450	-70.8929	4857	1.5672	2.6	0.996	5	567340	9690	KNSTD	0	0	0	2005	12290	150	Kelly et al. (2015)
Huancané-II	boulder	Kell2015-4	Q-43	-13.9437	-70.8953	4844	1.4992	2.6	0.999	5	553270	13610	KNSTD	0	0	0	2005	12290	150	Kelly et al. (2015)
Huancané-II	boulder	Kell2015-5	Q-44	-13.9450	-70.8954	4849	2.0338	2.6	1	5	554020	13640	KNSTD	0	0	0	2005	12290	150	Kelly et al. (2015)
Huancané-II	boulder	Kell2015-6	Q-44a	-13.9450	-70.8954	4849	2.8763	2.6	1	5	577900	17990	KNSTD	0	0	0	2005	12290	150	Kelly et al. (2015)
Huancané-II	boulder	Kell2015-7	Q-46	-13.9463	-70.8924	4863	0.9205	2.6	1	5	571630	14030	KNSTD	0	0	0	2005	12290	150	Kelly et al. (2015)
Huancané-II	boulder	Kell2015-8	Q-47	-13.9463	-70.8921	4865	2.1	2.6	1	5	571390	11580	07KNSTD	0	0	0	2008	12293	150	Kelly et al. (2015)
Huancané-II	boulder	Kell2015-9	Q-48	-13.9461	-70.8927	4862	3.4	2.6	0.998	5	589570	13500	07KNSTD	0	0	0	2008	12293	150	Kelly et al. (2015)
Huancané-II	boulder	Kell2015-10	Q-49	-13.9458	-70.8935	4851	5.1263	2.6	1	5	586260	11070	KNSTD	0	0	0	2005	12290	150	Kelly et al. (2015)
Huancané-II	boulder	Kell2015-11	Q-83	-13.9440	-70.8923	4856	3.2	2.6	0.975	5	495360	9280	07KNSTD	0	0	0	2008	12293	150	Kelly et al. (2015)
Huancané-II	boulder	Kell2015-12	Q-83a	-13.9440	-70.8923	4856	2.78	2.6	0.975	5	498720	11180	07KNSTD	0	0	0	2008	12293	150	Kelly et al. (2015)
Huancané-II	boulder	Kell2015-13	Q-135	-13.9468	-70.8862	4863	2.34	2.6	0.999	5	515920	11500	07KNSTD	0	0	0	2008	12293	150	Kelly et al. (2015)
Huancané-II	boulder	Kell2015-14	Q-136	-13.9463	-70.8865	4866	2.26	2.6	0.993	5	499300	11960	07KNSTD	0	0	0	2008	12293	150	Kelly et al. (2015)
Huancané-II	boulder	Kell2015-15	Q-137	-13.9457	-70.8855	4870	2.1	2.6	0.999	5	543320	10200	07KNSTD	0	0	0	2008	12293	150	Kelly et al. (2015)
Huancané-II	boulder	Phil2016b-1	HU08-01	-13.94494	-70.89539	4854	7	2.29	0.997	5	494900	9300	07KNSTD	3420000	150000	KNSTD	2008	12293	150	Phillips et al. (2016b)
Huancané-II	boulder	Phil2016b-1	HU08-01	-13.94494	-70.89539	4854	7	2.29	0.997	5	490000	10000	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016b)
Huancané-II	boulder	Phil2016b-1	HU08-01sp20	-13.94494	-70.89539	4854	7	2.29	0.997	5	524000	12000	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016b)
Huancané-II	boulder	Phil2016b-1	HU08-01sp21	-13.94494	-70.89539	4854	7	2.29	0.997	5	539000	10000	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016b)
Huancané-II	boulder	Phil2016b-2	HU08-02	-13.94635	-70.89241	4862	5	2.29	0.999	5	500000	10000	07KNSTD	3300000	140000	KNSTD	2008	12293	150	Phillips et al. (2016b)
Huancané-II	boulder	Phil2016b-2	HU08-02	-13.94635	-70.89241	4862	5	2.29	0.999	5	495000	16000	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016b)
Huancané-II	boulder	Phil2016b-2	HU08-02sp20	-13.94635	-70.89241	4862	5	2.29	0.999	5	542000	10000	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016b)
Huancané-II	boulder	Phil2016b-2	HU08-02sp21	-13.94635	-70.89241	4862	5	2.29	0.999	5	519500	9800	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016b)
Huancané-II	boulder	Phil2016b-3	HU08-03	-13.94613	-70.89266	4859	6	2.29	0.994	5	483500	9100	07KNSTD	3380000	150000	KNSTD	2008	12293	150	Phillips et al. (2016b)
Huancané-II	boulder	Phil2016b-3	HU08-03	-13.94613	-70.89266	4859	6	2.29	0.994	5	526500	9900	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016b)
Huancané-II	boulder	Phil2016b-4	HU08-04	-13.94545	-70.89280	4848	5	2.29	0.991	5	497700	7200	07KNSTD	3330000	140000	KNSTD	2008	12293	150	Phillips et al. (2016b)
