P-202306-output
expage.github.io

Output for 10Be/26Al production rate calibration
====================================================================================================
sample	P10(at/g/yr)	P10unc(at/g/yr)	P10-included?	P26(at/g/yr)	P26unc(at/g/yr)	P26-included?
sample	P14(at/g/yr)	P14unc(at/g/yr)	P14-included?
05PPT-01	13.385	0.477	X
05PPT-02	12.387	0.299	X
05PPT-03	13.529	0.869	X
05PPT-04	12.671	0.388	X
05PPT-05	13.742	0.516	X
05PPT-08	14.216	0.697	X
06-HKY-01	13.200	2.134	X
06-HKY-03	11.359	0.963	X
06-HKY-04	13.869	1.140	X
06-HKY-05	11.358	1.189	X
06-HKY-06	12.389	2.043	X
06-HKY-07	9.899	2.149	X
06-HKY-08	11.771	1.471	X
06-HKY-09	11.511	1.506	X
06-HKY-10	10.172	1.927	X
06-HKY-11	12.617	1.454	X
MR-08-03	15.817	0.708	-
MR-08-05	13.183	0.685	X
MR-08-13	14.569	0.687	X
MR-08-14	13.601	0.696	X
11QOO-01	12.978	0.932	X
11QOO-02	15.152	0.927	X
11QOO-03	14.363	0.926	X
11QOO-04	13.972	0.906	X
11QOO-05	14.417	0.895	X
DV-19	15.350	3.058	X
DV-18	17.649	1.562	X
DV-9	12.827	0.444	X
DV-6	13.041	0.945	X
DV-25	16.204	0.718	-
DV-3	13.363	0.488	X
WHM-25	12.245	0.382	-
BNR-4	12.733	0.251	X
BNR-3	14.452	0.154	X
WHM-1	13.606	0.243	X
WHM-6	15.042	0.237	X
WHM-7	14.066	0.267	X
WHM-11	12.967	1.754	X
WHM-10	15.328	0.230	-
WHM-19	12.763	0.195	X
WHM-15	12.459	0.240	X
WHM-16	11.867	0.265	-
CA03-5A	14.750	0.346	X
SPN-699	12.074	1.048	X
SPN-977	17.776	4.200	X
SPN-1921	13.871	0.951	X
SPN-3	11.682	0.456	-
SPN-7D	14.254	0.280	X
SPN-11c	12.300	0.735	-
98-PCM-010-SRDK	11.766	0.659	X
WBC-UVP	12.158	0.221	X
98-PCM-002-BVLK	11.505	1.142	X
WBC-2020	13.856	0.301	-
98-PCM-105-MNZ	11.257	0.208	X
98-PCM-067-MNZ	13.682	0.301	X
CRONUS-A	13.142	0.276	X

site	P14(at/g/yr)	P14unc(at/g/yr)	P14-χ2R	P14-p-value	P14-included?
Bonneville	12.948	0.735	1.337	0.245	X
Scotland	11.941	1.289	0.683	0.726	X
NewZealand	13.785	0.718	0.993	0.370	X
Greenland	14.181	0.787	0.732	0.570	X
DeathValley	13.261	1.183	2.208	0.065	X
WhiteMtns	13.681	0.999	1.812	0.080	X
Chile	14.337	0.751	1.488	0.203	X
Antarctica	12.265	1.043	2.157	0.056	X

P-total	P(at/g/yr)	Punc(at/g/yr)
P14	13.30	1.13
====================================================================================================

Output for 14C production rate calibration with isostatic adjustment of atmospheric pressure
====================================================================================================
sample	P14(at/g/yr)	P14unc(at/g/yr)	P14-included?
05PPT-01	13.173	0.470	X
05PPT-02	12.190	0.294	X
05PPT-03	13.316	0.857	X
05PPT-04	12.470	0.382	X
05PPT-05	13.526	0.509	X
05PPT-08	13.993	0.687	X
06-HKY-01	13.253	2.142	X
06-HKY-03	11.405	0.967	X
06-HKY-04	13.924	1.144	X
06-HKY-05	11.400	1.193	X
06-HKY-06	12.435	2.050	X
06-HKY-07	9.936	2.156	X
06-HKY-08	11.815	1.476	X
06-HKY-09	11.553	1.511	X
06-HKY-10	10.211	1.934	X
06-HKY-11	12.663	1.459	X
MR-08-03	15.847	0.709	-
MR-08-05	13.208	0.686	X
MR-08-13	14.597	0.688	X
MR-08-14	13.627	0.698	X
11QOO-01	13.115	0.941	X
11QOO-02	15.310	0.935	X
11QOO-03	14.514	0.935	X
11QOO-04	14.119	0.915	X
11QOO-05	14.568	0.903	X
DV-19	15.141	3.021	X
DV-18	17.412	1.543	X
DV-9	12.655	0.439	X
DV-6	12.875	0.935	X
DV-25	16.012	0.711	-
DV-3	13.212	0.483	X
WHM-25	12.107	0.378	-
BNR-4	12.593	0.248	X
BNR-3	14.297	0.153	X
WHM-1	13.470	0.241	X
WHM-6	14.900	0.235	X
WHM-7	13.932	0.265	X
WHM-11	12.849	1.740	X
WHM-10	15.189	0.228	-
WHM-19	12.651	0.193	X
WHM-15	12.349	0.238	X
WHM-16	11.763	0.263	-
CA03-5A	14.344	0.338	X
SPN-699	11.753	1.023	X
SPN-977	17.341	4.105	X
SPN-1921	13.582	0.933	X
SPN-3	11.478	0.449	-
SPN-7D	14.028	0.276	X
SPN-11c	12.112	0.725	-
98-PCM-010-SRDK	12.071	0.674	X
WBC-UVP	12.320	0.223	X
98-PCM-002-BVLK	11.806	1.168	X
WBC-2020	14.043	0.305	-
98-PCM-105-MNZ	11.476	0.212	X
98-PCM-067-MNZ	13.953	0.306	X
CRONUS-A	13.355	0.280	X

site	P14(at/g/yr)	P14unc(at/g/yr)	P14-χ2R	P14-p-value	P14-included?
Bonneville	12.742	0.724	1.339	0.244	X
Scotland	11.987	1.294	0.683	0.725	X
NewZealand	13.811	0.720	0.993	0.371	X
Greenland	14.330	0.794	0.732	0.570	X
DeathValley	13.095	1.170	2.198	0.066	X
WhiteMtns	13.547	0.984	1.802	0.082	X
Chile	14.040	0.716	1.521	0.193	X
Antarctica	12.479	1.055	2.112	0.061	X

P-total	P(at/g/yr)	Punc(at/g/yr)
P14	13.25	1.04
====================================================================================================
