P-202306-output
expage.github.io

Output for 10Be/26Al production rate calibration
====================================================================================================
sample	P10(at/g/yr)	P10unc(at/g/yr)	P10-included?	P26(at/g/yr)	P26unc(at/g/yr)	P26-included?
05PPT-03	4.293	0.144	X	29.067	4.757	X
05PPT-04	4.228	0.142	X	29.343	1.835	X
05PPT-05	4.288	0.200	X	29.758	1.552	X
05PPT-08	4.223	0.152	X	31.081	2.127	X
S-03-02	3.976	0.253	X	-	-	-
S-03-03	4.174	0.227	X	-	-	-
S-03-04	4.028	0.281	X	-	-	-
S-03-05	3.538	0.296	X	-	-	-
S-03-06	3.763	0.372	X	-	-	-
S-03-07	4.056	0.190	X	-	-	-
S-03-08	4.288	0.215	X	-	-	-
S-03-09	3.978	0.313	X	-	-	-
S-03-10	3.879	0.195	X	-	-	-
S-03-11	3.268	0.253	X	25.643	1.789	-
GR0602	4.266	0.228	X	-	-	-
GR0603	4.190	0.222	X	-	-	-
GR0604	4.247	0.223	X	-	-	-
GR0605	4.278	0.437	X	-	-	-
AZA-11	3.819	0.255	X	-	-	-
AZA-13	3.983	0.282	X	-	-	-
AZA-27	4.040	0.299	X	-	-	-
AZA-28	4.031	0.414	X	-	-	-
AZA-29	4.300	0.296	X	-	-	-
AZA-31	3.995	0.196	X	-	-	-
AZA-11-01	3.832	0.191	X	-	-	-
AZA-11-02	3.819	0.190	X	-	-	-
AZA-11-04	3.819	0.190	X	-	-	-
AZA-11-05	4.166	0.238	X	-	-	-
AZA-13-04	3.368	0.604	X	-	-	-
AZA-13-05	3.865	0.201	X	-	-	-
AZA-30	5.445	0.267	-	-	-	-
AZA-32	5.151	0.338	-	-	-	-
AZA-33	12.255	0.699	-	-	-	-
06-SKY-01	4.251	0.219	X	-	-	-
06-SKY-03	4.057	0.209	X	30.668	2.707	-
06-SKY-04	4.262	0.357	X	-	-	-
06-SKY-05	4.256	0.581	X	-	-	-
06-SKY-06	4.189	0.267	X	-	-	-
06-SKY-07	4.048	0.209	X	37.604	3.928	-
06-SKY-08	3.866	0.304	X	-	-	-
06-HKY-01	4.121	0.212	X	30.512	2.060	X
06-HKY-03A	4.605	0.237	X	29.380	1.953	X
06-HKY-04	4.125	0.213	X	30.009	2.085	X
02-SCOT-001-ARR	4.078	0.210	X	28.332	2.011	X
02-SCOT-002-ARR	4.075	0.210	X	32.338	2.152	X
02-SCOT-003-ARR	3.925	0.202	X	-	-	-
02-SCOT-004-ARR	4.265	0.220	X	29.712	2.204	X
