Calib-site	Sample-type	Surface-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	Erosion(cm/yr)	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Calib-age(yr)	Calib-age-unc(yr)	Publication
4	boulder	Putn2010b-13	MR-08-03	-43.57452	170.60805	1029.4	1.85	2.7	0.988	0	87800	1700	07KNSTD	0	0	0	2008	9709	54	Putnam et al. (2010)
4	boulder	Putn2010b-14	MR-08-04	-43.57444	170.60832	1028.4	0.83	2.7	0.989	0	88600	2200	07KNSTD	0	0	0	2008	9709	54	Putnam et al. (2010)
4	boulder	Putn2010b-15	MR-08-05	-43.57435	170.60760	1032.1	1.57	2.7	0.991	0	89700	2400	07KNSTD	0	0	0	2008	9709	54	Putnam et al. (2010)
4	boulder	Putn2010b-16	MR-08-13	-43.57751	170.60695	1027.6	1.69	2.7	0.991	0	89600	1800	07KNSTD	0	0	0	2008	9709	54	Putnam et al. (2010)
4	boulder	Putn2010b-17	MR-08-14	-43.57787	170.60493	1032	2.16	2.7	0.991	0	88100	1700	07KNSTD	0	0	0	2008	9709	54	Putnam et al. (2010)
5	boulder	Putn2010b-4	BST-08-03	-44.03131	170.11922	852	2.22	2.7	0.995	0	146200	4700	07KNSTD	0	0	0	2008	18014	200	Putnam et al. (2010)
5	boulder	Putn2010b-5	BST-08-04	-44.03426	170.12025	839.3	2.35	2.7	0.996	0	148100	4000	07KNSTD	0	0	0	2008	18014	200	Putnam et al. (2010)
5	boulder	Putn2010b-6	BST-08-05	-44.03728	170.12081	837.1	2.16	2.7	0.997	0	144400	3600	07KNSTD	0	0	0	2008	18014	200	Putnam et al. (2010)
5	boulder	Putn2010b-7	BST-08-06	-44.03773	170.11992	835.1	1.07	2.7	0.997	0	148700	5400	07KNSTD	0	0	0	2008	18014	200	Putnam et al. (2010)
5	boulder	Putn2010b-8	BST-08-07	-44.03985	170.11979	831.9	2	2.7	0.997	0	146300	4000	07KNSTD	0	0	0	2008	18014	200	Putnam et al. (2010)
5	boulder	Putn2010b-9	BST-08-08	-44.04216	170.12218	831.4	1.31	2.7	0.998	0	150000	3300	07KNSTD	0	0	0	2008	18014	200	Putnam et al. (2010)
5	boulder	Putn2010b-10	BST-08-09	-44.04446	170.12274	823.3	1.8	2.7	0.998	0	144700	3900	07KNSTD	0	0	0	2008	18014	200	Putnam et al. (2010)
6	boulder	Fent2011-1	040906-02	68.9112	17.5224	71	2.5	2.65	0.883	0	40800	1900	S555N	0	0	0	2006	11438	118	Fenton et al. (2011)
6	boulder	Fent2011-2	040906-03	68.9112	17.5277	41	3	2.65	0.881	0	42200	1900	S555N	0	0	0	2006	11438	118	Fenton et al. (2011)
6	boulder	Fent2011-3	040906-04	68.9114	17.5282	47	3	2.65	0.852	0	41200	1900	S555N	0	0	0	2006	11438	118	Fenton et al. (2011)
7	boulder	Fent2011-4	060906-14	69.2135	19.4731	109	7.5	2.65	0.854	0	44500	2900	S555N	0	0	0	2006	10996	111	Fenton et al. (2011)
7	boulder	Fent2011-5	060906-15	69.2134	19.4728	115	3	2.65	0.794	0	40300	2300	S555N	0	0	0	2006	10996	111	Fenton et al. (2011)
7	boulder	Fent2011-6	060906-16	69.2148	19.4708	92	1	2.65	0.854	0	47200	2500	S555N	0	0	0	2006	10996	111	Fenton et al. (2011)
8	boulder	Kapl2011-1	HE-06-02	-50.0843	-73.1635	284.79	1.15	2.65	0.9998	0	68724	1630	07KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
8	boulder	Kapl2011-2	HE-06-04	-50.0841	-73.1598	271.15	1.76	2.65	0.9995	0	64318	2298	07KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
8	boulder	Kapl2011-3	HE-07-11	-50.0826	-73.1693	340.62	2.3	2.65	0.9999	0	72346	1664	07KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
8	boulder	Kapl2011-4	HE-06-06	-50.0830	-73.1771	288.42	3.43	2.65	0.9981	0	64048	1625	07KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
8	boulder	Kapl2011-5	HE-06-07	-50.0824	-73.1766	289.58	1.39	2.65	0.9997	0	65860	1648	07KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
8	boulder	Kapl2011-6	HE-07-12	-50.0797	-73.1679	292.5	1.45	2.65	0.9978	0	72921	2306	07KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
8	boulder	Kapl2011-7	HE-07-13	-50.0796	-73.1680	292.12	0.94	2.65	0.9997	0	65996	4353	07KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
8	boulder	Kapl2011-8	HE-07-10	-50.0811	-73.1776	286.35	3	2.65	0.9991	0	65725	2727	07KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
8	boulder	Kapl2011-9	HE-06-05	-50.0816	-73.1788	259.95	0.93	2.65	0.9970	0	71700	1697	KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
8	boulder	Kapl2011-10	HE-06-08	-50.0821	-73.1759	284.29	1.68	2.65	0.9993	0	73172	2841	KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
8	boulder	Kapl2011-11	HE-06-01	-50.0841	-73.1648	281.66	2.08	2.65	0.9995	0	67659	1516	KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
8	boulder	Kapl2011-12	HE-06-03	-50.0841	-73.1605	277.46	1.67	2.65	0.9987	0	71651	1662	KNSTD	0	0	0	2007	12187	144	Kaplan et al. (2011)
9	boulder	Kapl2011-13	EQ-08-01	-50.17011	-72.75087	240	0.79	2.65	0.9972	0	72101	1494	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
9	boulder	Kapl2011-14	EQ-08-06	-50.17740	-72.73030	252	1.32	2.65	0.9996	0	67362	1502	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
9	boulder	Kapl2011-15	EQ-08-05	-50.17729	-72.72931	238	0.99	2.65	0.9990	0	70374	1486	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
9	boulder	Kapl2011-16	PBS-08-09	-50.28208	-72.69468	221	1.86	2.65	0.9999	0	68998	1506	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
9	boulder	Kapl2011-17	EQ-08-04	-50.17293	-72.73938	245	0.73	2.65	0.9985	0	54095	1281	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
9	boulder	Kapl2011-18	PBS-08-04	-50.28575	-72.69151	216	0.85	2.65	1	0	68229	1243	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
9	boulder	Kapl2011-19	PBS-08-06	-50.28425	-72.68956	218	1.03	2.65	1	0	65951	1398	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
9	boulder	Acke2008-1	PBS-08-11	-50.28002	-72.63369	215	2.06	2.65	1	0	64409	959	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
9	boulder	Kapl2011-20	PBS-08-02	-50.28659	-72.69584	213	1.33	2.65	0.9999	0	66347	1771	07KNSTD	0	0	0	2008	12838	203	Kaplan et al. (2011)
10	boulder	Youn2011c-5	09GRO-08	69.11315	-51.03707	170	1	2.65	1	0	42052	1043	07KNSTD	0	0	0	2009	8188	612	Briner et al. (2012), Young et al. (2013)
10	boulder	Youn2011c-6	09GRO-09	69.11303	-51.03602	170	1	2.65	1	0	42303	800	07KNSTD	0	0	0	2009	8188	612	Briner et al. (2012), Young et al. (2013)
10	boulder	Youn2011c-7	09GRO-11	69.11293	-51.03442	170	4	2.65	1	0	40487	937	07KNSTD	0	0	0	2009	8188	612	Briner et al. (2012), Young et al. (2013)
