Calib-site	Sample-type	Surface-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	Erosion(cm/yr)	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Calib-age(yr)	Calib-age-unc(yr)	Publication
16	boulder	Phil2016-3	HU08-06	-13.94454	-70.89483	4843	7	2.29	0.999	0.00048	500900	9400	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-4	HU08-10	-13.94700	-70.88693	4860	3.2	2.29	0.997	0.00048	514200	12900	07KNSTD	3250000	140000	KNSTD	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-4	HU08-10	-13.94700	-70.88693	4860	3.2	2.29	0.997	0.00048	501200	8300	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-4	HU08-10	-13.94700	-70.88693	4860	3.2	2.29	0.997	0.00048	532900	10000	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-5	HU08-11	-13.94715	-70.88680	4860	6	2.29	0.999	0.00065	525000	8800	07KNSTD	3310000	200000	KNSTD	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-5	HU08-11	-13.94715	-70.88680	4860	6	2.29	0.999	0.00065	514700	6500	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-6	HU08-14	-13.94887	-70.88559	4871	5	2.29	0.996	0.00032	513800	9600	07KNSTD	3790000	140000	KNSTD	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-6	HU08-14	-13.94887	-70.88559	4871	5	2.29	0.996	0.00032	507800	8500	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-7	HU08-15	-13.94838	-70.88537	4869	6	2.29	0.995	0.00065	492900	9200	07KNSTD	3230000	140000	KNSTD	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-7	HU08-15	-13.94838	-70.88537	4869	6	2.29	0.995	0.00065	438500	7900	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-8	HU08-16	-13.94679	-70.88619	4867	6	2.29	0.997	0.00032	515100	9600	07KNSTD	3340000	160000	KNSTD	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-8	HU08-16	-13.94679	-70.88619	4867	6	2.29	0.997	0.00032	445900	8500	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
17	bedrock	Lift2015-1	05PPT-01	41.2637	-112.4753	1603	3	2.65	0.978	0	254200	3700	07KNSTD	1684000	62000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-1	05PPT-01	41.2637	-112.4753	1603	3	2.65	0.978	0	239400	5200	07KNSTD	1469000	68000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-1	05PPT-01	41.2637	-112.4753	1603	3	2.65	0.978	0	249500	4000	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-1	05PPT-01	41.2637	-112.4753	1603	3	2.65	0.978	0	256800	7300	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-1	05PPT-01	41.2637	-112.4753	1603	3	2.65	0.978	0	252600	4500	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-1	05PPT-01	41.2637	-112.4753	1603	3	2.65	0.978	0	265800	6200	07KNSTD	1530000	140000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-1	05PPT-01	41.2637	-112.4753	1603	3	2.65	0.978	0	0	0	0	1706000	57000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-2	05PPT-02	41.2637	-112.4753	1603	3	2.65	0.994	0	259400	3400	07KNSTD	1725000	56000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-2	05PPT-02	41.2637	-112.4753	1603	3	2.65	0.994	0	236300	5100	07KNSTD	1270000	47000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-2	05PPT-02	41.2637	-112.4753	1603	3	2.65	0.994	0	240800	5100	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-2	05PPT-02	41.2637	-112.4753	1603	3	2.65	0.994	0	255200	7500	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-2	05PPT-02	41.2637	-112.4753	1603	3	2.65	0.994	0	246700	4600	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-2	05PPT-02	41.2637	-112.4753	1603	3	2.65	0.994	0	248300	5000	07KNSTD	1750000	140000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-2	05PPT-02	41.2637	-112.4753	1603	3	2.65	0.994	0	0	0	0	1683000	51000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-3	05PPT-03	41.2636	-112.4758	1600	3.5	2.65	0.962	0	249000	3500	07KNSTD	1780000	54000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-3	05PPT-03	41.2636	-112.4758	1600	3.5	2.65	0.962	0	243500	3300	07KNSTD	1677000	62000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-3	05PPT-03	41.2636	-112.4758	1600	3.5	2.65	0.962	0	239000	5700	07KNSTD	1250000	56000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-3	05PPT-03	41.2636	-112.4758	1600	3.5	2.65	0.962	0	250300	7800	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-3	05PPT-03	41.2636	-112.4758	1600	3.5	2.65	0.962	0	258500	6200	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-3	05PPT-03	41.2636	-112.4758	1600	3.5	2.65	0.962	0	248300	4400	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-3	05PPT-03	41.2636	-112.4758	1600	3.5	2.65	0.962	0	255200	6700	07KNSTD	1940000	140000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-3	05PPT-03	41.2636	-112.4758	1600	3.5	2.65	0.962	0	0	0	0	1800000	58000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-4	05PPT-04	41.2636	-112.4769	1598	2.5	2.66	0.982	0	253900	4300	07KNSTD	1683000	75000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-4	05PPT-04	41.2636	-112.4769	1598	2.5	2.66	0.982	0	242400	4700	07KNSTD	1635000	76000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-4	05PPT-04	41.2636	-112.4769	1598	2.5	2.66	0.982	0	245600	4200	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-4	05PPT-04	41.2636	-112.4769	1598	2.5	2.66	0.982	0	252100	4300	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-4	05PPT-04	41.2636	-112.4769	1598	2.5	2.66	0.982	0	266000	6600	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-4	05PPT-04	41.2636	-112.4769	1598	2.5	2.66	0.982	0	248100	5400	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-4	05PPT-04	41.2636	-112.4769	1598	2.5	2.66	0.982	0	256700	6600	07KNSTD	1440000	320000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	bedrock	Lift2015-4	05PPT-04	41.2636	-112.4769	1598	2.5	2.66	0.982	0	0	0	0	1823000	88000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	boulder	Lift2015-5	05PPT-05	41.2639	-112.4750	1605	4	2.67	0.990	0	275100	5400	07KNSTD	1735000	58000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	boulder	Lift2015-5	05PPT-05	41.2639	-112.4750	1605	4	2.67	0.990	0	247000	3300	07KNSTD	1801000	66000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	boulder	Lift2015-5	05PPT-05	41.2639	-112.4750	1605	4	2.67	0.990	0	254100	4300	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	boulder	Lift2015-5	05PPT-05	41.2639	-112.4750	1605	4	2.67	0.990	0	249200	5400	07KNSTD	1634000	55000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	boulder	Lift2015-5	05PPT-05	41.2639	-112.4750	1605	4	2.67	0.990	0	253400	6600	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	boulder	Lift2015-5	05PPT-05	41.2639	-112.4750	1605	4	2.67	0.990	0	250100	5700	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	boulder	Lift2015-5	05PPT-05	41.2639	-112.4750	1605	4	2.67	0.990	0	274800	8000	07KNSTD	1870000	120000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	boulder	Lift2015-5	05PPT-05	41.2639	-112.4750	1605	4	2.67	0.990	0	0	0	0	1719000	46000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	boulder	Lift2015-6	05PPT-08	41.2638	-112.4748	1606	2.5	2.68	0.986	0	253600	3500	07KNSTD	1777000	53000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	boulder	Lift2015-6	05PPT-08	41.2638	-112.4748	1606	2.5	2.68	0.986	0	247400	4200	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	boulder	Lift2015-6	05PPT-08	41.2638	-112.4748	1606	2.5	2.68	0.986	0	245900	6100	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	boulder	Lift2015-6	05PPT-08	41.2638	-112.4748	1606	2.5	2.68	0.986	0	261500	4800	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	boulder	Lift2015-6	05PPT-08	41.2638	-112.4748	1606	2.5	2.68	0.986	0	248000	4400	07KNSTD	0	0	0	2005	18366	306	Lifton et al. (2015)
17	boulder	Lift2015-6	05PPT-08	41.2638	-112.4748	1606	2.5	2.68	0.986	0	273400	7900	07KNSTD	1680000	110000	KNSTD	2005	18366	306	Lifton et al. (2015)
17	boulder	Lift2015-6	05PPT-08	41.2638	-112.4748	1606	2.5	2.68	0.986	0	0	0	0	1942000	71000	KNSTD	2005	18366	306	Lifton et al. (2015)
18	bedrock	Stroe2015-1	S-03-02	58.51890	13.72940	115	2	2.65	1	0	59741	3444	KNSTD	0	0	0	2003	11406	300	Stroeven et al. (2015)
18	bedrock	Stroe2015-2	S-03-03	58.51890	13.72940	119	4	2.65	1	0	61935	2940	KNSTD	0	0	0	2003	11517	300	Stroeven et al. (2015)
18	bedrock	Stroe2015-6	S-03-07	58.50032	13.63830	106	5	2.65	0.9954	0	57758	2240	KNSTD	0	0	0	2003	11131	300	Stroeven et al. (2015)
18	bedrock	Stroe2015-7	S-03-08	58.50032	13.63830	105	5	2.65	0.9954	0	60860	2596	KNSTD	0	0	0	2003	11098	300	Stroeven et al. (2015)
18	bedrock	Stroe2015-8	S-03-09	58.49664	13.63800	120	5	2.65	1	0	59133	4350	KNSTD	0	0	0	2003	11544	300	Stroeven et al. (2015)
19	bedrock	SmaFab2015-1	GR0602	56.990	-4.686	325	3	2.7	0.9811	0	77978	3610	NIST_30600	0	0	0	2006	11982	313	Small and Fabel (2015)
19	bedrock	SmaFab2015-2	GR0603	56.990	-4.686	325	3	2.7	0.9269	0	72368	3305	NIST_30600	0	0	0	2006	11982	313	Small and Fabel (2015)
19	bedrock	SmaFab2015-3	GR0604	56.991	-4.685	325	3	2.7	0.9543	0	75509	3402	NIST_30600	0	0	0	2006	11982	313	Small and Fabel (2015)
19	bedrock	SmaFab2015-4	GR0605	56.995	-4.695	325	5	2.7	0.6841	0	53588	5237	NIST_30600	0	0	0	2006	11982	313	Small and Fabel (2015)
20	boulder	Mart2015-1	AZA-11	-18.92045	-66.74732	3930	1.5	2.7	0.998	0	505000	27000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
20	boulder	Mart2015-2	AZA-13	-18.90822	-66.75647	3808	1	2.7	0.999	0	512000	21000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
20	boulder	Mart2015-2	AZA-13R	-18.90822	-66.75647	3808	1	2.7	0.999	0	471000	26000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
20	boulder	Mart2015-3	AZA-27	-18.91465	-66.74508	3930	2.5	2.7	0.998	0	530000	33000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
20	boulder	Mart2015-4	AZA-28	-18.91512	-66.74990	3909	2	2.7	0.999	0	477000	30000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
20	boulder	Mart2015-4	AZA-28R	-18.91512	-66.74990	3909	2	2.7	0.999	0	547000	20000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
20	boulder	Mart2015-5	AZA-29	-18.91557	-66.75127	3909	4	2.7	0.999	0	552000	31000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
20	boulder	Mart2015-6	AZA-31	-18.91223	-66.74630	3908	1	2.7	0.998	0	524000	15000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
20	boulder	Mart2015-7	AZA-11-01	-18.91252	-66.75071	3903	2	2.7	0.999	0	498000	15000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
20	boulder	Mart2015-8	AZA-11-02	-18.91309	-66.75075	3909	2	2.7	0.999	0	498000	15000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
20	boulder	Mart2015-9	AZA-11-04	-18.91500	-66.75015	3935	3	2.7	0.999	0	501000	15000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
20	boulder	Mart2015-10	AZA-11-05	-18.91552	-66.75131	3899	3	2.7	0.999	0	536000	22000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
20	boulder	Mart2015-11	AZA-13-04	-18.90891	-66.75649	3804	2.5	2.7	0.999	0	414000	72000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
20	boulder	Mart2015-12	AZA-13-05	-18.90844	-66.75645	3802	2	2.7	0.999	0	476000	16000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
20	boulder	Mart2015-13	AZA-30	-18.91248	-66.74950	3895	2.5	2.7	0.999	0	701000	15000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
20	boulder	Mart2015-14	AZA-32	-18.91418	-66.74557	3909	2	2.7	0.998	0	670000	35000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
20	boulder	Mart2015-15	AZA-33	-18.92003	-66.74595	3987	2	2.7	0.998	0	1657000	68000	NIST_27900	0	0	0	2013	16133	640	Martin et al. (2015)
21	bedrock	Borc2016-1	06-SKY-01	57.24081	-5.97272	442	7	2.52	0.924	0	70900	2400	07KNSTD	0	0	0	2006	11756	300	Borchers et al. (2016)
21	bedrock	Borc2016-1	06-SKY-01	57.24081	-5.97272	442	7	2.52	0.924	0	73200	6800	07KNSTD	0	0	0	2006	11756	300	Borchers et al. (2016)
21	bedrock	Borc2016-2	06-SKY-03	57.24091	-5.96811	323	8	2.52	0.958	0	62700	2000	07KNSTD	471000	36000	KNSTD	2006	11756	300	Borchers et al. (2016)
21	bedrock	Borc2016-2	06-SKY-03	57.24091	-5.96811	323	8	2.52	0.958	0	61900	4700	07KNSTD	0	0	0	2006	11756	300	Borchers et al. (2016)
21	boulder	Borc2016-3	06-SKY-04	57.24223	-5.96876	339	7.5	2.46	0.976	0.00002	67900	1900	07KNSTD	0	0	0	2006	11756	300	Borchers et al. (2016)
21	boulder	Borc2016-3	06-SKY-04	57.24223	-5.96876	339	7.5	2.46	0.976	0.00002	74800	7500	07KNSTD	0	0	0	2006	11756	300	Borchers et al. (2016)
21	boulder	Borc2016-4	06-SKY-05	57.24240	-5.96630	322	3.5	2.44	0.987	0.00002	70100	9000	07KNSTD	0	0	0	2006	11756	300	Borchers et al. (2016)
21	boulder	Borc2016-5	06-SKY-06	57.24249	-5.96588	310	7.5	2.49	0.990	0.00002	65900	2100	07KNSTD	0	0	0	2006	11756	300	Borchers et al. (2016)
21	boulder	Borc2016-5	06-SKY-06	57.24249	-5.96588	310	7.5	2.49	0.990	0.00002	70300	7100	07KNSTD	0	0	0	2006	11756	300	Borchers et al. (2016)
21	boulder	Borc2016-6	06-SKY-07	57.24269	-5.96485	300	6	2.56	0.992	0.00002	64200	2100	07KNSTD	593000	56000	KNSTD	2006	11756	300	Borchers et al. (2016)
21	boulder	Borc2016-6	06-SKY-07	57.24269	-5.96485	300	6	2.56	0.992	0.00002	64600	5000	07KNSTD	0	0	0	2006	11756	300	Borchers et al. (2016)
21	boulder	Borc2016-7	06-SKY-08	57.24250	-5.96530	314	2	2.41	0.988	0	64100	4200	07KNSTD	0	0	0	2006	11756	300	Borchers et al. (2016)
22	boulder	Borc2016-8	06-HKY-01	57.41525	-5.64641	133	2.5	2.52	0.988	0.0001	57400	1200	07KNSTD	424000	22000	KNSTD	2006	11756	300	Borchers et al. (2016)
22	boulder	Borc2016-9	06-HKY-03A	57.41550	-5.64662	131	5.85	2.47	0.985	0.0001	62100	1200	07KNSTD	396000	20000	KNSTD	2006	11756	300	Borchers et al. (2016)
22	boulder	Borc2016-10	06-HKY-04	57.42309	-5.65812	137	10	2.59	0.972	0	53300	1000	07KNSTD	387000	21000	KNSTD	2006	11756	300	Borchers et al. (2016)
22	boulder	Borc2016-11	02-SCOT-001-ARR	57.41413	-5.64375	139	4	2.57	0.990	0.0001	56500	1300	07KNSTD	392000	22000	KNSTD	2002	11752	300	Borchers et al. (2016)
22	boulder	Borc2016-12	02-SCOT-002-ARR	57.41413	-5.64375	139	2	2.57	0.990	0.0001	57400	1100	07KNSTD	454000	23000	KNSTD	2002	11752	300	Borchers et al. (2016)
22	boulder	Borc2016-13	02-SCOT-003-ARR	57.41413	-5.64375	139	4	2.57	0.990	0.0001	54400	1200	07KNSTD	0	0	0	2002	11752	300	Borchers et al. (2016)
22	boulder	Borc2016-14	02-SCOT-004-ARR	57.41512	-5.64620	135	6.2	2.71	0.988	0.0001	57500	1200	07KNSTD	400000	24000	KNSTD	2002	11752	300	Borchers et al. (2016)
22	boulder	Borc2016-15	02-SCOT-005-ARR	57.41512	-5.64620	135	3.3	2.57	0.988	0.0001	58800	1300	07KNSTD	451000	27000	KNSTD	2002	11752	300	Borchers et al. (2016)
22	boulder	Borc2016-16	02-SCOT-006-ARR	57.41525	-5.64641	133	2.4	2.57	0.988	0.0001	56400	2000	07KNSTD	405000	24000	KNSTD	2002	11752	300	Borchers et al. (2016)
22	boulder	Borc2016-17	02-SCOT-007-ARR	57.41525	-5.64641	133	2.1	2.57	0.988	0.0001	59500	1700	07KNSTD	427000	30000	KNSTD	2002	11752	300	Borchers et al. (2016)
22	boulder	Borc2016-18	02-SCOT-008-ARR	57.41525	-5.64641	133	1.4	2.57	0.988	0.0001	57700	1200	07KNSTD	397000	20000	KNSTD	2002	11752	300	Borchers et al. (2016)
23	boulder	Borc2016-19	06-HKY-05	57.48742	-5.44928	521	4	2.55	0.987	0	81100	1400	07KNSTD	580000	22000	KNSTD	2006	11756	300	Borchers et al. (2016)
23	boulder	Borc2016-20	06-HKY-06	57.48755	-5.44977	527	3.75	2.53	0.987	0	82600	2500	07KNSTD	586000	23000	KNSTD	2006	11756	300	Borchers et al. (2016)
23	boulder	Borc2016-21	06-HKY-07	57.48778	-5.44772	500	6.25	2.59	0.989	0	77900	1500	07KNSTD	563000	21000	KNSTD	2006	11756	300	Borchers et al. (2016)
23	boulder	Borc2016-22	06-HKY-08	57.48868	-5.44703	502	4	2.59	0.988	0	79600	1300	07KNSTD	560000	24000	KNSTD	2006	11756	300	Borchers et al. (2016)
23	boulder	Borc2016-23	06-HKY-10	57.48732	-5.44866	510	6.75	2.59	0.987	0	78600	1400	07KNSTD	583000	22000	KNSTD	2006	11756	300	Borchers et al. (2016)
23	boulder	Borc2016-24	06-HKY-11	57.48743	-5.44989	528	4	2.58	0.987	0	83800	1200	07KNSTD	606000	22000	KNSTD	2006	11756	300	Borchers et al. (2016)
24	boulder	Borc2016-32	BL07-01	37.1683	-118.6201	3380	4	2.75	0.98512	0.0001	431157	6264	07KNSTD	2798607	67637	KNSTD	2007	13104	200	Borchers et al. (2016)
24	boulder	Borc2016-33	BL07-02	37.1682	-118.6204	3387	5.5	2.75	0.9832	0.0001	479536	6421	07KNSTD	3195697	135949	KNSTD	2007	13104	200	Borchers et al. (2016)
24	boulder	Borc2016-34	BL07-03	37.1680	-118.6201	3387	4.5	2.75	0.9892	0.0001	462263	6232	07KNSTD	3088842	79177	KNSTD	2007	13104	200	Borchers et al. (2016)
25	boulder	Borc2016-35	06-PUG-003-COL	48.01962	-122.42713	60	2.2	2.7	1	0	71615	1354	07KNSTD	473311	19560	KNSTD	2006	15444	500	Borchers et al. (2016)
25	boulder	Borc2016-36	06-PUG-009-CPT	48.46195	-123.01400	51	2	2.7	1	0	60907	1219	07KNSTD	416785	41457	KNSTD	2006	15444	500	Borchers et al. (2016)
25	boulder	Borc2016-37	06-PUG-013-CPT	48.45853	-122.98431	84	4	2.7	1	0	64342	1597	07KNSTD	441898	20112	KNSTD	2006	15444	500	Borchers et al. (2016)
