P-202306-input
expage.github.io

Input for 10Be/26Al production rate calibration
====================================================================================================
site	sample	lat	long	elv	thick	dens	shield	erosion	N10	N10unc	std10	N26	N26unc	std26	samplingyr	calage	calageunc	isostsubm	isostsubmmod
Corrie-nan-Arr	02-SCOT-001-ARR	57.41413	-5.64375	139	4	2.57	0.990	0	56500	1638	07KNSTD	392000	22000	KNSTD	2002	11752	500	-	-
Corrie-nan-Arr	02-SCOT-002-ARR	57.41413	-5.64375	139	2	2.57	0.990	0	57400	1665	07KNSTD	454000	23000	KNSTD	2002	11752	500	-	-
Corrie-nan-Arr	02-SCOT-003-ARR	57.41413	-5.64375	139	4	2.57	0.990	0	54400	1578	07KNSTD	-	-	-	2002	11752	500	-	-
Corrie-nan-Arr	02-SCOT-004-ARR	57.41512	-5.64620	135	6.2	2.71	0.988	0	57500	1667	07KNSTD	400000	24000	KNSTD	2002	11752	500	-	-
Corrie-nan-Arr	02-SCOT-005-ARR	57.41512	-5.64620	135	3.3	2.57	0.988	0	58800	1705	07KNSTD	451000	27000	KNSTD	2002	11752	500	-	-
Corrie-nan-Arr	02-SCOT-006-ARR	57.41525	-5.64641	133	2.4	2.57	0.988	0	56400	2000	07KNSTD	405000	24000	KNSTD	2002	11752	500	-	-
Corrie-nan-Arr	02-SCOT-007-ARR	57.41525	-5.64641	133	2.1	2.57	0.988	0	59500	1725	07KNSTD	427000	30000	KNSTD	2002	11752	500	-	-
Corrie-nan-Arr	02-SCOT-008-ARR	57.41525	-5.64641	133	1.4	2.57	0.988	0	57700	1673	07KNSTD	397000	20000	KNSTD	2002	11752	500	-	-
Maol-Chean-dearg	06-HKY-05	57.48742	-5.44928	521	4	2.55	0.987	0	81100	2352	07KNSTD	580000	28420	KNSTD	2006	11756	500	-	-
Maol-Chean-dearg	06-HKY-06	57.48755	-5.44977	527	3.75	2.53	0.987	0	82600	2500	07KNSTD	586000	28714	KNSTD	2006	11756	500	-	-
Maol-Chean-dearg	06-HKY-07	57.48778	-5.44772	500	6.25	2.59	0.989	0	77900	2259	07KNSTD	563000	27587	KNSTD	2006	11756	500	-	-
Maol-Chean-dearg	06-HKY-08	57.48868	-5.44703	502	4	2.59	0.988	0	79600	2308	07KNSTD	560000	27440	KNSTD	2006	11756	500	-	-
Maol-Chean-dearg	06-HKY-10	57.48732	-5.44866	510	6.75	2.59	0.987	0	78600	2279	07KNSTD	583000	28567	KNSTD	2006	11756	500	-	-
Maol-Chean-dearg	06-HKY-11	57.48743	-5.44989	528	4	2.58	0.987	0	83800	2430	07KNSTD	606000	29694	KNSTD	2006	11756	500	-	-
Baboon-Lake	BL07-01	37.1683	-118.6201	3380	4	2.75	0.98512	0	431157	12504	07KNSTD	2798607	137132	KNSTD	2007	13104	200	-	-
Baboon-Lake	BL07-02	37.1682	-118.6204	3387	5.5	2.75	0.9832	0	479536	13907	07KNSTD	3195697	156589	KNSTD	2007	13104	200	-	-
Baboon-Lake	BL07-03	37.1680	-118.6201	3387	4.5	2.75	0.9892	0	462263	13406	07KNSTD	3088842	151353	KNSTD	2007	13104	200	-	-
Baboon-Lake	SNV-01	37.1654	-118.6227	3390	2	2.65	0.98	0	558584	51128	07KNSTD	-	-	-	2008	13105	200	-	-
Baboon-Lake	SNV-02	37.1654	-118.6227	3390	2	2.65	0.98	0	258604	7743	07KNSTD	-	-	-	2008	13105	200	-	-
Baboon-Lake	SNV-03	37.1654	-118.6227	3390	2	2.65	0.98	0	548688	20867	07KNSTD	-	-	-	2008	13105	200	-	-
Baboon-Lake	SNV-04	37.1656	-118.6228	3380	2	2.65	0.98	0	502926	23930	07KNSTD	-	-	-	2008	13105	200	-	-
Baboon-Lake	SNV-05	37.1656	-118.6228	3380	2	2.65	0.98	0	496744	22954	07KNSTD	-	-	-	2008	13105	200	-	-
Baboon-Lake	SNV-06	37.1654	-118.6227	3390	2	2.65	0.98	0	494338	21666	07KNSTD	-	-	-	2008	13105	200	-	-
Baboon-Lake	SNV-07	37.1654	-118.6227	3390	2	2.65	0.98	0	517528	15654	07KNSTD	-	-	-	2008	13105	200	-	-
Baboon-Lake	SNV-08	37.1654	-118.6227	3390	2	2.65	0.98	0	347137	15494	07KNSTD	-	-	-	2008	13105	200	-	-
Rannoch-Moor	RM-10-01	56.63340	-4.77118	316	0.93	2.65	1	0	77000	2233	07KNSTD	-	-	-	2010	11760	500	-	-
Rannoch-Moor	RM-10-02	56.63338	-4.77133	316	2.23	2.65	1	0	69400	2013	07KNSTD	-	-	-	2010	11760	500	-	-
Rannoch-Moor	RM-10-03	56.63369	-4.77312	321	0.75	2.65	1	0	71500	2074	07KNSTD	-	-	-	2010	11760	500	-	-
Rannoch-Moor	RM-10-06	56.63377	-4.77660	325	0.67	2.65	1	0	73000	2117	07KNSTD	-	-	-	2010	11760	500	-	-
Rannoch-Moor	RM-10-10	56.63592	-4.77492	316	0.66	2.65	1	0	68600	1989	07KNSTD	-	-	-	2010	11760	500	-	-
Rannoch-Moor	RM-10-11	56.63633	-4.77294	313	0.94	2.65	1	0	68200	1978	07KNSTD	-	-	-	2010	11760	500	-	-
Rannoch-Moor	RM-10-05	56.63385	-4.77544	324	1.60	2.65	1	0	70300	2039	07KNSTD	-	-	-	2010	11760	500	-	-
Rannoch-Moor	RM-10-09	56.63459	-4.78123	326	3.01	2.65	0.994	0	66600	2200	07KNSTD	-	-	-	2010	11760	500	-	-
Rannoch-Moor	RM-10-12	56.63520	-4.77243	316	1.93	2.65	1	0	68100	1975	07KNSTD	-	-	-	2010	11760	500	-	-
Rannoch-Moor	RM-10-04	56.63391	-4.77524	324	2.27	2.65	1	0	73500	2132	07KNSTD	-	-	-	2010	11760	500	-	-
Rannoch-Moor	RM-10-07	56.63407	-4.77674	325	1.41	2.65	1	0	71900	2085	07KNSTD	-	-	-	2010	11760	500	-	-
Rannoch-Moor	RM-10-08	56.63414	-4.77869	327	1.49	2.65	1	0	70600	2100	07KNSTD	-	-	-	2010	11760	500	-	-
Rannoch-Moor	RMOOR01	56.63500	-4.77800	327	1.60	2.65	0.9989	0	63780	1850	NIST_27900	-	-	-	2014	11764	500	-	-
Rannoch-Moor	RMOOR02	56.63500	-4.78100	326	1.20	2.65	0.9998	0	65073	1887	NIST_27900	-	-	-	2014	11764	500	-	-
Rannoch-Moor	RMOOR03	56.63400	-4.78100	329	1.20	2.65	0.9998	0	72794	2111	NIST_27900	-	-	-	2014	11764	500	-	-
Rannoch-Moor	RMOOR04	56.63400	-4.77900	329	1.20	2.65	0.9998	0	66488	1928	NIST_27900	-	-	-	2014	11764	500	-	-
Rannoch-Moor	RMOOR05	56.63400	-4.77700	326	3.00	2.65	0.9997	0	63988	1856	NIST_27900	-	-	-	2014	11764	500	-	-
Rannoch-Moor	RMOOR06	56.63400	-4.77500	323	1.50	2.65	0.9997	0	68674	1992	NIST_27900	-	-	-	2014	11764	500	-	-
SP-lava-flow	SPICE-A1	35.5944	-111.6342	1837	8	2.25	0.999	0	938000	43000	07KNSTD	5900000	450000	KNSTD	2015	72000	2000	-	-
SP-lava-flow	SPICE-A2	35.6056	-111.6175	1807	8	2.26	0.999	0	964000	47000	07KNSTD	5800000	450000	KNSTD	2015	72000	2000	-	-
SP-lava-flow	SPICE-A3	35.6100	-111.6137	1810	13	2.15	0.999	0	936000	43500	07KNSTD	5750000	281750	KNSTD	2015	72000	2000	-	-
SP-lava-flow	SPICE-A4	35.6121	-111.6098	1803	13	2.13	0.998	0	925000	44000	07KNSTD	5823757	353553	KNSTD	2015	72000	2000	-	-
SP-lava-flow	SPICE-A5	35.6163	-111.6081	1800	13	2.28	1	0	917000	43500	07KNSTD	5400000	650000	KNSTD	2015	72000	2000	-	-
SP-lava-flow	SPICE-A6	35.6245	-111.6057	1778	12	2.29	1	0	901000	43500	07KNSTD	6150000	494975	KNSTD	2015	72000	2000	-	-
SP-lava-flow	SPICE-A7	35.6164	-111.6087	1800	13	2.45	1	0	909000	43500	07KNSTD	5900000	600000	KNSTD	2015	72000	2000	-	-
SP-lava-flow	SPICE-A8	35.6326	-111.6068	1778	13	2.05	0.997	0	936000	45000	07KNSTD	5807240	636396	KNSTD	2015	72000	2000	-	-
SP-lava-flow	SPICE-A9	35.6094	-111.6135	1810	13	2.29	0.999	0	931000	44500	07KNSTD	5400000	500000	KNSTD	2015	72000	2000	-	-
SP-lava-flow	SPICE-A10	35.6165	-111.6085	1800	12	2.31	0.999	0	975000	46000	07KNSTD	5700000	550000	KNSTD	2015	72000	2000	-	-
====================================================================================================

Input for 10Be/26Al production rate calibration with isostatic adjustment of atmospheric pressure
====================================================================================================
site	sample	lat	long	elv	thick	dens	shield	erosion	N10	N10unc	std10	N26	N26unc	std26	samplingyr	calage	calageunc	isostsubm	isostsubmmod	isostP	isostPmod
Littleton	06-NE-010-LIT	44.2903	-71.7612	357	2	2.65	0.999	0.7	81800	2600	KNSTD	447000	29000	KNSTD	2006	13952	250	-	-	ANU2017	-
Littleton	06-NE-011-LIT	44.2904	-71.7608	357	2	2.65	0.999	0.7	80600	2700	KNSTD	514000	36000	KNSTD	2006	13952	250	-	-	ANU2017	-
Littleton	06-NE-012-LIT	44.3129	-71.5722	414	1	2.65	0.999	0.7	88300	2561	KNSTD	559000	27391	KNSTD	2006	13952	250	-	-	ANU2017	-
Littleton	06-NE-013-LIT	44.3146	-71.5730	412	10	2.65	0.999	0.7	80975	8556	KNSTD	498000	24402	KNSTD	2006	13952	250	-	-	ANU2017	-
Littleton	07-NE-001-BH	44.3143	-71.5740	417	3.6	2.57	0.9929	0.7	77447	2246	07KNSTD	565281	27699	KNSTD	2007	13953	250	-	-	ANU2017	-
Littleton	07-NE-002-BH	44.3139	-71.5750	412	4.6	2.57	0.9929	0.7	83769	3114	07KNSTD	567028	27784	KNSTD	2007	13953	250	-	-	ANU2017	-
Littleton	07-NE-003-BH	44.3110	-71.5766	411	2.2	2.57	0.9929	0.7	71963	5171	07KNSTD	488369	77283	KNSTD	2007	13953	250	-	-	ANU2017	-
Littleton	07-NE-004-BH	44.3114	-71.5750	412	3.9	2.57	0.9929	0.7	80320	2958	07KNSTD	560270	27453	KNSTD	2007	13953	250	-	-	ANU2017	-
Littleton	07-NE-005-BH	44.3108	-71.5761	409	3.7	2.58	0.9929	0.7	76931	3037	07KNSTD	531187	26028	KNSTD	2007	13953	250	-	-	ANU2017	-
Littleton	07-NE-006-BH	44.3083	-71.5765	413	3.4	2.53	0.9929	0.7	79506	2306	07KNSTD	555682	68107	KNSTD	2007	13953	250	-	-	ANU2017	-
Littleton	07-NE-007-BH	44.3082	-71.5770	412	3.4	2.57	0.9929	0.7	74032	5792	07KNSTD	512545	25115	KNSTD	2007	13953	250	-	-	ANU2017	-
Leverett	06-NE-002-LEV	42.5042	-72.5224	135	5	2.65	0.998	0.7	80529	6152	KNSTD	-	-	-	2006	16113	300	-	-	ANU2017	-
Leverett	06-NE-003-LEV	42.5059	-72.5212	160	3	2.65	0.999	0.7	87100	2526	KNSTD	-	-	-	2006	16113	300	-	-	ANU2017	-
Leverett	06-NE-004-LEV	42.5049	-72.5218	154	2	2.65	0.999	0.7	91100	2642	KNSTD	-	-	-	2006	16113	300	-	-	ANU2017	-
Cobblestone-Hill	CH-1	44.846	-73.579	237	2	2.65	1	0.7	64900	10600	KNSTD	-	-	-	2006	13212	151	-	-	ANU2017	-
Cobblestone-Hill	CH-2	44.846	-73.579	236	1	2.65	1	0.7	60700	6500	KNSTD	-	-	-	2006	13212	151	-	-	ANU2017	-
Cobblestone-Hill	CH-3	44.843	-73.577	226	2	2.65	1	0.7	58700	3500	KNSTD	-	-	-	2006	13212	151	-	-	ANU2017	-
Cobblestone-Hill	CH-4	44.843	-73.577	226	2.5	2.65	1	0.7	66400	4100	KNSTD	-	-	-	2006	13212	151	-	-	ANU2017	-
Cobblestone-Hill	CH-5	44.843	-73.575	226	3	2.65	1	0.7	65900	4100	KNSTD	-	-	-	2006	13212	151	-	-	ANU2017	-
Cobblestone-Hill	CH-6	44.843	-73.575	226	2.5	2.65	1	0.7	67700	4300	KNSTD	-	-	-	2006	13212	151	-	-	ANU2017	-
Cobblestone-Hill	CH-7	44.865	-73.662	259	1	2.65	1	0.7	70900	12100	KNSTD	-	-	-	2006	13212	151	-	-	ANU2017	-
Macaulay	MR-08-01	-43.57605	170.60835	1024.9	0.82	2.7	0.992	0	87500	2538	07KNSTD	-	-	-	2008	9709	54	-	-	ICE7G	-
Macaulay	MR-08-02	-43.57581	170.60857	1024.5	1.04	2.7	0.993	0	91700	2659	07KNSTD	-	-	-	2008	9709	54	-	-	ICE7G	-
Macaulay	MR-08-03	-43.57452	170.60805	1029.4	1.85	2.7	0.988	0	87800	2546	07KNSTD	-	-	-	2008	9709	54	-	-	ICE7G	-
Macaulay	MR-08-04	-43.57444	170.60832	1028.4	0.83	2.7	0.989	0	88600	2569	07KNSTD	-	-	-	2008	9709	54	-	-	ICE7G	-
Macaulay	MR-08-05	-43.57435	170.60760	1032.1	1.57	2.7	0.991	0	89700	2601	07KNSTD	-	-	-	2008	9709	54	-	-	ICE7G	-
Macaulay	MR-08-13	-43.57751	170.60695	1027.6	1.69	2.7	0.991	0	89600	2598	07KNSTD	-	-	-	2008	9709	54	-	-	ICE7G	-
Macaulay	MR-08-14	-43.57787	170.60493	1032.0	2.16	2.7	0.991	0	88100	2555	07KNSTD	-	-	-	2008	9709	54	-	-	ICE7G	-
Boundary-Stream	BST-08-03	-44.03131	170.11922	852.0	2.22	2.7	0.995	0	146200	4700	07KNSTD	-	-	-	2008	18014	200	-	-	ICE7G	-
Boundary-Stream	BST-08-04	-44.03426	170.12025	839.3	2.35	2.7	0.996	0	148100	4295	07KNSTD	-	-	-	2008	18014	200	-	-	ICE7G	-
Boundary-Stream	BST-08-05	-44.03728	170.12081	837.1	2.16	2.7	0.997	0	144400	4188	07KNSTD	-	-	-	2008	18014	200	-	-	ICE7G	-
Boundary-Stream	BST-08-06	-44.03773	170.11992	835.1	1.07	2.7	0.997	0	148700	5400	07KNSTD	-	-	-	2008	18014	200	-	-	ICE7G	-
Boundary-Stream	BST-08-07	-44.03985	170.11979	831.9	2	2.7	0.997	0	146300	4243	07KNSTD	-	-	-	2008	18014	200	-	-	ICE7G	-
Boundary-Stream	BST-08-08	-44.04216	170.12218	831.4	1.31	2.7	0.998	0	150000	4350	07KNSTD	-	-	-	2008	18014	200	-	-	ICE7G	-
Boundary-Stream	BST-08-09	-44.04446	170.12274	823.3	1.8	2.7	0.998	0	144700	4196	07KNSTD	-	-	-	2008	18014	200	-	-	ICE7G	-
Grøtlandsura	040906-02	68.9112	17.5224	71	2.5	2.65	0.883	0	40800	1900	S555N	-	-	-	2006	11438	118	-	-	PD2015	-
Grøtlandsura	040906-03	68.9112	17.5277	41	3	2.65	0.881	0	42200	1900	S555N	-	-	-	2006	11438	118	-	-	PD2015	-
Grøtlandsura	040906-04	68.9114	17.5282	47	3	2.65	0.852	0	41200	1900	S555N	-	-	-	2006	11438	118	-	-	PD2015	-
Russenes	060906-14	69.2135	19.4731	109	7.5	2.65	0.854	0	44500	2900	S555N	-	-	-	2006	10996	111	-	-	PD2015	-
Russenes	060906-15	69.2134	19.4728	115	3	2.65	0.794	0	40300	2300	S555N	-	-	-	2006	10996	111	-	-	PD2015	-
Russenes	060906-16	69.2148	19.4708	92	1	2.65	0.854	0	47200	2500	S555N	-	-	-	2006	10996	111	-	-	PD2015	-
Herminita	HE-06-02	-50.0843	-73.1635	284.79	1.15	2.65	0.9998	0	68724	1993	07KNSTD	-	-	-	2006	12186	144	-	-	ICE7G	-
Herminita	HE-06-04	-50.0841	-73.1598	271.15	1.76	2.65	0.9995	0	64318	2298	07KNSTD	-	-	-	2006	12186	144	-	-	ICE7G	-
Herminita	HE-07-11	-50.0826	-73.1693	340.62	2.3	2.65	0.9999	0	72346	2098	07KNSTD	-	-	-	2007	12187	144	-	-	ICE7G	-
Herminita	HE-06-06	-50.0830	-73.1771	288.42	3.43	2.65	0.9981	0	64048	1857	07KNSTD	-	-	-	2006	12186	144	-	-	ICE7G	-
Herminita	HE-06-07	-50.0824	-73.1766	289.58	1.39	2.65	0.9997	0	65860	1910	07KNSTD	-	-	-	2006	12186	144	-	-	ICE7G	-
Herminita	HE-07-12	-50.0797	-73.1679	292.50	1.45	2.65	0.9978	0	72921	2306	07KNSTD	-	-	-	2007	12187	144	-	-	ICE7G	-
Herminita	HE-07-13	-50.0796	-73.1680	292.12	0.94	2.65	0.9997	0	65996	4353	07KNSTD	-	-	-	2007	12187	144	-	-	ICE7G	-
Herminita	HE-07-10	-50.0811	-73.1776	286.35	3	2.65	0.9991	0	65725	2727	07KNSTD	-	-	-	2007	12187	144	-	-	ICE7G	-
Herminita	HE-06-05	-50.0816	-73.1788	259.95	0.93	2.65	0.9970	0	71700	2079	KNSTD	-	-	-	2006	12186	144	-	-	ICE7G	-
Herminita	HE-06-08	-50.0821	-73.1759	284.29	1.68	2.65	0.9993	0	73172	2841	KNSTD	-	-	-	2006	12186	144	-	-	ICE7G	-
Herminita	HE-06-01	-50.0841	-73.1648	281.66	2.08	2.65	0.9995	0	67659	1962	KNSTD	-	-	-	2006	12186	144	-	-	ICE7G	-
Herminita	HE-06-03	-50.0841	-73.1605	277.46	1.67	2.65	0.9987	0	71651	2078	KNSTD	-	-	-	2006	12186	144	-	-	ICE7G	-
Puerto-Bandera	EQ-08-01	-50.17011	-72.75087	240	0.79	2.65	0.9972	0	72101	2091	07KNSTD	-	-	-	2008	12838	203	-	-	ICE7G	-
Puerto-Bandera	EQ-08-06	-50.17740	-72.73030	252	1.32	2.65	0.9996	0	67362	1953	07KNSTD	-	-	-	2008	12838	203	-	-	ICE7G	-
Puerto-Bandera	EQ-08-05	-50.17729	-72.72931	238	0.99	2.65	0.9990	0	70374	2041	07KNSTD	-	-	-	2008	12838	203	-	-	ICE7G	-
Puerto-Bandera	PBS-08-09	-50.28208	-72.69468	221	1.86	2.65	0.9999	0	68998	2001	07KNSTD	-	-	-	2008	12838	203	-	-	ICE7G	-
Puerto-Bandera	EQ-08-04	-50.17293	-72.73938	245	0.73	2.65	0.9985	0	54095	1569	07KNSTD	-	-	-	2008	12838	203	-	-	ICE7G	-
Puerto-Bandera	PBS-08-04	-50.28575	-72.69151	216	0.85	2.65	1	0	68229	1979	07KNSTD	-	-	-	2008	12838	203	-	-	ICE7G	-
Puerto-Bandera	PBS-08-06	-50.28425	-72.68956	218	1.03	2.65	1	0	65951	1913	07KNSTD	-	-	-	2008	12838	203	-	-	ICE7G	-
Puerto-Bandera	PBS-08-11	-50.28002	-72.63369	215	2.06	2.65	1	0	64409	1868	07KNSTD	-	-	-	2008	12838	203	-	-	ICE7G	-
Puerto-Bandera	PBS-08-02	-50.28659	-72.69584	213	1.33	2.65	0.9999	0	66347	1924	07KNSTD	-	-	-	2008	12838	203	-	-	ICE7G	-
Tasiussaq	09GRO-08	69.11315	-51.03707	170	1	2.65	1	0	42052	1220	07KNSTD	-	-	-	2009	8188	612	-	-	ICE7G	-
Tasiussaq	09GRO-09	69.11303	-51.03602	170	1	2.65	1	0	42303	1227	07KNSTD	-	-	-	2009	8188	612	-	-	ICE7G	-
Tasiussaq	09GRO-11	69.11293	-51.03442	170	4	2.65	1	0	40487	1174	07KNSTD	-	-	-	2009	8188	612	-	-	ICE7G	-
Tasiussaq	09GRO-12	69.11293	-51.03442	170	3	2.65	1	0	41669	1208	07KNSTD	-	-	-	2009	8188	612	-	-	ICE7G	-
Tasiussaq	FTS08-01	69.20217	-51.08778	75	1	2.65	0.999	0	38944	1129	07KNSTD	-	-	-	2008	8187	612	-	-	ICE7G	-
Tasiussaq	FST08-02	69.20190	-51.08597	75	1	2.65	0.999	0	36884	1070	07KNSTD	-	-	-	2008	8187	612	-	-	ICE7G	-
Halsnøy	YDC08-2	59.78080	5.79079	77	3.5	2.6	0.9954	1.72	51200	1485	07KNSTD	-	-	-	2008	11648	110	-	-	PD2015	-
Halsnøy	YDC08-3	59.78113	5.79049	79	1.7	2.6	0.9866	1.72	53500	1552	07KNSTD	-	-	-	2008	11648	110	-	-	PD2015	-
Halsnøy	YDC08-4	59.78096	5.79017	74	1.4	2.6	0.9803	1.72	52400	1520	07KNSTD	-	-	-	2008	11648	110	-	-	PD2015	-
Halsnøy	YDC08-5	59.78158	5.79029	76	1.4	2.6	0.9841	1.72	56000	1624	07KNSTD	-	-	-	2008	11648	110	-	-	PD2015	-
Halsnøy	YDC08-7	59.81646	5.81879	99	2.8	2.6	0.9445	1.72	57000	1653	07KNSTD	-	-	-	2008	11648	110	-	-	PD2015	-
Halsnøy	YDC08-8	59.81384	5.81889	91	2.6	2.6	0.9939	1.72	55100	1600	07KNSTD	-	-	-	2008	11648	110	-	-	PD2015	-
Halsnøy	YDC08-9	59.81395	5.81898	87	2.9	2.6	0.9695	1.72	55800	1618	07KNSTD	-	-	-	2008	11648	110	-	-	PD2015	-
Halsnøy	YDC08-10	59.81367	5.81901	88	3.8	2.6	0.9988	1.72	55400	1607	07KNSTD	-	-	-	2008	11648	110	-	-	PD2015	-
Oldedalen	OL08-1	61.66674	6.81500	127	4.1	2.7	0.8946	0	28100	815	07KNSTD	-	-	-	2008	6067	111	-	-	PD2015	-
Oldedalen	OL08-3	61.66690	6.81437	133	1.5	2.7	0.8876	0	26400	766	07KNSTD	-	-	-	2008	6067	111	-	-	PD2015	-
Oldedalen	OL08-5	61.66624	6.81435	146	1.8	2.7	0.8808	0	24300	705	07KNSTD	-	-	-	2008	6067	111	-	-	PD2015	-
Oldedalen	OL08-7	61.66594	6.81505	134	1.8	2.7	0.8936	0	28000	1000	07KNSTD	-	-	-	2008	6067	111	-	-	PD2015	-
Oldedalen	OL08-9	61.66559	6.81518	146	2.8	2.7	0.8862	0	26300	900	07KNSTD	-	-	-	2008	6067	111	-	-	PD2015	-
Oldedalen	OL08-11	61.66650	6.81575	127	4.4	2.7	0.8880	0	32700	948	07KNSTD	-	-	-	2008	6067	111	-	-	PD2015	-
Oldedalen	OL08-13	61.66653	6.81475	133	3.5	2.7	0.8697	0	26000	800	07KNSTD	-	-	-	2008	6067	111	-	-	PD2015	-
Clyde-River	CI2-01-01	69.83525	-70.49695	65	5	2.65	0.997	0	37380	3705	07KNSTD	-	-	-	2001	8250	297	-	-	ANU2017	-
Clyde-River	CI2-01-02	69.83445	-70.49803	65	4	2.65	0.997	0	37163	1887	07KNSTD	-	-	-	2001	8250	297	-	-	ANU2017	-
Clyde-River	CR03-90	69.83022	-70.49618	72	2	2.65	0.986	0	36490	1058	07KNSTD	-	-	-	2003	8252	297	-	-	ANU2017	-
Clyde-River	CR03-91	69.83182	-70.49577	67	2	2.65	0.983	0	36348	2224	07KNSTD	-	-	-	2003	8252	297	-	-	ANU2017	-
Clyde-River	CR03-92	69.83182	-70.49577	67	2	2.65	0.983	0	37112	1076	07KNSTD	-	-	-	2003	8252	297	-	-	ANU2017	-
Clyde-River	CR03-93	69.83235	-70.49670	67	3	2.65	0.984	0	36657	1063	07KNSTD	-	-	-	2003	8252	297	-	-	ANU2017	-
Clyde-River	CR03-94	69.83277	-70.49750	65	2	2.65	0.994	0	38921	1129	07KNSTD	-	-	-	2003	8252	297	-	-	ANU2017	-
Marrait	11QOO-01	69.2844	-50.7569	350	1.5	2.65	0.995	0	55600	1900	07KNSTD	-	-	-	2011	9253	42	-	-	ICE7G	-
Marrait	11QOO-02	69.2844	-50.7569	350	1.5	2.65	0.995	0	55800	1618	07KNSTD	-	-	-	2011	9253	42	-	-	ICE7G	-
Marrait	11QOO-03	69.2844	-50.7566	350	1	2.65	0.995	0	57100	1656	07KNSTD	-	-	-	2011	9253	42	-	-	ICE7G	-
Marrait	11QOO-04	69.2844	-50.7562	350	1.25	2.65	0.995	0	55400	1607	07KNSTD	-	-	-	2011	9253	42	-	-	ICE7G	-
Marrait	11QOO-05	69.2842	-50.7528	350	1	2.65	0.996	0	56400	1636	07KNSTD	-	-	-	2011	9253	42	-	-	ICE7G	-
Chironico	Chi-1	46.4155	8.8524	761	2	2.65	0.9773	1	104000	5380	S555N	-	-	-	2012	13426	166	-	-	ICE7G	-
Chironico	Chi-3	46.4139	8.8543	742	5	2.65	0.9818	1	97710	7640	S555N	-	-	-	2012	13426	166	-	-	ICE7G	-
Chironico	Chi-4	46.4161	8.8516	764	3	2.65	0.9500	1	94920	5080	S555N	-	-	-	2012	13426	166	-	-	ICE7G	-
Chironico	Chi-5a-2	46.4280	8.8488	815	5	2.65	0.9500	1	99830	7290	S555N	-	-	-	2012	13426	166	-	-	ICE7G	-
Chironico	Chi-6	46.4271	8.8493	802	2	2.65	0.9500	1	96540	5340	S555N	-	-	-	2012	13426	166	-	-	ICE7G	-
Chironico	Chi-7	46.4271	8.8490	805	2.5	2.65	0.9794	1	98930	5340	S555N	-	-	-	2012	13426	166	-	-	ICE7G	-
Chironico	Chi-10	46.4186	8.8490	801	2	2.65	0.9772	1	82170	5930	S555N	-	-	-	2012	13426	166	-	-	ICE7G	-
Chironico	Chi-11	46.4174	8.8502	800	1	2.65	0.9772	1	118850	7960	S555N	-	-	-	2012	13426	166	-	-	ICE7G	-
Chironico	Chi-12	46.4238	8.8495	790	3	2.65	0.9836	1	99910	6790	S555N	-	-	-	2012	13426	166	-	-	ICE7G	-
Huancané-II	Q-40	-13.9442	-70.8936	4853	2.8417	2.29	0.998	5	545200	15811	KNSTD	-	-	-	2005	12290	150	-	-	ICE7G	-
Huancané-II	Q-40a	-13.9442	-70.8936	4853	2.8417	2.6	0.999	5	565230	16392	KNSTD	-	-	-	2005	12290	150	-	-	ICE7G	-
Huancané-II	Q-42	-13.9450	-70.8929	4857	1.5672	2.29	0.996	5	567340	16453	KNSTD	-	-	-	2005	12290	150	-	-	ICE7G	-
Huancané-II	Q-43	-13.9437	-70.8953	4844	1.4992	2.29	0.999	5	553270	16045	KNSTD	-	-	-	2005	12290	150	-	-	ICE7G	-
Huancané-II	Q-44	-13.9450	-70.8954	4849	2.0338	2.6	1	5	554020	16067	KNSTD	-	-	-	2005	12290	150	-	-	ICE7G	-
Huancané-II	Q-44a	-13.9450	-70.8954	4849	2.8763	2.6	1	5	577900	17990	KNSTD	-	-	-	2005	12290	150	-	-	ICE7G	-
Huancané-II	Q-46	-13.9463	-70.8924	4863	0.9205	2.6	1	5	571630	16577	KNSTD	-	-	-	2005	12290	150	-	-	ICE7G	-
Huancané-II	Q-47	-13.9463	-70.8921	4865	2.1	2.29	1	5	571390	16570	07KNSTD	-	-	-	2008	12293	150	-	-	ICE7G	-
Huancané-II	Q-48	-13.9461	-70.8927	4862	3.4	2.29	0.998	5	589570	17098	07KNSTD	-	-	-	2008	12293	150	-	-	ICE7G	-
Huancané-II	Q-49	-13.9458	-70.8935	4851	5.1263	2.29	1	5	586260	17002	KNSTD	-	-	-	2005	12290	150	-	-	ICE7G	-
Huancané-II	Q-83	-13.9440	-70.8923	4856	3.2	2.6	0.975	5	495360	14365	07KNSTD	-	-	-	2008	12293	150	-	-	ICE7G	-
Huancané-II	Q-83a	-13.9440	-70.8923	4856	2.78	2.6	0.975	5	498720	14463	07KNSTD	-	-	-	2008	12293	150	-	-	ICE7G	-
Huancané-II	Q-135	-13.9468	-70.8862	4863	2.34	2.29	0.999	5	515920	14962	07KNSTD	-	-	-	2008	12293	150	-	-	ICE7G	-
Huancané-II	Q-136	-13.9463	-70.8865	4866	2.26	2.29	0.993	5	499300	14480	07KNSTD	-	-	-	2008	12293	150	-	-	ICE7G	-
Huancané-II	Q-137	-13.9457	-70.8855	4870	2.1	2.29	0.999	5	543320	15756	07KNSTD	-	-	-	2008	12293	150	-	-	ICE7G	-
