P-202306-input
expage.github.io

Input for 10Be/26Al production rate calibration
====================================================================================================
site	sample	lat	long	elv	thick	dens	shield	erosion	N10	N10unc	std10	N26	N26unc	std26	samplingyr	calage	calageunc	isostsubm	isostsubmmod
Herminita	HE-06-02	-50.0843	-73.1635	284.79	1.15	2.65	0.9998	0	68724	1993	07KNSTD	-	-	-	2006	12186	144	-	-
Herminita	HE-06-04	-50.0841	-73.1598	271.15	1.76	2.65	0.9995	0	64318	2298	07KNSTD	-	-	-	2006	12186	144	-	-
Herminita	HE-07-11	-50.0826	-73.1693	340.62	2.3	2.65	0.9999	0	72346	2098	07KNSTD	-	-	-	2007	12187	144	-	-
Herminita	HE-06-06	-50.0830	-73.1771	288.42	3.43	2.65	0.9981	0	64048	1857	07KNSTD	-	-	-	2006	12186	144	-	-
Herminita	HE-06-07	-50.0824	-73.1766	289.58	1.39	2.65	0.9997	0	65860	1910	07KNSTD	-	-	-	2006	12186	144	-	-
Herminita	HE-07-12	-50.0797	-73.1679	292.50	1.45	2.65	0.9978	0	72921	2306	07KNSTD	-	-	-	2007	12187	144	-	-
Herminita	HE-07-13	-50.0796	-73.1680	292.12	0.94	2.65	0.9997	0	65996	4353	07KNSTD	-	-	-	2007	12187	144	-	-
Herminita	HE-07-10	-50.0811	-73.1776	286.35	3	2.65	0.9991	0	65725	2727	07KNSTD	-	-	-	2007	12187	144	-	-
Herminita	HE-06-05	-50.0816	-73.1788	259.95	0.93	2.65	0.9970	0	71700	2079	KNSTD	-	-	-	2006	12186	144	-	-
Herminita	HE-06-08	-50.0821	-73.1759	284.29	1.68	2.65	0.9993	0	73172	2841	KNSTD	-	-	-	2006	12186	144	-	-
Herminita	HE-06-01	-50.0841	-73.1648	281.66	2.08	2.65	0.9995	0	67659	1962	KNSTD	-	-	-	2006	12186	144	-	-
Herminita	HE-06-03	-50.0841	-73.1605	277.46	1.67	2.65	0.9987	0	71651	2078	KNSTD	-	-	-	2006	12186	144	-	-
Puerto-Bandera	EQ-08-01	-50.17011	-72.75087	240	0.79	2.65	0.9972	0	72101	2091	07KNSTD	-	-	-	2008	12838	203	-	-
Puerto-Bandera	EQ-08-06	-50.17740	-72.73030	252	1.32	2.65	0.9996	0	67362	1953	07KNSTD	-	-	-	2008	12838	203	-	-
Puerto-Bandera	EQ-08-05	-50.17729	-72.72931	238	0.99	2.65	0.9990	0	70374	2041	07KNSTD	-	-	-	2008	12838	203	-	-
Puerto-Bandera	PBS-08-09	-50.28208	-72.69468	221	1.86	2.65	0.9999	0	68998	2001	07KNSTD	-	-	-	2008	12838	203	-	-
Puerto-Bandera	EQ-08-04	-50.17293	-72.73938	245	0.73	2.65	0.9985	0	54095	1569	07KNSTD	-	-	-	2008	12838	203	-	-
Puerto-Bandera	PBS-08-04	-50.28575	-72.69151	216	0.85	2.65	1	0	68229	1979	07KNSTD	-	-	-	2008	12838	203	-	-
Puerto-Bandera	PBS-08-06	-50.28425	-72.68956	218	1.03	2.65	1	0	65951	1913	07KNSTD	-	-	-	2008	12838	203	-	-
Puerto-Bandera	PBS-08-11	-50.28002	-72.63369	215	2.06	2.65	1	0	64409	1868	07KNSTD	-	-	-	2008	12838	203	-	-
